FR,EN,Name,TR,DC,TIM
1200.0,6046.71,encrypt,1,2896.76,64520.2
1200.0,5989.57,encrypt,1,2931.49,64556.9
1200.0,6047.49,encrypt,1,2973.33,64549.5
1200.0,6053.11,encrypt,1,2988.76,64602.7
1200.0,5988.58,encrypt,1,2944.23,64590.5
1200.0,6057.08,encrypt,1,2921.18,64624.5
1200.0,6044.03,encrypt,1,2991.58,64498.8
1200.0,6062.82,encrypt,1,2913.71,64709.8
1200.0,7602.92,encrypt,1,3693.93,81188.4
1200.0,6044.6,encrypt,1,2935.71,64479.2
1200.0,2990.64,encrypt,2,1503.76,32463.6
1200.0,3201.25,encrypt,2,1551.21,32432
1200.0,3038.17,encrypt,2,1631.64,32332.1
1200.0,3182.29,encrypt,2,1606.81,32369.8
1200.0,3193.46,encrypt,2,1659.86,32329.3
1200.0,3069.37,encrypt,2,1571.17,32313.7
1200.0,3150.4,encrypt,2,1597.63,32316.3
1200.0,3197.84,encrypt,2,1579.11,32360.8
1200.0,3188.3,encrypt,2,1610.18,32296.2
1200.0,3178.31,encrypt,2,1641.1,32302.7
1200.0,1678.19,encrypt,4,850.166,16198.3
1200.0,1697.17,encrypt,4,868.74,16317.7
1200.0,1617.7,encrypt,4,862.823,16242.4
1200.0,1679.77,encrypt,4,834.074,16227.7
1200.0,1687.71,encrypt,4,833.417,16240
1200.0,1559.94,encrypt,4,896.832,16217.2
1200.0,1677.15,encrypt,4,898.179,16189
1200.0,1680.96,encrypt,4,903.426,16213.6
1200.0,1017.21,encrypt,4,530.717,16230
1200.0,1545.54,encrypt,4,833.713,16314.1
1200.0,859.527,encrypt,16,502.542,8419.88
1200.0,928.641,encrypt,16,508.248,8062
1200.0,475.294,encrypt,16,375.088,4624.17
1200.0,699.942,encrypt,16,426.87,5615.89
1200.0,974.451,encrypt,16,484.567,8603.34
1200.0,621.036,encrypt,16,259.985,4771.9
1200.0,563.233,encrypt,16,359.176,4160.09
1200.0,502.574,encrypt,16,312.403,4794
1200.0,1000.58,encrypt,16,558.623,8438.39
1200.0,625.961,encrypt,16,243.85,4748.51
1400.0,2771.51,encrypt,2,1552.9,27756.5
1400.0,2672.55,encrypt,2,1579.55,27731.4
1400.0,2808.67,encrypt,2,1556.22,27709.6
1400.0,2732.51,encrypt,2,1487.79,27846.4
1400.0,2630.83,encrypt,2,1494.83,27771.9
1400.0,2623.73,encrypt,2,1446.92,27787.1
1400.0,2785.02,encrypt,2,1566.33,27769.4
1400.0,3672.22,encrypt,2,1992.53,36313.8
1400.0,2748.87,encrypt,2,1460.72,27770.3
1400.0,2794.48,encrypt,2,1478.96,27769.7
1400.0,790.878,encrypt,4,427.888,13947.1
1400.0,1490.53,encrypt,4,878.222,13876.2
1400.0,1494.41,encrypt,4,831.092,13920.6
1400.0,1500.8,encrypt,4,826.565,13926.7
1400.0,1493.61,encrypt,4,812.836,13899.7
1400.0,1284.64,encrypt,4,843.801,13914.9
1400.0,1492.71,encrypt,4,846.034,13909.4
1400.0,1493.89,encrypt,4,808.13,13895.9
1400.0,1296.8,encrypt,4,806.781,13907.2
1400.0,1498.13,encrypt,4,818.079,13934.8
1400.0,1025.02,encrypt,8,670.772,10782.3
1400.0,789.404,encrypt,8,440.893,7088.66
1400.0,821.101,encrypt,8,455.99,7085.31
1400.0,844.799,encrypt,8,513.464,6985.86
1400.0,989.714,encrypt,8,574.649,8825.29
1400.0,843.57,encrypt,8,498.627,7003.77
1400.0,850.869,encrypt,8,468.017,7035.94
1400.0,845.342,encrypt,8,460.911,6995.56
1400.0,849.823,encrypt,8,445.22,7012.28
1400.0,829.007,encrypt,8,425.505,7085.65
1400.0,415.919,encrypt,32,384.2,3926.54
1400.0,577.997,encrypt,32,297.924,3791.66
1400.0,318.154,encrypt,32,287.84,3801.73
1400.0,591.376,encrypt,32,413.5,3928.31
1400.0,460.215,encrypt,32,211.554,3783.21
1400.0,590.269,encrypt,32,412.584,3973.37
1400.0,567.816,encrypt,32,277.91,3777.28
1400.0,382.703,encrypt,32,353.462,3793.96
1400.0,305.82,encrypt,32,405.693,3934.59
1400.0,566.839,encrypt,32,317.64,3778
1700.0,4343.01,encrypt,1,2400.03,45712.6
1700.0,4447.9,encrypt,1,2363.11,45713
1700.0,4481.19,encrypt,1,2453.49,45681
1700.0,4274.76,encrypt,1,2434.64,45705.4
1700.0,4433.08,encrypt,1,2383.19,45775.2
1700.0,4458.05,encrypt,1,2438.91,45799.7
1700.0,4439.97,encrypt,1,2336.89,45587.2
1700.0,4458.21,encrypt,1,2382.32,45671.5
1700.0,4438.7,encrypt,1,2425.6,45619.8
1700.0,4384.19,encrypt,1,2398.96,46461.2
1700.0,1293.99,encrypt,4,770.735,11481.7
1700.0,1173.83,encrypt,4,694.913,11466.1
1700.0,1329.35,encrypt,4,812.725,11486.9
1700.0,1661.96,encrypt,4,926.067,14417.7
1700.0,1325.29,encrypt,4,811.93,11452.3
1700.0,1227.2,encrypt,4,811.658,11437.4
1700.0,1283.58,encrypt,4,729.607,11464.6
1700.0,1109.56,encrypt,4,636.855,11491.6
1700.0,1305.89,encrypt,4,801.089,11455.1
1700.0,1319.93,encrypt,4,667.666,11453.7
1700.0,660.663,encrypt,8,413.542,5785.92
1700.0,760.635,encrypt,8,398.802,5776.01
1700.0,755.098,encrypt,8,453.081,5767.36
1700.0,942.356,encrypt,8,515.042,7261.94
1700.0,754.875,encrypt,8,486.544,5779.86
1700.0,754.673,encrypt,8,496.057,5767.61
1700.0,762.149,encrypt,8,375.111,5823.9
1700.0,759.218,encrypt,8,389.507,5799.31
1700.0,636.062,encrypt,8,394.331,5826.43
1700.0,823.182,encrypt,8,480.553,6456.53
1700.0,653.601,encrypt,16,410.237,4634.46
1700.0,492.633,encrypt,16,353.828,3048.82
1700.0,501.07,encrypt,16,354.995,3078.55
1700.0,483.747,encrypt,16,135.641,2929.73
1700.0,794.698,encrypt,16,514.889,6066.74
1700.0,507.549,encrypt,16,129.768,3167.13
1700.0,539.207,encrypt,16,339.421,3470.65
1700.0,627.412,encrypt,16,428.864,4378.26
1700.0,558.008,encrypt,16,391.585,3661.54
1700.0,489.054,encrypt,16,350.06,2985.56
1900.0,2244.69,encrypt,2,1284.85,20476.5
1900.0,2143.96,encrypt,2,1272.73,20471.9
1900.0,2633.26,encrypt,2,1523.73,26365.2
1900.0,1957.43,encrypt,2,1240,20569.2
1900.0,2648.18,encrypt,2,1486.94,25766.4
1900.0,2056.44,encrypt,2,1319.1,20524.2
1900.0,2231.5,encrypt,2,1289.41,20415.5
1900.0,2242.74,encrypt,2,1258.07,20737.1
1900.0,2099.4,encrypt,2,1325.51,20479.2
1900.0,2244.78,encrypt,2,1335.38,20500.9
1900.0,539.158,encrypt,8,361.559,5173.58
1900.0,724.759,encrypt,8,414.585,5182.76
1900.0,912.077,encrypt,8,617.934,6615.15
1900.0,1226.47,encrypt,8,690.537,10373.6
1900.0,670.907,encrypt,8,393.858,5214.76
1900.0,717.752,encrypt,8,356.463,5195.39
1900.0,720.758,encrypt,8,408.631,5183.75
1900.0,511.009,encrypt,8,485.049,5209.07
1900.0,715.501,encrypt,8,482.419,5186.05
1900.0,888.436,encrypt,8,508.992,6497.92
1900.0,562.881,encrypt,16,381.445,3508.12
1900.0,748.796,encrypt,16,488.529,5491.97
1900.0,536.253,encrypt,16,399.66,3452.2
1900.0,480.543,encrypt,16,238.075,2686.36
1900.0,461.265,encrypt,16,426.641,4023.11
1900.0,628.509,encrypt,16,441.741,4205.57
1900.0,618.326,encrypt,16,433.76,4055.44
1900.0,585.671,encrypt,16,313.981,3699.84
1900.0,437.519,encrypt,16,365.468,3570.74
1900.0,688.578,encrypt,16,456.32,4752.45
1900.0,523.963,encrypt,32,392.742,2815.37
1900.0,530.82,encrypt,32,400.149,2796.37
1900.0,614.608,encrypt,32,457.002,3273.96
1900.0,466.081,encrypt,32,250.217,2796.88
1900.0,518.608,encrypt,32,253.67,2792.89
1900.0,263.374,encrypt,32,208.148,2793.71
1900.0,525.344,encrypt,32,334.59,2810.15
1900.0,524.56,encrypt,32,261.755,2804.96
1900.0,531.674,encrypt,32,266.083,2814.25
1900.0,524.274,encrypt,32,393.017,2790.39
2200.0,3651.19,encrypt,1,1963.48,35520.9
2200.0,3652.97,encrypt,1,2023.57,35559.5
2200.0,3639.82,encrypt,1,2007.34,35412.7
2200.0,4368.54,encrypt,1,2538.69,44502.2
2200.0,4558.67,encrypt,1,2495,44491.4
2200.0,3638.26,encrypt,1,2008.87,35418.8
2200.0,3583.23,encrypt,1,1992.38,35503.2
2200.0,3642.45,encrypt,1,1975.7,35469.7
2200.0,3640.78,encrypt,1,1984.73,35424.8
2200.0,3662.12,encrypt,1,2031.15,35609.3
2200.0,1142.5,encrypt,4,675.62,8884.04
2200.0,1430.32,encrypt,4,882.605,11193.4
2200.0,1087.96,encrypt,4,685.686,8867.41
2200.0,1140.04,encrypt,4,653.089,8880.9
2200.0,1140.87,encrypt,4,741.68,8879.21
2200.0,1140.17,encrypt,4,698.059,8897.9
2200.0,1140.49,encrypt,4,685.174,8877.02
2200.0,1451.62,encrypt,4,903.727,11374
2200.0,1142.51,encrypt,4,665.437,8890.54
2200.0,1084.58,encrypt,4,701.005,8862.23
2200.0,541.288,encrypt,16,116.086,2937.08
2200.0,532.898,encrypt,16,344.89,2891.24
2200.0,340.272,encrypt,16,98.0718,2328.98
2200.0,548.449,encrypt,16,250.769,3111.57
2200.0,572.599,encrypt,16,199.533,3219.56
2200.0,535.784,encrypt,16,115.391,2915.74
2200.0,561.842,encrypt,16,325.854,3150.27
2200.0,542.657,encrypt,16,267.023,2997.64
2200.0,489.234,encrypt,16,374.619,2780.12
2200.0,213.57,encrypt,16,233.883,2285.85
2200.0,508.453,encrypt,32,83.6709,2439.43
2200.0,518.285,encrypt,32,401.525,2430.16
2200.0,524.311,encrypt,32,408.786,2425.02
2200.0,519.987,encrypt,32,394.244,2440.41
2200.0,514.93,encrypt,32,312.725,2424.6
2200.0,528.987,encrypt,32,408.764,2499.11
2200.0,512.54,encrypt,32,259.213,2419.11
2200.0,520.914,encrypt,32,346.39,2428.81
