FR,EN,Name,TR,DC,TIM
1200.0,4212.42,encrypt,1,2233.75,46587.8
1200.0,4382.89,encrypt,1,2230.01,46572.4
1200.0,4385.54,encrypt,1,2289.3,46572.3
1200.0,4380.91,encrypt,1,2307.61,46571.5
1200.0,4389.67,encrypt,1,2325.99,46571
1200.0,4377.13,encrypt,1,2204.43,47884
1200.0,4329.25,encrypt,1,2210.46,46395.5
1200.0,4331.1,encrypt,1,2253.77,46395.5
1200.0,4327.93,encrypt,1,2270.87,46394.6
1700.0,3181.92,encrypt,1,1715.67,32762.1
1700.0,3168.62,encrypt,1,1669.66,32762.5
1700.0,3179.97,encrypt,1,1692.69,32762.6
1700.0,3116.22,encrypt,1,1686.25,32762.7
1700.0,3048.23,encrypt,1,1734.66,32767.2
1700.0,3177.29,encrypt,1,1722.41,32766.7
1700.0,3004.26,encrypt,1,1683.44,32767.5
1700.0,3177.27,encrypt,1,1733.84,32768.2
1700.0,3053.59,encrypt,1,1664.12,32767.7
2200.0,2609.64,encrypt,1,1445.3,25398.4
2200.0,2443.31,encrypt,1,1439.28,25393.3
2200.0,2603.81,encrypt,1,1464.01,25393.5
2200.0,2443.84,encrypt,1,1382.17,25395.3
2200.0,2608.14,encrypt,1,1451.69,25400.1
2200.0,2607.1,encrypt,1,1389.8,25395.8
2200.0,2460.15,encrypt,1,1397.55,25400.2
2200.0,2604.36,encrypt,1,1464,25400.3
2200.0,2506.05,encrypt,1,1476.04,25399.9
2700.0,2216.18,encrypt,1,1321.88,20663.6
2700.0,2215.66,encrypt,1,1308.31,20661.8
2700.0,2234.02,encrypt,1,1318.92,20662.4
2700.0,2059.52,encrypt,1,1232.26,20662.1
2700.0,2235.95,encrypt,1,1252.12,20662.5
2700.0,2135.66,encrypt,1,1177.28,20662.1
2700.0,2138.63,encrypt,1,1193.01,20661.9
2700.0,2240.73,encrypt,1,1299.51,20662.8
2700.0,2211.16,encrypt,1,1302.85,20666
2901.0,1849.33,encrypt,1,1221.38,14708.9
2901.0,1970.45,encrypt,1,1307.24,14708.4
2901.0,1787.93,encrypt,1,1265.18,14708.7
2901.0,1824.23,encrypt,1,1308.52,14695.9
2901.0,1972.29,encrypt,1,1308.4,14699.7
2901.0,1989.7,encrypt,1,1244.29,14755.5
2901.0,1977.26,encrypt,1,1250.08,14695.6
2901.0,1977,encrypt,1,1200.29,14699.9
2901.0,1977.4,encrypt,1,1152.05,14696.5
1200.0,2260.69,encrypt,4,1288.31,23256.5
1200.0,2409.39,encrypt,4,1313.5,23832.8
1200.0,2365.58,encrypt,4,1328.48,23323.3
1200.0,2279.13,encrypt,4,1318.72,23233.4
1200.0,2345.57,encrypt,4,1317.53,23210.5
1200.0,2223.97,encrypt,4,1313.63,23212.4
1200.0,2356.06,encrypt,4,1243.95,23210.8
1200.0,2355.77,encrypt,4,1261.34,23209.8
1200.0,2357.53,encrypt,4,1247.45,23209.3
1200.0,589.271,encrypt,16,408.236,5826.56
1200.0,672.975,encrypt,16,384.472,5566.35
1200.0,656.169,encrypt,16,343.183,5401.2
1200.0,507.136,encrypt,16,274.405,5400.09
1200.0,561.554,encrypt,16,405.086,5511.53
1200.0,659.329,encrypt,16,417.374,5422.7
1200.0,564.67,encrypt,16,363.136,5388.82
1200.0,503.382,encrypt,16,416.639,5390.77
1200.0,655.363,encrypt,16,281.305,5380.74
1200.0,648.779,encrypt,32,367.547,5343.08
1200.0,639.867,encrypt,32,362.167,5271.4
1200.0,514.693,encrypt,32,247.217,3971.67
1200.0,405.257,encrypt,32,209.086,3907.68
1200.0,469.761,encrypt,32,245.522,3482.32
1200.0,485.589,encrypt,32,237.579,3652.2
1200.0,446.864,encrypt,32,284.133,4413.81
1200.0,606.781,encrypt,32,264.942,4868.45
1200.0,581.832,encrypt,32,375.425,4624.3
1400.0,4162.75,encrypt,2,2406.03,39787.8
1400.0,3948,encrypt,2,2222.77,39860.1
1400.0,3835.98,encrypt,2,2253.01,39926.8
1400.0,4003.01,encrypt,2,2209.22,39946.2
1400.0,3999.53,encrypt,2,2161.54,39945
1400.0,4025.99,encrypt,2,2246.82,39867.9
1400.0,3932.38,encrypt,2,2194.43,39939.1
1400.0,4037.59,encrypt,2,2268.95,39940.4
1400.0,3821.18,encrypt,2,2141.79,39942.9
1400.0,1097.37,encrypt,8,675.948,10034.4
1400.0,1142.59,encrypt,8,670.895,10281.1
1400.0,1161.52,encrypt,8,699.48,10378.4
1400.0,929.004,encrypt,8,576.101,10126.8
1400.0,1028.37,encrypt,8,607.316,10182.4
1400.0,1130.68,encrypt,8,634.104,10086.5
1400.0,858.062,encrypt,8,633.222,9967.32
1400.0,1366.5,encrypt,8,907.351,11040.2
1400.0,1347.37,encrypt,8,930.758,11418.3
1400.0,573.563,encrypt,32,377.862,4339.45
1400.0,532.07,encrypt,32,353.21,3909.05
1400.0,300.69,encrypt,32,318.045,3791.62
1400.0,483.157,encrypt,32,215.269,3371.12
1400.0,564.526,encrypt,32,291.858,4272.03
1400.0,539.89,encrypt,32,304.476,4147.16
1400.0,518.285,encrypt,32,316.603,3666.3
1400.0,341.615,encrypt,32,273.969,3443.13
1400.0,469.066,encrypt,32,268.711,3229.01
1700.0,1645.26,encrypt,4,999.34,16424
1700.0,1603.36,encrypt,4,998.166,16431.4
1700.0,1805.61,encrypt,4,1019.55,16424.6
1700.0,1703.18,encrypt,4,1025.39,16433.8
1700.0,1808.69,encrypt,4,1084.46,16425.5
1700.0,1806.94,encrypt,4,1082.12,16434.2
1700.0,1746.72,encrypt,4,1028.13,16426.6
1700.0,1804.66,encrypt,4,1011.91,16434.3
1700.0,1801.41,encrypt,4,1027.6,16422
1700.0,463.301,encrypt,16,229.156,3886.13
1700.0,551.744,encrypt,16,186.456,3886.54
1700.0,508.507,encrypt,16,367.794,4356.13
1700.0,610.245,encrypt,16,278.516,4477.34
1700.0,424.762,encrypt,16,318.449,4133.31
1700.0,612.569,encrypt,16,484.269,5927.22
1700.0,568.998,encrypt,16,294.42,4038.07
1700.0,380.7,encrypt,16,317.395,4230.2
1700.0,550.624,encrypt,16,217.084,3903.69
1900.0,3024.25,encrypt,2,1789.65,29409.5
1900.0,3077.45,encrypt,2,1795.58,29399.8
1900.0,3198.27,encrypt,2,1821.51,29408.2
1900.0,3152.98,encrypt,2,1863.46,29403.8
1900.0,3192.03,encrypt,2,1830.77,29404.8
1900.0,3195.92,encrypt,2,1895.74,29407.7
1900.0,3064.13,encrypt,2,1871.25,29407.2
1900.0,3005.58,encrypt,2,1879.52,29408.2
1900.0,2979.93,encrypt,2,1771.76,29408.1
1900.0,922.65,encrypt,8,536.723,7371.93
1900.0,930.478,encrypt,8,572.677,7396.28
1900.0,931.756,encrypt,8,573.489,7423.3
1900.0,1127.26,encrypt,8,659.606,7895.8
1900.0,1559.73,encrypt,8,1062.5,10902.2
1900.0,1436.01,encrypt,8,941.51,9857.84
1900.0,755.752,encrypt,8,501.607,7114.28
1900.0,902.85,encrypt,8,590.711,6975.53
1900.0,917.867,encrypt,8,578.737,6969.26
1900.0,452.861,encrypt,32,297.023,2774.32
1900.0,450.148,encrypt,32,93.2889,2730.4
1900.0,461.618,encrypt,32,176.956,2807.49
1900.0,364.931,encrypt,32,120.985,2842.94
1900.0,436.714,encrypt,32,178.068,2750.65
1900.0,440.186,encrypt,32,232.541,2744.21
1900.0,440.186,encrypt,32,232.541,2744.21
1900.0,249.22,encrypt,32,307.929,3067.77
1900.0,465.546,encrypt,32,254.064,2814.48
2200.0,1586.07,encrypt,4,1009.63,12832.6
2200.0,1555.9,encrypt,4,967.717,12684.6
2200.0,1557.76,encrypt,4,939.875,12693.1
2200.0,1331.06,encrypt,4,938.912,12761
2200.0,1497.43,encrypt,4,941.874,12677.9
2200.0,1556.29,encrypt,4,910.569,12675.8
2200.0,1554.38,encrypt,4,847.926,12678.1
2200.0,1669.52,encrypt,4,990.898,12676.8
2200.0,1896.08,encrypt,4,1235.37,12743.2
2200.0,362.775,encrypt,16,383.58,3238.49
2200.0,467.693,encrypt,16,370.218,3109.7
2200.0,309.487,encrypt,16,210.729,3048.14
2200.0,430.213,encrypt,16,200.748,3051.11
2200.0,445.986,encrypt,16,342.655,3032.36
2200.0,507.68,encrypt,16,160.692,3036.11
2200.0,398.844,encrypt,16,289.186,3037.92
2200.0,501.895,encrypt,16,364.26,3031.29
2200.0,386.867,encrypt,16,280.187,3031.68
2400.0,2808.81,encrypt,2,1675.72,23361.6
2400.0,2849.7,encrypt,2,1782.63,23361.3
2400.0,2820.78,encrypt,2,1772.71,23361.6
2400.0,2673.09,encrypt,2,1733.92,23361.9
2400.0,2757.85,encrypt,2,1743.23,23370.9
2400.0,2855.38,encrypt,2,1806.75,23361.4
2400.0,2822.67,encrypt,2,1776.06,23371.1
2400.0,2828.79,encrypt,2,1691.92,23370.8
2400.0,2646,encrypt,2,1648.69,23362.9
2400.0,1175.35,encrypt,8,757.926,6708.5
2400.0,1061.77,encrypt,8,873.017,6329.82
2400.0,1023.09,encrypt,8,794.76,6319.38
2400.0,940.692,encrypt,8,786.799,6179.27
2400.0,956.164,encrypt,8,693.785,6163.21
2400.0,831.649,encrypt,8,506.233,5671.14
2400.0,820.297,encrypt,8,460.805,5580.83
2400.0,793.012,encrypt,8,390.545,5577.98
2400.0,768.249,encrypt,8,371.075,5578.05
2400.0,460.639,encrypt,32,206.801,2713.79
2400.0,444.954,encrypt,32,260.058,2174.97
2400.0,386.708,encrypt,32,74.3972,2157.53
2400.0,442.371,encrypt,32,269.148,2281.93
2400.0,432.493,encrypt,32,121.101,2171.89
2400.0,482.749,encrypt,32,247.185,2622.48
2400.0,430.571,encrypt,32,23.1202,2138.75
2400.0,495.383,encrypt,32,361.002,2652.46
2400.0,301.593,encrypt,32,174.969,2104.09
2700.0,1334.75,encrypt,4,852.479,10342.7
2700.0,1422.54,encrypt,4,877.736,10343.4
2700.0,1423.34,encrypt,4,842.187,10342.4
2700.0,1427.78,encrypt,4,923.328,10347.8
2700.0,1350.21,encrypt,4,866.916,10345.1
2700.0,1286.12,encrypt,4,954.755,10347.7
2700.0,1183.72,encrypt,4,954.621,10344.2
2700.0,1850.6,encrypt,4,1105.65,10353
2700.0,1810.28,encrypt,4,1112.78,10382.8
2700.0,487.405,encrypt,16,319.772,2508.65
2700.0,353.165,encrypt,16,114.216,2522.97
2700.0,371.087,encrypt,16,324.173,2565.75
2700.0,517.735,encrypt,16,276.889,2586.66
2700.0,510.357,encrypt,16,143.723,2603.67
2700.0,500.192,encrypt,16,244.775,2518.66
2700.0,435.474,encrypt,16,342.01,2632.83
