FR,TIM,EN,DC,TR,Name
1200.0,81911.3,7632.8,4079.98,2,encrypt
1200.0,81914.8,7650.17,4070.54,2,encrypt
1200.0,81937.8,7661.88,4083.85,2,encrypt
1200.0,81912.9,7656.43,4017.94,2,encrypt
1200.0,81909.7,7651.79,4083.14,2,encrypt
1200.0,81909.4,7564.25,4032.4,2,encrypt
1200.0,81910.7,7481.49,4024.24,2,encrypt
1200.0,81909.9,7652.72,4009.52,2,encrypt
1200.0,81910.7,7484.87,3991.77,2,encrypt
1200.0,81909.2,7560.99,4014.58,2,encrypt
1200.0,40994.2,3956.61,2170.74,4,encrypt
1200.0,41601.2,4018.35,2167.58,4,encrypt
1200.0,40985.9,3839.39,2162.41,4,encrypt
1200.0,41000,4033.44,2158.62,4,encrypt
1200.0,40986.8,3932.62,2255.58,4,encrypt
1200.0,41044.8,4053.37,2255.61,4,encrypt
1200.0,40984.9,4054.87,2178.54,4,encrypt
1200.0,41002.1,3654.47,2078.1,4,encrypt
1200.0,40984.2,4043.64,2233.56,4,encrypt
1200.0,40986.6,4044.47,2214.06,4,encrypt
1200.0,20540.9,2086.13,1170.82,8,encrypt
1200.0,20671.6,2105.51,1174.93,8,encrypt
1200.0,20673,2124.72,1109.55,8,encrypt
1200.0,20522.9,2118.61,1186.6,8,encrypt
1200.0,20496,2121.07,1200.86,8,encrypt
1200.0,20493.5,2037.73,1221.74,8,encrypt
1200.0,20492.5,2123.96,1211.91,8,encrypt
1200.0,20494.1,2116.87,1169.86,8,encrypt
1200.0,20495.2,2116.14,1204.94,8,encrypt
1200.0,20493.6,1935.71,1198.3,8,encrypt
1200.0,10290.9,1163.27,697.451,16,encrypt
1200.0,10273.3,1164.09,629.369,16,encrypt
1200.0,10301.4,1164.25,669.91,16,encrypt
1200.0,10554.2,1046.98,641.194,16,encrypt
1200.0,10429.3,1148.12,681.488,16,encrypt
1200.0,10503.2,1205.2,668.738,16,encrypt
1200.0,10265.7,1179.81,656.455,16,encrypt
1200.0,10333.6,1187.57,634.333,16,encrypt
1200.0,10252.4,1118.88,663.36,16,encrypt
1200.0,10371.3,1184.14,708.787,16,encrypt
1200.0,7892.42,940.524,590.745,32,encrypt
1200.0,5978.2,569.597,373.375,32,encrypt
1200.0,5927.99,762.146,402.778,32,encrypt
1200.0,5923.03,706.295,406.733,32,encrypt
1200.0,6039.64,786.17,515.34,32,encrypt
1200.0,7782.18,945.368,596.082,32,encrypt
1200.0,7961.45,929.025,588.373,32,encrypt
1200.0,5657.35,747.216,494.858,32,encrypt
1200.0,7672.38,935.971,559.318,32,encrypt
1200.0,8009.21,965.421,560.828,32,encrypt
1300.0,75610,7116.17,3750.6,2,encrypt
1300.0,75606.4,7109.6,3750.41,2,encrypt
1300.0,75638,6932.44,3808.44,2,encrypt
1300.0,75640.6,6948.01,3728,2,encrypt
1300.0,75641.2,7060.89,3801.47,2,encrypt
