FR,EN,Name,TR,DC,TIM
1200.0,14672.1,encrypt,1,7514.1,157625
1200.0,14766.6,encrypt,1,7669.22,157821
1200.0,14842.4,encrypt,1,7385.79,157658
1200.0,14674,encrypt,1,7615.58,157664
1200.0,14619.5,encrypt,1,7301.24,157314
1200.0,18644.5,encrypt,1,9527.84,200287
1200.0,14778.3,encrypt,1,7369.11,157634
1200.0,18684.5,encrypt,1,9610.91,198817
1200.0,14772.9,encrypt,1,7312.69,157344
1200.0,14852.6,encrypt,1,7628.6,157775
1200.0,7599.66,encrypt,2,4032.78,79089.1
1200.0,7831.58,encrypt,2,4103.25,79210.3
1200.0,7680.87,encrypt,2,3959.5,79294.5
1200.0,7562.56,encrypt,2,4033.85,79276.2
1200.0,7596.74,encrypt,2,4070.16,78993.2
1200.0,7802.18,encrypt,2,4123.06,78854.9
1200.0,7736.62,encrypt,2,4196.49,79147.6
1200.0,7658.45,encrypt,2,4147.78,79304.2
1200.0,7821.24,encrypt,2,4190.68,78983.7
1200.0,7723.05,encrypt,2,4252.35,79223
1200.0,4047.11,encrypt,4,2346.1,39566.6
1200.0,3993.41,encrypt,4,2391.2,39492.9
1200.0,4228.23,encrypt,4,2403.57,42063.5
1200.0,4077.63,encrypt,4,2366.47,40244.5
1200.0,4055.59,encrypt,4,2364.52,39604.4
1200.0,4129.95,encrypt,4,2326.53,40621.1
1200.0,3947,encrypt,4,2243.68,39549.5
1200.0,4107.34,encrypt,4,2330.24,39547
1200.0,3969.72,encrypt,4,2322.11,39577.8
1200.0,3919.12,encrypt,4,2298.24,39528
1200.0,1593.55,encrypt,16,1043.95,13066.3
1200.0,1427.35,encrypt,16,867.494,10763.6
1200.0,1374.03,encrypt,16,848.661,10509.6
1200.0,1709.78,encrypt,16,1163.42,15225
1200.0,1834.23,encrypt,16,1247.97,16963.9
1200.0,1263.78,encrypt,16,798.967,16717.1
1200.0,1338.39,encrypt,16,853.442,10646.1
1200.0,1721.6,encrypt,16,1139.19,12861.8
1200.0,1332.4,encrypt,16,959.851,10791.6
1200.0,1182.71,encrypt,16,842.845,10218.6
1400.0,6812.73,encrypt,2,3903.47,67881.8
1400.0,6823.07,encrypt,2,3921.57,67924.4
1400.0,8597.02,encrypt,2,4915.23,85299.4
1400.0,6800.33,encrypt,2,3878.12,67953.3
1400.0,8794.76,encrypt,2,4991.96,87034.6
1400.0,6854.47,encrypt,2,3890.79,67817.9
1400.0,6742.27,encrypt,2,3941.34,67725.5
1400.0,6527.27,encrypt,2,3706.98,68023.2
1400.0,6718.84,encrypt,2,3912.56,67828.7
1400.0,8307.13,encrypt,2,4696.7,85961
1400.0,3592.24,encrypt,4,2060.08,33973.3
1400.0,3614.21,encrypt,4,2121.27,33916
1400.0,3675.85,encrypt,4,2137.06,33962
1400.0,3425.12,encrypt,4,2023.62,33900.1
1400.0,3490.12,encrypt,4,2103.25,33903.9
1400.0,3469.78,encrypt,4,2043.07,33974.7
1400.0,3551.35,encrypt,4,2150.81,33999.1
1400.0,3457.58,encrypt,4,2104.23,33949.5
1400.0,3622.56,encrypt,4,2064.81,33915.2
1400.0,3458.82,encrypt,4,2135.24,33924.3
1400.0,1895.06,encrypt,8,1243.17,17035.9
1400.0,1955.64,encrypt,8,1285.42,16980.5
1400.0,2249.36,encrypt,8,1409.64,21354.1
1400.0,3374.21,encrypt,8,1972.72,30447.7
1400.0,1997.55,encrypt,8,1329.02,17258
1400.0,3297.41,encrypt,8,1943.18,31562.7
1400.0,3835.27,encrypt,8,2226.24,36188.9
1400.0,1980.73,encrypt,8,1220.64,17047
1400.0,1852.09,encrypt,8,1255.3,17031.6
1400.0,2061.13,encrypt,8,1199.7,17038.8
1400.0,1314.8,encrypt,16,809.647,9098.58
1400.0,2085.49,encrypt,16,1427.64,17678
1400.0,1084.84,encrypt,16,820.596,9144.38
1400.0,1111.79,encrypt,16,822.115,9180.47
1400.0,1317.74,encrypt,16,852.845,9171.71
1400.0,1279.73,encrypt,16,868.077,8926.68
1400.0,1349.09,encrypt,16,877.696,11765.6
1400.0,1317.6,encrypt,16,885.023,9147.84
1400.0,1371.6,encrypt,16,858.615,9780.9
1400.0,1099.03,encrypt,16,892.8,9252.71
1400.0,1135.82,encrypt,32,886.695,9152.77
1400.0,1195.06,encrypt,32,890.776,9170.89
1400.0,1385.94,encrypt,32,948.775,9166.48
1400.0,1408.14,encrypt,32,957.952,9178.49
1400.0,1342.3,encrypt,32,905.908,9171.66
1400.0,1397.08,encrypt,32,895.329,9166.03
1400.0,1400.99,encrypt,32,879.201,9159.96
1400.0,1182.93,encrypt,32,858.87,9138.77
1400.0,1084.53,encrypt,32,857.538,9153.83
1400.0,1321.32,encrypt,32,874.58,9157.58
1700.0,10816.3,encrypt,1,6000.6,111581
1700.0,13610.6,encrypt,1,7628.89,141106
1700.0,10861,encrypt,1,5964.66,111689
1700.0,10879.3,encrypt,1,6038.1,111488
1700.0,10855.8,encrypt,1,6021.73,111470
1700.0,10798.6,encrypt,1,6041.61,111607
1700.0,10745.3,encrypt,1,5929.4,111536
1700.0,10691.1,encrypt,1,5941.62,111684
1700.0,10786.2,encrypt,1,6021.16,111816
1700.0,10813.2,encrypt,1,6000.43,111593
1700.0,3013.07,encrypt,4,1906.97,27948.4
1700.0,3131.75,encrypt,4,1965.03,27976.5
1700.0,3060.78,encrypt,4,1888.73,27996.7
1700.0,3246.12,encrypt,4,1916.8,27936.8
1700.0,3245.19,encrypt,4,1907.72,27956.8
1700.0,3012.02,encrypt,4,1939.17,27918
