FR,EN,Name,TR,DC,TIM
1200.0,15110.8,decrypt,1,7628.81,162522
1200.0,15080.7,decrypt,1,7755.25,162391
1200.0,15215.8,decrypt,1,7762.18,162588
1200.0,14988.6,decrypt,1,7731.61,162548
1200.0,14997.6,decrypt,1,7614.79,162441
1200.0,15104,decrypt,1,7658.06,162487
1200.0,15468.4,decrypt,1,8048.38,162536
1200.0,15129.4,decrypt,1,7685.04,162563
1200.0,15051.3,decrypt,1,7558.51,162410
1200.0,14968.5,decrypt,1,7612.79,162661
1200.0,3969.7,decrypt,4,2230.73,40670.5
1200.0,4115.21,decrypt,4,2213.69,40613.5
1200.0,4083.49,decrypt,4,2138.76,40608.9
1200.0,4042.56,decrypt,4,2193.37,40653
1200.0,4050.85,decrypt,4,2194.68,40632
1200.0,4013.86,decrypt,4,2137.3,40630.3
1200.0,3954.99,decrypt,4,2187.86,40631
1200.0,3966.54,decrypt,4,2148.83,40638.3
1200.0,4122.96,decrypt,4,2194.29,40630.2
1200.0,4103.4,decrypt,4,2171.83,40610.2
1200.0,1140,decrypt,16,710.996,10606
1200.0,1343.78,decrypt,16,786.687,10720.8
1200.0,1264.3,decrypt,16,774.26,10509.2
1200.0,1123.46,decrypt,16,772.782,10682.4
1200.0,1216.56,decrypt,16,820.353,10544.4
1200.0,1552.88,decrypt,16,919.243,13056.2
1200.0,1372.98,decrypt,16,855.777,11225.1
1200.0,1226.87,decrypt,16,720.179,10594.7
1200.0,1190.91,decrypt,16,820.604,10654.6
1200.0,1474.04,decrypt,16,883.088,13123.1
1400.0,6988.19,decrypt,2,3776.96,72585.4
1400.0,7571.78,decrypt,2,4020.98,77522.6
1400.0,6640.67,decrypt,2,3559.33,69664
1400.0,6808.32,decrypt,2,3730.89,69683.6
1400.0,7920.93,decrypt,2,4198.09,81136.9
1400.0,6766.38,decrypt,2,3591.23,69672.6
1400.0,6731.34,decrypt,2,3574.72,69675.2
1400.0,7759.19,decrypt,2,4246.95,81206.2
1400.0,7381.54,decrypt,2,3901.51,76401
1400.0,6601.28,decrypt,2,3536.13,69627.9
1400.0,2100.55,decrypt,8,1275.21,20249.8
1400.0,2137.73,decrypt,8,1296.63,20300.3
1400.0,2259.32,decrypt,8,1314.78,20350.9
1400.0,2248.41,decrypt,8,1287.01,20213.6
1400.0,2255.04,decrypt,8,1284.88,20361.4
1400.0,2252.34,decrypt,8,1294.19,20328.1
1400.0,2008.89,decrypt,8,1220.85,18517.4
1400.0,2152.87,decrypt,8,1297.41,20172.2
1400.0,2157.36,decrypt,8,1319.13,20229.8
1400.0,2347.62,decrypt,8,1312.56,21403.5
1400.0,1325.98,decrypt,16,787.574,10402.3
1400.0,1251.21,decrypt,16,824.267,10139
1400.0,1311.65,decrypt,16,882.061,11679.2
1400.0,1293.22,decrypt,16,785.493,10340
1400.0,1158.01,decrypt,16,794.528,10255.8
1400.0,1295.43,decrypt,16,863.105,11746.9
1400.0,1384.73,decrypt,16,896.209,12021.3
1400.0,1279.96,decrypt,16,832.988,10342.8
1400.0,1425.31,decrypt,16,868.85,11780.6
1400.0,1211.64,decrypt,16,818.698,10450.3
1400.0,840.27,decrypt,32,439.758,6131.6
1400.0,736.51,decrypt,32,447.358,6160.38
1400.0,680.966,decrypt,32,543.02,6141.65
1400.0,806.62,decrypt,32,571.673,6134.83
1400.0,844.303,decrypt,32,471.311,6142.24
1400.0,726.721,decrypt,32,567.254,6128.91
1400.0,742.524,decrypt,32,418.107,6142.85
1400.0,658.512,decrypt,32,527.692,6160.84
1400.0,802.607,decrypt,32,433.735,6206.34
1400.0,792.109,decrypt,32,523.107,6177.36
1600.0,787.694,decrypt,32,472.445,5368.5
1600.0,601.969,decrypt,32,447.376,5318.26
1600.0,605.31,decrypt,32,503.019,5428.39
1600.0,796.027,decrypt,32,489.019,5394.98
1600.0,815.538,decrypt,32,487.645,5374.57
1600.0,763.247,decrypt,32,504.105,5384.02
1600.0,765.073,decrypt,32,483.532,5371.23
1600.0,583.539,decrypt,32,512.986,5390.88
1600.0,745.523,decrypt,32,472.119,5385.4
1600.0,820.888,decrypt,32,455.71,5422.18
1700.0,11091.5,decrypt,1,5944.26,114773
1700.0,10962.4,decrypt,1,5969.29,114674
1700.0,10915.7,decrypt,1,5956.99,114706
1700.0,10907.3,decrypt,1,5980.41,114679
1700.0,10969.2,decrypt,1,5946.22,114731
1700.0,11070.9,decrypt,1,5953.71,114887
1700.0,10961.1,decrypt,1,6018.07,114767
1700.0,11034.8,decrypt,1,5966.42,114986
1700.0,10959,decrypt,1,6043.02,115074
1700.0,10916.8,decrypt,1,5979.46,114695
1700.0,3049.17,decrypt,4,1930.52,28704.4
1700.0,3960.28,decrypt,4,2242.98,40505.4
1700.0,4013.6,decrypt,4,2355.82,39979.7
1700.0,3833.81,decrypt,4,2138.87,36796.2
1700.0,4094.24,decrypt,4,2336.96,40530.4
1700.0,3752.66,decrypt,4,2165.71,36855.7
1700.0,3171.3,decrypt,4,1890.73,28681.8
1700.0,4226.27,decrypt,4,2388.94,40474.4
1700.0,3218.68,decrypt,4,1913.25,28679
1700.0,4110.08,decrypt,4,2254.04,40588.5
1700.0,1206.1,decrypt,16,791.568,10136.1
1700.0,1169.41,decrypt,16,831.198,9943.72
1700.0,1174.47,decrypt,16,865.072,10137.1
1700.0,1328.4,decrypt,16,857.124,10061.7
1700.0,1193.42,decrypt,16,801.966,10133.4
1700.0,1296.69,decrypt,16,851.411,10052.2
1700.0,1294.79,decrypt,16,797.269,10026.2
1700.0,1183.08,decrypt,16,825.157,10172.1
1700.0,1230.56,decrypt,16,812.757,10127.8
1700.0,1314.46,decrypt,16,786.82,10133.8
