FR,EN,Name,TR,DC,TIM
1200.0,25307.9,encrypt,1,12953.2,270905
1200.0,25051.2,encrypt,1,12846.2,270519
1200.0,25085.7,encrypt,1,12825.4,270288
1200.0,27694.9,encrypt,1,14111.3,297039
1200.0,28186.8,encrypt,1,14507.9,303050
1200.0,25223.6,encrypt,1,13026.6,270302
1200.0,25098.8,encrypt,1,12827.2,270394
1200.0,25276.4,encrypt,1,12836.6,270624
1200.0,25099.5,encrypt,1,12684.9,270226
1200.0,25273.4,encrypt,1,12766.6,270691
1200.0,6832.5,encrypt,4,3727.78,67641.2
1200.0,6836.19,encrypt,4,3724.99,67645.7
1200.0,7475.21,encrypt,4,4131.72,74398.2
1200.0,7563.91,encrypt,4,4071.99,74416.3
1200.0,6792.81,encrypt,4,3746.57,67726.7
1200.0,6922.09,encrypt,4,3773.85,67713.5
1200.0,6810.85,encrypt,4,3677.57,67622.4
1200.0,6925.95,encrypt,4,3770.32,67665.3
1200.0,6841.34,encrypt,4,3752.96,67686
1200.0,7435.64,encrypt,4,4046.39,74410.5
1200.0,2366.52,encrypt,16,1503.59,19997.7
1200.0,2608.35,encrypt,16,1630.86,21594.4
1200.0,2606.76,encrypt,16,1611.12,22580.4
1200.0,2080.52,encrypt,16,1424.1,17263
1200.0,2305.91,encrypt,16,1515.24,19020.7
1200.0,2736.12,encrypt,16,1653.25,22621.4
1200.0,2005.6,encrypt,16,1353.92,17378.5
1200.0,2434.58,encrypt,16,1494.3,19918.4
1200.0,2842.57,encrypt,16,1767.71,25362.1
1200.0,2936.92,encrypt,16,1712.83,25138.5
1400.0,11509.8,encrypt,2,6422.2,115954
1400.0,11533.2,encrypt,2,6298.4,115971
1400.0,11562.2,encrypt,2,6307.25,115912
1400.0,13068.3,encrypt,2,6947.34,133024
1400.0,11522.7,encrypt,2,6311.4,115922
1400.0,11603.3,encrypt,2,6389.13,115836
1400.0,11533,encrypt,2,6335.88,115970
1400.0,11504.3,encrypt,2,6308.04,115900
1400.0,12624,encrypt,2,7021.18,127452
1400.0,11311,encrypt,2,6126.57,116223
1400.0,3236.93,encrypt,8,2020.75,29110.2
1400.0,4164.69,encrypt,8,2378.98,37273.5
1400.0,3313.08,encrypt,8,2025.26,29161.3
1400.0,3367.01,encrypt,8,2039.32,29036.2
1400.0,4240.75,encrypt,8,2498.67,40033.4
1400.0,3232.49,encrypt,8,2010.46,29203.2
1400.0,3904.75,encrypt,8,2349.91,35867.4
1400.0,3391.13,encrypt,8,2141.1,30777.8
1400.0,3667.7,encrypt,8,2185.64,33925
1400.0,5499.73,encrypt,8,3149.4,51662.2
1400.0,1884.01,encrypt,16,1226.56,14851.4
1400.0,2072.69,encrypt,16,1264.06,14864.1
1400.0,2829.24,encrypt,16,1762.65,22217.1
1400.0,1819.68,encrypt,16,1315.62,14683.6
1400.0,2128.54,encrypt,16,1422.7,17081.5
1400.0,2123.31,encrypt,16,1447.92,17119.6
