FR,EN,Name,TR,DC,TIM
1200.0,25227.7,sort,1,13884.2,252787
1200.0,24521.4,sort,1,13214.3,252531
1200.0,24530.6,sort,1,13193.3,252594
1200.0,24528.6,sort,1,13185.2,252521
1200.0,24514.8,sort,1,13202.6,252423
1200.0,24495.8,sort,1,13194.1,252594
1200.0,24521.1,sort,1,13193.8,252606
1200.0,24272.6,sort,1,13036.9,252533
1200.0,24523.7,sort,1,13189.3,252581
1200.0,24179.5,sort,1,13024.3,252540
1200.0,15178.5,sort,2,8330.21,152990
1200.0,13158.4,sort,2,7459.59,132005
1200.0,14705.1,sort,2,8253.94,146885
1200.0,13319.6,sort,2,7380.49,132011
1200.0,15524.6,sort,2,8596.37,154347
1200.0,13180.6,sort,2,7272.34,132053
1200.0,13420.9,sort,2,7508.71,131919
1200.0,12711,sort,2,7032.26,132064
1200.0,13419,sort,2,7495.67,131919
1200.0,13424.6,sort,2,7472.28,132007
1200.0,8602.27,sort,4,4917.12,81834
1200.0,7884.39,sort,4,4555.59,73852
1200.0,7952.69,sort,4,4620.74,73765.8
1200.0,7948.9,sort,4,4600.33,73872.1
1200.0,7306.13,sort,4,4248.97,73758.8
1200.0,7960.61,sort,4,4622.38,73840
1200.0,7904.33,sort,4,4600.72,73922.3
1200.0,7967.82,sort,4,4597.56,73994.4
1200.0,7366.95,sort,4,4405.97,73783
1200.0,7879.54,sort,4,4602.83,73855.8
1200.0,4053.49,sort,16,2413.63,35807.1
1200.0,4048.59,sort,16,2400.61,35994.7
1200.0,3763.47,sort,16,2403.14,34844.4
1200.0,4040.73,sort,16,2417.76,35981.4
1200.0,2366.17,sort,16,1316.55,34937.5
1200.0,4073.78,sort,16,2433.82,36268.4
1200.0,4013.02,sort,16,2416.22,35247.7
1200.0,4038.54,sort,16,2382.41,35925.6
1200.0,3118.27,sort,16,1832.53,35933.6
1200.0,4046.8,sort,16,2364.91,35998.5
1400.0,11871.5,sort,2,6916.88,114085
1400.0,11819.4,sort,2,6848.65,114214
1400.0,11910.8,sort,2,6872.43,113076
1400.0,11835.6,sort,2,6821.01,113199
1400.0,11825.6,sort,2,6858.62,113064
1400.0,11868.8,sort,2,6763.39,113218
1400.0,11918,sort,2,6813.83,113080
1400.0,11687,sort,2,6768.54,113222
1400.0,11946.9,sort,2,6813.27,113088
1400.0,11858.3,sort,2,6777.02,113223
1400.0,7634,sort,4,4629.04,70227.3
1400.0,7271.93,sort,4,4368.94,63368.9
1400.0,7340.08,sort,4,4470.18,63217.5
1400.0,7424.75,sort,4,4509.22,63319.6
1400.0,7652.1,sort,4,4603.13,67966.9
1400.0,7355.61,sort,4,4480.13,63326.9
1400.0,7376.88,sort,4,4478.21,63228.6
1400.0,7449.66,sort,4,4536.53,63309.6
1400.0,6206.87,sort,4,3798.8,63221.8
1400.0,7520.73,sort,4,4624.68,63861.1
1400.0,4320.72,sort,8,2656.54,40160.9
1400.0,5045.91,sort,8,3269.66,38876.2
1400.0,4921.86,sort,8,3071.69,39676.7
1400.0,5089.56,sort,8,3340.06,39185.6
1400.0,4997.02,sort,8,3158.19,40431.6
1400.0,5113.62,sort,8,3317.6,39283.6
1400.0,3517.5,sort,8,2168.2,39461.2
1400.0,5142.51,sort,8,3355.22,38985.6
1400.0,4916.67,sort,8,3171.45,40136
1400.0,5023.62,sort,8,3278.51,38926.9
1400.0,3565.7,sort,32,2319.96,27126.6
1400.0,3828.4,sort,32,2629.94,27170
1400.0,2526.02,sort,32,1700.59,28127.4
1400.0,3882.62,sort,32,2624.99,27177.4
1400.0,3725,sort,32,2436.09,28109.6
1400.0,3893.31,sort,32,2574.68,27689.1
1400.0,3978.11,sort,32,2613.91,29670.2
1400.0,4047.58,sort,32,2673.81,28661.1
1400.0,3983.48,sort,32,2626.05,29634.6
1400.0,4097.57,sort,32,2772.59,29577.4
1700.0,18553.7,sort,1,10555.1,178332
1700.0,18469.7,sort,1,10496.8,178337
1700.0,18450.5,sort,1,10468.4,178256
1700.0,18458.3,sort,1,10546.2,178342
1700.0,18469,sort,1,10514.2,178245
1700.0,18543.8,sort,1,10544.9,178348
1700.0,18204.4,sort,1,10476.7,178252
1700.0,18329.6,sort,1,10551.1,178333
1700.0,18514.4,sort,1,10511.4,178225
1700.0,18525.1,sort,1,10544.3,178349
1700.0,6189.82,sort,4,3863.68,52182.1
1700.0,6418.85,sort,4,4070.22,52189.2
1700.0,6447.09,sort,4,4046.51,52090.7
1700.0,6499.63,sort,4,4125.87,52186.9
1700.0,6438.53,sort,4,4058.95,52102.8
1700.0,6489.9,sort,4,4100.91,52198.7
1700.0,6615.11,sort,4,4183.63,54979.9
