Name,ACT,DataType,REP,TR,FR,EN_S,TIM_S,EN,SUB,OV_EN,OV_TIM
pigz,decompress,game1,1,2.0,2900.0,-1.32,-1.94,642.36,0.45,335442.1,3214.2
pigz,decompress,cr_audio1.wav,1,4.0,2700.0,4.88,-3.35,239.76,0.47,118026.2,1061.0
plzip,decompress,enwik8,1,16.0,2700.0,2.84,-1.61,94.55,0.36,58655.7,489.2
pigz,decompress,enwik8,1,16.0,2900.0,2.98,1.64,74.89,0.36,28179.7,227.2
pigz,decompress,cr_audio1.flac,1,4.0,1800.0,-0.72,-30.77,73.86,0.38,29262.1,274.7
nanozip_default,decompress,cr_audio1.wav,1,8.0,2800.0,2.93,-3.03,367.61,0.43,214564.8,1767.2
nanozip_5,decompress,cr_audio1.flac,1,8.0,2800.0,3.63,-2.5,111.62,0.56,102434.2,909.0
pbzip2,decompress,game1,1,32.0,2000.0,9.15,-28.9,406.15,0.5,919389.2,8772.9
plzip,decompress,cr_audio1.flac,1,32.0,2800.0,-0.34,-2.92,377.02,0.57,463732.4,4139.8
nanozip_5,decompress,app4,1,4.0,2901.0,6.98,22.71,2209.37,0.39,932601.3,8564.6
pigz,decompress,app4,1,2.0,2000.0,-14.96,-31.79,403.14,0.42,187841.2,1850.7
pigz,decompress,enwik9,1,4.0,2400.0,2.36,-5.34,932.29,0.55,596949.6,5768.4
nanozip_50,decompress,enwik9,1,16.0,2200.0,6.45,-25.95,959.9,0.44,1042084.0,7730.5
pbzip2,decompress,enwik8,1,32.0,2700.0,15.21,10.26,70.81,0.42,63283.4,463.7
nanozip_default,decompress,enwik9,1,16.0,2700.0,4.61,-4.25,1121.59,0.41,1294890.3,10847.8
plzip,decompress,cr_audio1.wav,1,32.0,1900.0,-7.55,-40.36,589.39,0.42,631665.8,6297.5
nanozip_50,decompress,app4,1,16.0,2900.0,0.26,0.0,580.26,0.69,1087624.4,10085.6
pbzip2,decompress,cr_audio1.wav,1,32.0,2400.0,15.43,-3.88,220.5,0.48,344640.1,2712.0
plzip,decompress,game1,1,32.0,2400.0,3.54,-8.01,529.53,0.6,657192.8,5410.3
nanozip_default,decompress,cr_audio1.flac,1,32.0,2800.0,1.67,-2.29,244.78,0.57,189927.0,1649.2
nanozip_50,decompress,game1,1,16.0,2400.0,28.26,36.09,1419.89,0.55,2659057.1,23613.3
nanozip_50,decompress,cr_audio1.wav,1,8.0,2800.0,0.08,-2.63,376.55,0.63,446851.0,4138.6
nanozip_default,decompress,game1,1,32.0,2400.0,29.07,34.67,1451.43,0.59,2538726.7,23191.6
plzip,decompress,app4,1,32.0,2400.0,4.55,-6.93,297.59,0.55,303211.2,2551.3
nanozip_5,decompress,enwik8,1,16.0,2500.0,4.8,-11.54,116.79,0.63,172972.0,1459.6
nanozip_default,decompress,enwik8,1,16.0,2400.0,8.55,-7.02,117.83,0.42,162586.9,1428.0
plzip,decompress,enwik9,1,32.0,2500.0,1.74,-7.3,735.24,0.65,968338.8,8661.7
nanozip_default,decompress,app4,1,16.0,2500.0,20.19,23.25,626.52,0.57,766133.5,6292.6
nanozip_50,decompress,cr_audio1.flac,1,16.0,2900.0,0.62,0.34,373.86,0.65,366089.7,3456.6
nanozip_5,decompress,game1,1,8.0,2900.0,5.79,0.27,1933.5,0.77,3353656.4,30009.7
pbzip2,decompress,cr_audio1.flac,1,32.0,2400.0,12.57,-4.35,144.09,0.72,394188.2,3623.1
pbzip2,decompress,enwik9,1,32.0,2200.0,16.18,-8.87,636.39,0.69,1348634.0,11511.1
pbzip2,decompress,app4,1,32.0,2200.0,9.96,-18.63,234.76,0.75,554543.8,4804.5
nanozip_50,decompress,enwik8,1,16.0,1800.0,10.08,-30.0,107.93,0.48,192408.1,1857.0
nanozip_5,decompress,cr_audio1.wav,1,32.0,2900.0,0.0,0.0,382.18,0.85,651379.8,6295.2
nanozip_5,decompress,enwik9,1,16.0,2500.0,1.81,-12.52,1513.44,0.76,2715650.4,24482.1
pbzip2,compress,app4,1,32.0,1700.0,4.83,-57.73,791.73,0.44,1072151.1,10170.5
pbzip2,compress,game1,1,32.0,2200.0,7.31,-25.49,1102.12,0.48,1306384.4,10816.2
pbzip2,compress,enwik9,1,32.0,2000.0,10.69,-33.39,1696.21,0.46,2310282.8,18738.0
pigz,compress,enwik8,1,32.0,2700.0,3.16,-6.67,70.1,0.46,114132.5,917.7
plzip,compress,cr_audio1.flac,1,8.0,2700.0,15.42,13.27,1803.59,0.27,946133.9,7027.8
nanozip_5,compress,game1,1,8.0,2400.0,32.73,41.23,10348.94,0.61,12438044.0,106849.1
pigz,compress,cr_audio1.wav,1,32.0,2200.0,11.92,-1.54,197.66,0.48,197651.6,1658.6
plzip,compress,cr_audio1.wav,1,16.0,2200.0,18.41,2.39,2328.08,0.55,3009046.1,23783.4
pbzip2,compress,enwik8,1,32.0,2200.0,6.95,-20.59,170.32,0.6,243011.1,1917.9
nanozip_default,compress,enwik9,1,8.0,2400.0,46.59,48.09,3457.31,0.6,3974780.3,35729.9
nanozip_5,compress,app4,1,8.0,1600.0,41.78,32.92,4433.27,0.74,7324605.4,63983.0
plzip,compress,enwik8,1,8.0,2200.0,9.51,-5.84,1897.7,0.68,2223881.6,18740.8
nanozip_50,compress,game1,1,16.0,2300.0,43.27,57.56,9461.33,0.68,12084675.1,102051.9
nanozip_50,compress,cr_audio1.flac,1,32.0,2800.0,26.52,39.3,1428.91,0.58,2446630.6,22230.0
nanozip_5,compress,cr_audio1.flac,1,32.0,2700.0,11.95,9.99,1446.24,0.75,3185986.6,28392.4
plzip,compress,enwik9,1,32.0,2000.0,19.48,-11.43,8420.09,0.52,12788216.9,98828.5
pigz,compress,app4,1,32.0,2500.0,3.57,-13.24,302.43,0.65,611697.5,5278.1
nanozip_default,compress,cr_audio1.flac,1,8.0,2700.0,6.73,-5.51,1524.78,0.75,2333642.6,20322.2
nanozip_default,compress,enwik8,1,8.0,2400.0,53.45,56.2,314.02,0.56,405560.1,3560.3
nanozip_5,compress,cr_audio1.wav,1,8.0,2300.0,39.44,49.34,336.8,0.7,594296.9,5575.2
pbzip2,compress,cr_audio1.wav,1,32.0,1700.0,6.27,-54.19,534.94,0.4,816580.0,8009.6
pigz,compress,game1,1,32.0,2200.0,6.26,-15.77,550.37,0.78,1361966.8,12022.0
nanozip_50,compress,enwik9,1,8.0,1800.0,25.56,21.34,3025.76,0.54,5424512.4,48876.7
nanozip_50,compress,app4,1,8.0,2200.0,45.49,45.92,3932.65,0.82,8060723.4,72349.7
pbzip2,compress,cr_audio1.flac,1,32.0,1600.0,4.84,-60.87,418.33,0.33,521102.5,5193.0
plzip,compress,app4,1,32.0,2000.0,12.81,-21.67,2416.26,0.6,3292093.3,24523.4
pigz,compress,cr_audio1.flac,1,32.0,2400.0,3.72,-8.93,99.89,0.74,186195.3,1668.8
nanozip_default,compress,app4,1,8.0,2200.0,51.78,55.21,3727.43,0.69,5765959.9,48687.0
nanozip_5,compress,enwik8,1,8.0,2200.0,33.87,28.26,343.8,0.76,476071.9,3938.0
pigz,compress,enwik9,1,32.0,1700.0,7.57,-30.41,787.39,0.84,2006267.6,17726.5
nanozip_5,compress,enwik9,1,32.0,1900.0,25.5,-8.69,3107.72,0.56,5470129.5,51281.2
plzip,compress,game1,1,32.0,2200.0,9.49,-19.82,3962.79,0.46,4768504.4,36014.4
nanozip_default,compress,game1,1,8.0,2200.0,55.42,60.48,8638.37,0.68,14689754.6,131935.2
nanozip_default,compress,cr_audio1.wav,1,8.0,1700.0,34.51,28.5,360.33,0.7,603204.2,5872.2
nanozip_50,compress,enwik8,1,8.0,2900.0,44.93,52.51,317.16,0.84,816038.4,5261.8
nanozip_50,compress,cr_audio1.wav,1,8.0,1900.0,42.72,47.05,363.98,0.64,475726.5,4284.4
