FR,EN_S,Name,OV_EN,DataType,REP,TR,TIM_S,OV_TIM,EN,ACT,SUB
2400.0,8.85,results,778355.47692,21,1,16.0,-14.62,5452.81988836,795.997569857,select,0.64
2200.0,20.85,results,117186.940053,14,1,8.0,-32.48,819.087589054,180.005635286,select,0.46
2901.0,11.38,results,175630.725671,08,1,16.0,18.71,1256.94777585,334.111430143,select,0.42
2800.0,50.28,results,3559138.81086,09,1,4.0,8.67,21847.4699305,5198.37934643,select,0.77
2500.0,12.53,results,336626.468283,07,1,32.0,1.07,2309.02690843,346.581580571,select,0.52
2400.0,2.7,results,635890.263079,10,1,32.0,-14.62,4983.65178409,1090.78353029,select,0.52
2300.0,23.29,results,1147900.67729,13,1,16.0,17.13,9423.83145511,3127.16439729,select,0.41
2700.0,18.28,results,398535.837698,05,1,16.0,11.08,3091.23233533,493.749888429,select,0.65
1800.0,12.57,results,107354.638947,12,1,32.0,-20.98,815.038627892,143.100862714,select,0.4
2400.0,19.74,results,134475.373517,06,1,16.0,-2.36,1055.54148135,67.4547972857,select,0.49
2400.0,-0.28,results,524870.383572,19,1,32.0,-25.74,3683.6948732,355.650911571,select,0.52
2800.0,10.35,results,1049132.64352,16,1,16.0,6.29,8490.22575576,1678.48302843,select,0.72
2000.0,1.86,results,1599554.10261,18,1,32.0,-12.81,12885.8505937,2427.103182,select,0.61
1900.0,15.36,results,1570908.31061,01,1,32.0,-20.74,12058.4686444,1458.36138543,select,0.47
2700.0,8.58,results,156886.266271,04,1,16.0,4.03,1076.59153386,199.210707286,select,0.56
2500.0,6.47,results,80940.656751,11,1,32.0,-10.09,591.620066306,52.9431744286,select,0.77
2800.0,31.56,results,64561.087259,02,1,16.0,36.19,471.042608079,88.5202962857,select,0.56
2700.0,2.94,results,314356.014835,22,1,8.0,-3.89,2274.96689923,482.700110429,select,0.65
2800.0,9.37,results,330504.010448,03,1,16.0,-2.74,2324.56341566,557.905689286,select,0.61
2901.0,6.88,results,83751.11317,20,1,8.0,19.1,536.027589276,245.035164143,select,0.33
2900.0,51.16,results,975448.322076,17,1,8.0,24.92,6594.3198781,1512.731612,select,0.54
