DataType,ACT,Name,REP,TR,FR,EN_S,TIM_S,EN,SUB,OV_EN,OV_TIM
game1,encrypt,3DES,1,32.0,1800.0,1.11,-60.38,14992.09,0.08,1488300.7,11015008.2
game1,encrypt,AES,1,32.0,2000.0,8.73,-43.21,6989.437,0.17,2384652.9,20252782.6
enwik9,encrypt,AES,1,32.0,1600.0,8.62,-84.94,11164.808,0.11,2468013.48,22221938.9
app4,encrypt,AES,1,8.0,2200.0,-20.68,-140.33,6743.829,0.11,2260135.66,21024313.8
app4,encrypt,3DES,1,32.0,1900.0,8.11,-52.01,8858.98,0.39,16802647.32,153258021.4
enwik9,encrypt,3DES,1,32.0,2300.0,0.15,-26.08,21822.71,0.32,31080810.9,281658359.0
enwik9,decrypt,3DES,1,4.0,1300.0,-537.59,-1227.11,57070.06,0.09,10446879.7,108263639.0
game1,decrypt,3DES,1,32.0,2000.0,-8.99,-43.68,6439.947,0.21,6462992.05,61328481.0
app4,decrypt,3DES,1,32.0,2800.0,12.48,-3.07,3763.124,0.3,4078412.18,30356838.4
enwik4,encrypt,Whirlpool,1,16.0,2000.0,-11.63,-106.66,6528.072,0.16,3760452.207,36648449.01
enwik4,encrypt,SHA2,1,8.0,2200.0,-136.94,-316.65,9007.947,0.21,3717801.693,32344732.89
