FR,EN,Name,MEM,POW,TR,TIM
1200.0,2963.05,game1,1166640.0,108.92,8,27.19
1200.0,2964.68,game1,1166600.0,108.98,8,27.19
1200.0,2966.26,game1,1186804.0,109.03,8,27.21
1200.0,2967.26,game1,1179508.0,109.07,8,27.2
1200.0,2965.95,game1,1188104.0,109.02,8,27.2
1200.0,2970.18,game1,1170552.0,108.97,8,27.2
1200.0,2970.78,game1,1170208.0,109.19,8,27.19
1200.0,2972.03,game1,1157312.0,109.04,8,27.22
1200.0,2966.74,game1,1172008.0,109.04,8,27.19
1200.0,3012.69,game1,1174932.0,108.73,8,27.67
1200.0,2991.98,game1,1175500.0,109.94,16,27.22
1200.0,2989.92,game1,1168620.0,109.9,16,27.22
1200.0,2987.45,game1,1188644.0,109.8,16,27.22
1200.0,2991.51,game1,1170816.0,109.95,16,27.2
1200.0,2996.01,game1,1163920.0,109.89,16,27.21
1200.0,2988.82,game1,1174036.0,109.84,16,27.19
1200.0,3000.67,game1,1173360.0,110.28,16,27.21
1200.0,3003.03,game1,1170744.0,109.77,16,27.34
1200.0,2991.55,game1,1169124.0,109.91,16,27.2
1200.0,2992.23,game1,1158240.0,109.99,16,27.19
1800.0,7128.23,game1,1177208.0,100.83,2,70.67
1800.0,7128.85,game1,1180800.0,100.83,2,70.69
1800.0,7124.64,game1,1174776.0,100.84,2,70.67
1800.0,7125.29,game1,1188012.0,100.86,2,70.68
1800.0,7130.36,game1,1169260.0,100.85,2,70.7
1800.0,7150.74,game1,1165336.0,100.93,2,70.85
1800.0,7134.23,game1,1172392.0,100.84,2,70.73
1800.0,7123.27,game1,1177492.0,100.82,2,70.69
1800.0,7159.65,game1,1178852.0,100.84,2,70.96
1800.0,7129.8,game1,1179624.0,100.85,2,70.68
1800.0,2317.53,game1,1182812.0,127.61,16,18.12
1800.0,2316.73,game1,1171036.0,127.93,16,18.08
1800.0,2292.0,game1,1182868.0,126.56,16,18.09
1800.0,2314.11,game1,1174700.0,127.43,16,18.12
1800.0,2311.65,game1,1172516.0,127.66,16,18.08
1800.0,2311.3,game1,1176580.0,127.62,16,18.09
1800.0,2311.51,game1,1168324.0,127.64,16,18.11
1800.0,2289.52,game1,1173716.0,126.42,16,18.09
1800.0,2315.46,game1,1167492.0,128.21,16,18.08
1800.0,2308.08,game1,1171800.0,127.44,16,18.09
2200.0,6015.73,game1,1179376.0,105.56,2,57.0
2200.0,6006.1,game1,1168380.0,105.57,2,56.9
2200.0,5997.77,game1,1177900.0,105.59,2,56.79
2200.0,5998.51,game1,1179812.0,105.63,2,56.78
2200.0,5996.96,game1,1179160.0,105.58,2,56.77
2200.0,5997.24,game1,1172548.0,105.58,2,56.78
2200.0,5994.97,game1,1183140.0,105.64,2,56.78
2200.0,5998.06,game1,1180980.0,105.6,2,56.79
2200.0,5994.31,game1,1184080.0,105.63,2,56.78
2200.0,5993.69,game1,1182704.0,105.61,2,56.78
2200.0,1419.76,game1,1173652.0,181.5,16,7.84
2200.0,1424.58,game1,1182176.0,181.03,16,7.84
2200.0,1427.01,game1,1170328.0,181.3,16,7.84
2200.0,1429.36,game1,1177544.0,181.41,16,7.84
2200.0,1427.42,game1,1184796.0,181.38,16,7.84
2200.0,1426.93,game1,1193812.0,181.23,16,7.84
2200.0,1428.6,game1,1176056.0,181.53,16,7.84
2200.0,1426.94,game1,1174584.0,181.29,16,7.84
2200.0,1426.32,game1,1190348.0,181.2,16,7.84
2200.0,1428.69,game1,1179568.0,181.53,16,7.84
2400.0,3188.34,game1,1180860.0,121.2,4,26.3
2400.0,3182.98,game1,1167744.0,121.0,4,26.31
2400.0,3175.23,game1,1167128.0,120.7,4,26.32
2400.0,3173.52,game1,1179432.0,120.64,4,26.29
2400.0,3180.31,game1,1175704.0,120.9,4,26.29
2400.0,3199.86,game1,1181912.0,120.5,4,26.58
2400.0,3180.21,game1,1177396.0,120.88,4,26.3
2400.0,3179.64,game1,1166328.0,120.87,4,26.3
2400.0,3188.15,game1,1172212.0,121.19,4,26.29
2400.0,3188.12,game1,1182212.0,120.73,4,26.35
2400.0,1416.86,game1,1167660.0,197.57,32,7.18
2400.0,1417.81,game1,1186808.0,196.36,32,7.18
2400.0,1422.62,game1,1179588.0,196.99,32,7.19
2400.0,1418.78,game1,1180332.0,196.47,32,7.19
2400.0,1417.06,game1,1173372.0,196.13,32,7.19
2400.0,1419.27,game1,1173628.0,196.5,32,7.19
2400.0,1414.02,game1,1176884.0,197.1,32,7.18
2400.0,1419.66,game1,1182084.0,196.57,32,7.19
2400.0,1418.36,game1,1177124.0,196.39,32,7.18
2400.0,1414.42,game1,1183452.0,196.94,32,7.19
2700.0,9914.7,game1,1185024.0,108.06,1,91.75
2700.0,9925.98,game1,1184248.0,108.13,1,91.81
2700.0,9899.28,game1,1178808.0,108.01,1,91.63
2700.0,10046.81,game1,1184588.0,108.91,1,92.24
2700.0,9887.61,game1,1166976.0,107.89,1,91.65
2700.0,9908.8,game1,1174600.0,108.05,1,91.67
2700.0,9914.29,game1,1166304.0,108.0,1,91.76
2700.0,9878.72,game1,1178620.0,107.79,1,91.66
2700.0,9931.07,game1,1161296.0,108.42,1,91.63
2700.0,9895.55,game1,1183268.0,107.97,1,91.64
2700.0,1990.21,game1,1162952.0,158.31,8,12.57
2700.0,2000.14,game1,1177156.0,158.55,8,12.58
2700.0,2011.22,game1,1168252.0,159.42,8,12.57
2700.0,2013.0,game1,1159836.0,159.55,8,12.56
2700.0,2005.99,game1,1158080.0,159.83,8,12.57
2700.0,2002.42,game1,1180608.0,159.37,8,12.57
2700.0,2014.23,game1,1171300.0,159.66,8,12.57
2700.0,2012.3,game1,1178048.0,159.97,8,12.57
2700.0,1999.76,game1,1175704.0,159.16,8,12.57
2700.0,2015.92,game1,1168224.0,160.44,8,12.57
2901.0,8516.71,game1,1179816.0,130.72,1,65.16
2901.0,8541.59,game1,1169176.0,130.31,1,65.57
2901.0,8667.21,game1,1171968.0,131.72,1,65.82
2901.0,8566.72,game1,1159068.0,131.09,1,65.35
2901.0,8522.56,game1,1183696.0,130.72,1,65.23
2901.0,8627.44,game1,1179864.0,132.32,1,65.21
2901.0,8560.35,game1,1173508.0,131.1,1,65.32
2901.0,8558.18,game1,1171088.0,130.87,1,65.37
2901.0,8551.17,game1,1181232.0,131.06,1,65.25
2901.0,8502.45,game1,1173900.0,130.32,1,65.26
2901.0,2565.78,game1,1169628.0,185.75,8,13.77
2901.0,2576.63,game1,1163944.0,187.16,8,13.77
2901.0,2544.65,game1,1175740.0,184.23,8,13.79
2901.0,2562.13,game1,1170952.0,184.18,8,13.91
2901.0,2543.58,game1,1172372.0,184.16,8,13.77
2901.0,2568.3,game1,1175476.0,185.29,8,13.83
2901.0,2535.97,game1,1178596.0,184.32,8,13.78
2901.0,2538.96,game1,1186128.0,184.48,8,13.77
2901.0,2541.96,game1,1156608.0,184.06,8,13.76
2901.0,2539.06,game1,1179976.0,184.49,8,13.78
1300.0,4880.89,game1,1168580.0,101.36,4,48.16
1300.0,4881.93,game1,1171864.0,101.39,4,48.13
1300.0,4882.56,game1,1177624.0,101.4,4,48.17
1300.0,4912.63,game1,1172088.0,101.39,4,48.42
1300.0,4881.44,game1,1175632.0,101.37,4,48.11
1300.0,4874.18,game1,1179364.0,101.33,4,48.1
1300.0,4904.59,game1,1164664.0,101.35,4,48.39
1300.0,4876.28,game1,1186520.0,101.38,4,48.11
1300.0,4877.84,game1,1173276.0,101.41,4,48.11
1300.0,4876.09,game1,1163468.0,101.37,4,48.1
1300.0,2811.09,game1,1167544.0,111.3,32,25.23
1300.0,2811.95,game1,1167452.0,111.33,32,25.24
1300.0,2820.23,game1,1165748.0,111.23,32,25.33
1300.0,2804.3,game1,1170824.0,111.26,32,25.21
1300.0,2809.11,game1,1187984.0,111.23,32,25.23
1300.0,2811.39,game1,1164544.0,111.31,32,25.25
1300.0,2808.36,game1,1164236.0,111.2,32,25.23
1300.0,2812.82,game1,1169284.0,111.37,32,25.24
1300.0,2812.71,game1,1165676.0,111.36,32,25.25
1300.0,2810.23,game1,1176488.0,111.26,32,25.22
1700.0,4074.09,game1,1162780.0,109.51,4,37.15
1700.0,4056.13,game1,1175440.0,109.17,4,37.18
1700.0,4053.65,game1,1171380.0,109.1,4,37.15
1700.0,4076.13,game1,1180484.0,109.27,4,37.27
1700.0,4065.04,game1,1167732.0,109.26,4,37.18
1700.0,4065.1,game1,1171020.0,109.41,4,37.15
1700.0,4102.35,game1,1179924.0,109.23,4,37.55
1700.0,4061.82,game1,1174516.0,109.33,4,37.14
1700.0,4069.0,game1,1167792.0,109.52,4,37.14
1700.0,4107.56,game1,1175288.0,109.39,4,37.56
1700.0,1512.06,game1,1180528.0,148.74,32,10.15
1700.0,1517.36,game1,1180664.0,148.55,32,10.15
1700.0,1513.14,game1,1178100.0,148.78,32,10.14
1700.0,1514.08,game1,1173092.0,148.96,32,10.14
1700.0,1512.17,game1,1162404.0,148.74,32,10.14
1700.0,1512.38,game1,1180880.0,148.76,32,10.14
1700.0,1513.22,game1,1181580.0,148.87,32,10.14
1700.0,1513.12,game1,1181764.0,149.59,32,10.13
1700.0,1512.85,game1,1171464.0,148.79,32,10.15
1700.0,1513.77,game1,1171744.0,148.84,32,10.14
1900.0,12625.09,game1,1173288.0,97.12,1,129.99
1900.0,12608.54,game1,1179672.0,96.99,1,129.99
1900.0,12593.48,game1,1184252.0,96.88,1,129.99
1900.0,12602.87,game1,1175632.0,96.91,1,130.04
1900.0,12646.4,game1,1167288.0,97.06,1,130.27
1900.0,12599.42,game1,1184204.0,96.89,1,130.05
