FR,EN,Name,MEM,POW,TR,TIM
1200.0,743.99,cr_audio1.wav,314884.0,98.49,8,7.52
1200.0,736.27,cr_audio1.wav,314692.0,98.13,8,7.53
1200.0,741.06,cr_audio1.wav,319344.0,98.11,8,7.52
1200.0,742.43,cr_audio1.wav,310456.0,98.3,8,7.52
1200.0,736.78,cr_audio1.wav,313008.0,98.22,8,7.53
1200.0,736.11,cr_audio1.wav,306472.0,98.11,8,7.52
1200.0,735.01,cr_audio1.wav,321024.0,98.17,8,7.52
1200.0,736.96,cr_audio1.wav,315868.0,98.24,8,7.52
1200.0,735.86,cr_audio1.wav,310796.0,98.15,8,7.52
1200.0,736.36,cr_audio1.wav,311676.0,98.14,8,7.52
1800.0,1021.66,cr_audio1.wav,319712.0,99.68,2,10.27
1800.0,1026.11,cr_audio1.wav,323496.0,99.62,2,10.28
1800.0,1025.5,cr_audio1.wav,321820.0,99.55,2,10.29
1800.0,1021.58,cr_audio1.wav,320388.0,99.66,2,10.28
1800.0,1025.69,cr_audio1.wav,311452.0,99.56,2,10.29
1800.0,1025.61,cr_audio1.wav,304632.0,99.57,2,10.29
1800.0,1025.73,cr_audio1.wav,316716.0,99.59,2,10.28
1800.0,1021.31,cr_audio1.wav,298732.0,99.64,2,10.27
1800.0,1020.97,cr_audio1.wav,298692.0,99.6,2,10.27
1800.0,1025.55,cr_audio1.wav,324020.0,99.56,2,10.29
1800.0,489.3,cr_audio1.wav,312772.0,114.93,16,4.25
1800.0,483.71,cr_audio1.wav,317856.0,112.39,16,4.25
1800.0,477.28,cr_audio1.wav,318708.0,112.17,16,4.24
1800.0,488.78,cr_audio1.wav,319592.0,114.81,16,4.25
1800.0,493.98,cr_audio1.wav,308132.0,116.07,16,4.25
1800.0,475.45,cr_audio1.wav,307608.0,111.57,16,4.24
1800.0,475.38,cr_audio1.wav,324456.0,111.71,16,4.25
1800.0,482.65,cr_audio1.wav,324920.0,113.39,16,4.25
1800.0,477.74,cr_audio1.wav,316712.0,110.94,16,4.25
1800.0,472.39,cr_audio1.wav,314328.0,110.96,16,4.24
2200.0,875.77,cr_audio1.wav,297904.0,104.24,2,8.41
2200.0,875.55,cr_audio1.wav,299028.0,104.23,2,8.41
2200.0,879.58,cr_audio1.wav,299952.0,104.19,2,8.41
2200.0,874.87,cr_audio1.wav,313048.0,104.16,2,8.42
2200.0,880.82,cr_audio1.wav,327108.0,104.22,2,8.42
2200.0,878.4,cr_audio1.wav,299968.0,104.57,2,8.41
2200.0,880.48,cr_audio1.wav,297272.0,104.21,2,8.41
2200.0,875.72,cr_audio1.wav,299588.0,104.25,2,8.41
2200.0,878.8,cr_audio1.wav,294248.0,104.22,2,8.41
2200.0,875.44,cr_audio1.wav,325480.0,104.22,2,8.42
2200.0,438.64,cr_audio1.wav,323196.0,125.05,16,3.48
2200.0,435.26,cr_audio1.wav,327028.0,124.06,16,3.48
2200.0,424.07,cr_audio1.wav,310680.0,120.9,16,3.48
2200.0,428.03,cr_audio1.wav,311748.0,121.96,16,3.48
2200.0,422.45,cr_audio1.wav,318340.0,120.46,16,3.48
2200.0,429.29,cr_audio1.wav,317932.0,122.46,16,3.47
2200.0,443.64,cr_audio1.wav,316224.0,126.46,16,3.48
2200.0,436.87,cr_audio1.wav,314272.0,124.66,16,3.48
2200.0,432.48,cr_audio1.wav,310168.0,125.13,16,3.48
2200.0,433.95,cr_audio1.wav,324460.0,125.46,16,3.48
2400.0,577.04,cr_audio1.wav,290936.0,111.98,4,5.13
2400.0,577.5,cr_audio1.wav,316508.0,112.09,4,5.13
2400.0,585.11,cr_audio1.wav,321068.0,113.56,4,5.14
2400.0,577.54,cr_audio1.wav,318240.0,112.05,4,5.13
2400.0,578.3,cr_audio1.wav,311840.0,112.27,4,5.13
2400.0,577.28,cr_audio1.wav,323920.0,111.93,4,5.14
2400.0,578.71,cr_audio1.wav,324760.0,112.32,4,5.13
2400.0,571.78,cr_audio1.wav,300232.0,112.05,4,5.13
2400.0,573.38,cr_audio1.wav,320072.0,112.36,4,5.13
2400.0,583.85,cr_audio1.wav,293480.0,113.43,4,5.12
2400.0,403.05,cr_audio1.wav,319400.0,125.66,32,3.19
2400.0,408.15,cr_audio1.wav,317172.0,127.21,32,3.19
2400.0,419.4,cr_audio1.wav,319108.0,130.8,32,3.19
2400.0,422.42,cr_audio1.wav,319028.0,131.68,32,3.19
2400.0,406.37,cr_audio1.wav,329436.0,126.5,32,3.18
2400.0,423.1,cr_audio1.wav,311180.0,131.65,32,3.19
2400.0,426.88,cr_audio1.wav,328636.0,132.98,32,3.19
2400.0,429.16,cr_audio1.wav,326564.0,133.71,32,3.19
2400.0,408.16,cr_audio1.wav,321908.0,127.22,32,3.19
2400.0,402.62,cr_audio1.wav,315092.0,125.5,32,3.19
2700.0,1203.13,cr_audio1.wav,309996.0,106.04,1,11.34
2700.0,1190.8,cr_audio1.wav,302588.0,104.92,1,11.33
2700.0,1208.48,cr_audio1.wav,300096.0,106.48,1,11.32
2700.0,1190.95,cr_audio1.wav,302552.0,104.95,1,11.33
2700.0,1190.98,cr_audio1.wav,300264.0,104.98,1,11.34
2700.0,1208.11,cr_audio1.wav,304408.0,106.46,1,11.32
2700.0,1191.28,cr_audio1.wav,304640.0,104.97,1,11.34
2700.0,1200.92,cr_audio1.wav,300296.0,106.28,1,11.32
2700.0,1191.5,cr_audio1.wav,305940.0,104.99,1,11.33
2700.0,1210.28,cr_audio1.wav,310396.0,106.64,1,11.33
2700.0,383.49,cr_audio1.wav,307168.0,134.27,8,2.82
2700.0,375.54,cr_audio1.wav,309328.0,131.03,8,2.82
2700.0,373.54,cr_audio1.wav,318204.0,132.97,8,2.82
2700.0,370.27,cr_audio1.wav,299400.0,131.79,8,2.82
2700.0,377.49,cr_audio1.wav,304348.0,132.04,8,2.83
2700.0,380.07,cr_audio1.wav,311220.0,132.48,8,2.82
2700.0,372.25,cr_audio1.wav,305952.0,132.56,8,2.82
2700.0,383.5,cr_audio1.wav,305264.0,134.21,8,2.82
2700.0,372.12,cr_audio1.wav,322324.0,132.44,8,2.82
2700.0,377.32,cr_audio1.wav,330696.0,134.51,8,2.82
1300.0,915.86,cr_audio1.wav,323576.0,96.89,4,9.45
1300.0,912.7,cr_audio1.wav,312172.0,96.83,4,9.44
1300.0,915.56,cr_audio1.wav,319568.0,96.87,4,9.45
1300.0,915.81,cr_audio1.wav,318512.0,96.92,4,9.45
1300.0,915.45,cr_audio1.wav,312884.0,96.86,4,9.44
1300.0,920.12,cr_audio1.wav,295188.0,96.84,4,9.44
1300.0,915.12,cr_audio1.wav,305060.0,96.83,4,9.44
1300.0,913.88,cr_audio1.wav,291332.0,97.2,4,9.44
1300.0,916.06,cr_audio1.wav,304464.0,96.85,4,9.45
1300.0,915.81,cr_audio1.wav,292740.0,96.9,4,9.44
1300.0,593.71,cr_audio1.wav,319404.0,101.39,32,5.87
1300.0,601.85,cr_audio1.wav,321584.0,101.89,32,5.88
1300.0,601.23,cr_audio1.wav,322844.0,102.72,32,5.87
1300.0,600.95,cr_audio1.wav,317336.0,101.83,32,5.87
1300.0,596.22,cr_audio1.wav,310396.0,101.0,32,5.87
