FR,EN,Name,MEM,POW,TR,TIM
1200.0,2388.73,enwik9,4192964.0,111.33,8,21.45
1200.0,2417.54,enwik9,4183732.0,110.62,8,21.86
1200.0,2393.92,enwik9,4193740.0,111.05,8,21.54
1200.0,2399.64,enwik9,4186308.0,111.06,8,21.59
1200.0,2391.59,enwik9,4191340.0,111.2,8,21.44
1200.0,2443.1,enwik9,4195772.0,110.76,8,22.03
1200.0,2401.42,enwik9,4193372.0,111.14,8,21.59
1200.0,2398.93,enwik9,4194564.0,111.3,8,21.57
1200.0,2267.22,enwik9,4194772.0,113.02,8,20.06
1200.0,2403.75,enwik9,4192340.0,110.75,8,21.73
1700.0,2864.14,enwik9,4188216.0,112.74,4,25.38
1700.0,2880.29,enwik9,4194856.0,112.5,4,25.62
1700.0,2866.5,enwik9,4191700.0,112.61,4,25.42
1700.0,2860.24,enwik9,4192172.0,112.59,4,25.38
1700.0,2853.74,enwik9,4193268.0,112.69,4,25.32
1700.0,2862.17,enwik9,4190292.0,112.67,4,25.38
1700.0,2866.55,enwik9,4186712.0,112.61,4,25.47
1700.0,2894.55,enwik9,4191124.0,112.6,4,25.68
1700.0,2866.94,enwik9,4187008.0,112.86,4,25.38
1700.0,2868.0,enwik9,4192248.0,112.89,4,25.38
1700.0,1649.1,enwik9,4191544.0,140.18,32,11.74
1700.0,1682.43,enwik9,4186716.0,139.46,32,12.06
1700.0,1681.75,enwik9,4184580.0,139.99,32,12.0
1700.0,1664.99,enwik9,4194208.0,140.95,32,11.83
1700.0,1706.37,enwik9,4191648.0,140.27,32,12.14
1700.0,1678.07,enwik9,4190164.0,139.14,32,12.06
1700.0,1703.77,enwik9,4189432.0,140.04,32,12.13
1700.0,1680.12,enwik9,4189424.0,139.79,32,12.01
1700.0,1661.55,enwik9,4187676.0,141.25,32,11.73
1700.0,1690.26,enwik9,4193288.0,139.51,32,12.1
2200.0,4830.77,enwik9,4188932.0,108.68,2,44.45
2200.0,4576.43,enwik9,4190308.0,109.23,2,41.9
2200.0,4824.34,enwik9,4190172.0,108.65,2,44.41
2200.0,4578.89,enwik9,4188256.0,109.25,2,41.92
2200.0,4598.73,enwik9,4188840.0,109.88,2,41.84
2200.0,4813.84,enwik9,4188496.0,108.54,2,44.32
2200.0,4573.6,enwik9,4192656.0,109.16,2,41.91
2200.0,4587.91,enwik9,4188424.0,109.5,2,41.89
2200.0,4829.3,enwik9,4190096.0,108.63,2,44.44
2200.0,4588.05,enwik9,4191572.0,109.37,2,41.91
2200.0,1538.65,enwik9,4192380.0,161.63,16,9.47
2200.0,1548.2,enwik9,4188752.0,160.04,16,9.64
2200.0,1529.07,enwik9,4188104.0,162.42,16,9.39
2200.0,1541.23,enwik9,4191728.0,161.91,16,9.5
2200.0,1522.55,enwik9,4191840.0,162.52,16,9.36
2200.0,1539.58,enwik9,4190476.0,161.83,16,9.5
2200.0,1557.37,enwik9,4188936.0,162.0,16,9.58
2200.0,1512.13,enwik9,4185468.0,162.31,16,9.26
2200.0,1547.9,enwik9,4190968.0,161.68,16,9.55
2200.0,1543.75,enwik9,4191140.0,160.54,16,9.62
2700.0,1640.13,enwik9,4194524.0,157.5,8,10.37
2700.0,1637.95,enwik9,4187572.0,158.01,8,10.38
2700.0,1684.65,enwik9,4186248.0,155.78,8,10.8
2700.0,1613.91,enwik9,4192132.0,159.58,8,10.08
2700.0,1630.7,enwik9,4189340.0,158.11,8,10.29
2700.0,1594.84,enwik9,4186512.0,161.65,8,9.84
2700.0,1620.16,enwik9,4183900.0,160.99,8,10.06
2700.0,1618.79,enwik9,4194292.0,160.03,8,10.1
2700.0,1651.09,enwik9,4189744.0,157.87,8,10.44
2700.0,1652.67,enwik9,4191480.0,157.92,8,10.48
2900.0,1551.92,enwik9,4183944.0,203.56,32,7.56
2900.0,1533.27,enwik9,4191532.0,202.62,32,7.53
2900.0,1532.17,enwik9,4189904.0,205.28,32,7.43
2900.0,1562.17,enwik9,4187112.0,205.02,32,7.59
2900.0,1555.36,enwik9,4190536.0,204.13,32,7.62
2900.0,1560.06,enwik9,4186396.0,204.72,32,7.63
2900.0,1535.03,enwik9,4185440.0,208.27,32,7.38
2900.0,1529.84,enwik9,4186068.0,204.8,32,7.45
2900.0,1543.63,enwik9,4184624.0,203.76,32,7.55
2900.0,1509.37,enwik9,4184360.0,204.81,32,7.32
2901.0,1671.52,enwik9,4193516.0,258.45,16,6.46
2901.0,1739.59,enwik9,4187260.0,270.94,16,6.37
2901.0,1692.49,enwik9,4191456.0,261.48,16,6.43
2901.0,1729.27,enwik9,4186908.0,253.51,16,6.81
2901.0,1721.38,enwik9,4191168.0,263.96,16,6.47
2901.0,1677.73,enwik9,4188176.0,255.28,16,6.57
2901.0,1736.71,enwik9,4185200.0,270.74,16,6.39
2901.0,1719.62,enwik9,4191560.0,253.93,16,6.74
2901.0,1748.16,enwik9,4194084.0,270.13,16,6.4
2901.0,1661.3,enwik9,4188680.0,260.93,16,6.37
