FR,EN,Name,MEM,POW,TR,TIM
1200.0,3061.28,game1,300580.0,108.92,8,28.09
1200.0,3062.17,game1,300664.0,108.95,8,28.08
1200.0,3058.96,game1,290568.0,109.0,8,28.04
1200.0,3054.75,game1,297012.0,109.08,8,28.04
1200.0,3058.33,game1,298160.0,109.01,8,28.04
1200.0,3062.34,game1,296944.0,108.97,8,28.07
1200.0,3058.11,game1,290588.0,108.99,8,28.05
1200.0,3058.8,game1,292484.0,109.02,8,28.05
1200.0,3059.99,game1,290916.0,109.06,8,28.06
1200.0,3102.99,game1,296124.0,108.86,8,28.5
1200.0,3083.3,game1,300460.0,110.29,32,27.9
1200.0,3074.12,game1,291492.0,109.96,32,27.92
1200.0,3072.7,game1,295160.0,110.11,32,27.9
1200.0,3077.62,game1,299916.0,110.28,32,27.91
1200.0,3075.4,game1,296396.0,110.0,32,27.91
1200.0,3070.7,game1,294048.0,110.04,32,27.91
1200.0,3075.55,game1,288332.0,110.21,32,27.89
1200.0,3069.65,game1,296940.0,110.0,32,27.92
1200.0,3071.25,game1,290152.0,110.03,32,27.9
1200.0,3069.73,game1,298124.0,110.01,32,27.91
1600.0,2539.84,game1,290244.0,118.08,8,21.54
1600.0,2541.6,game1,296128.0,118.17,8,21.53
1600.0,2546.87,game1,289164.0,118.13,8,21.53
1600.0,2548.16,game1,289320.0,118.2,8,21.54
1600.0,2547.43,game1,291944.0,118.17,8,21.53
1600.0,2542.07,game1,290648.0,118.19,8,21.53
1600.0,2546.59,game1,291212.0,118.13,8,21.53
1600.0,2547.08,game1,293068.0,118.14,8,21.53
1600.0,2548.71,game1,298036.0,118.23,8,21.54
1600.0,2547.82,game1,291764.0,118.17,8,21.55
1800.0,7231.38,game1,298648.0,101.7,2,71.13
1800.0,7236.36,game1,299340.0,101.71,2,71.11
1800.0,7235.11,game1,288020.0,101.69,2,71.11
1800.0,7231.73,game1,299084.0,101.71,2,71.12
1800.0,7230.53,game1,298080.0,101.69,2,71.13
1800.0,7241.15,game1,291148.0,101.7,2,71.17
1800.0,7242.69,game1,297452.0,101.71,2,71.21
1800.0,7232.63,game1,299760.0,101.66,2,71.12
1800.0,7235.1,game1,298684.0,101.69,2,71.14
1800.0,7254.5,game1,301944.0,101.67,2,71.35
1800.0,2392.13,game1,294112.0,128.87,16,18.59
1800.0,2403.69,game1,292720.0,128.81,16,18.61
1800.0,2398.58,game1,294324.0,128.88,16,18.58
1800.0,2437.77,game1,297712.0,128.56,16,18.96
1800.0,2395.07,game1,293536.0,129.03,16,18.59
1800.0,2383.69,game1,288660.0,128.08,16,18.6
1800.0,2400.75,game1,298060.0,128.67,16,18.6
1800.0,2387.91,game1,289560.0,128.31,16,18.59
1800.0,2397.49,game1,295956.0,128.81,16,18.59
1800.0,2400.88,game1,291552.0,129.0,16,18.59
2200.0,6229.84,game1,299792.0,106.22,2,58.61
2200.0,6237.16,game1,290636.0,106.15,2,58.74
2200.0,6165.06,game1,295504.0,106.29,2,58.0
2200.0,6164.78,game1,296784.0,106.29,2,58.01
2200.0,6152.77,game1,296064.0,106.36,2,57.84
2200.0,6154.11,game1,296660.0,106.38,2,57.84
2200.0,6176.92,game1,298900.0,106.31,2,58.07
2200.0,6238.74,game1,297000.0,106.28,2,58.72
2200.0,6166.82,game1,298972.0,106.32,2,57.99
2200.0,6156.16,game1,291588.0,106.42,2,57.83
2200.0,2169.1,game1,298112.0,139.83,16,15.45
2200.0,2168.38,game1,300428.0,140.34,16,15.45
2200.0,2182.45,game1,289472.0,140.68,16,15.47
2200.0,2169.68,game1,292636.0,140.34,16,15.45
2200.0,2173.01,game1,294756.0,140.54,16,15.48
2200.0,2175.7,game1,295876.0,141.16,16,15.44
2200.0,2224.27,game1,296140.0,143.83,16,15.46
2200.0,2178.5,game1,284432.0,140.79,16,15.45
2200.0,2223.2,game1,277440.0,143.81,16,15.44
2200.0,2175.12,game1,292492.0,140.67,16,15.46
2200.0,2172.43,game1,288624.0,140.12,32,15.49
2200.0,2163.59,game1,298116.0,139.91,32,15.46
2200.0,2166.71,game1,294396.0,140.13,32,15.45
2200.0,2173.75,game1,291380.0,140.59,32,15.45
2200.0,2166.15,game1,297000.0,140.06,32,15.45
2200.0,2166.82,game1,294168.0,140.13,32,15.45
2200.0,2162.79,game1,295564.0,140.27,32,15.44
2200.0,2171.76,game1,289204.0,140.44,32,15.45
2200.0,2173.76,game1,295704.0,140.15,32,15.47
2200.0,2167.69,game1,295528.0,140.19,32,15.44
2400.0,3273.7,game1,287704.0,121.22,4,27.02
2400.0,3291.34,game1,285192.0,121.21,4,27.17
2400.0,3352.93,game1,288644.0,121.02,4,27.68
2400.0,3307.16,game1,295372.0,122.2,4,27.02
2400.0,3295.9,game1,295456.0,121.59,4,27.08
2400.0,3268.29,game1,291896.0,120.82,4,27.02
2400.0,3279.66,game1,287872.0,121.21,4,27.03
2400.0,3281.27,game1,289084.0,121.27,4,27.02
2400.0,3303.33,game1,281744.0,120.98,4,27.26
2400.0,3292.23,game1,289232.0,121.45,4,27.09
2400.0,1451.54,game1,300984.0,196.93,32,7.35
2400.0,1449.63,game1,305332.0,196.74,32,7.35
2400.0,1450.78,game1,299744.0,196.78,32,7.35
2400.0,1450.11,game1,298792.0,196.76,32,7.33
2400.0,1452.54,game1,301028.0,197.05,32,7.34
2400.0,1449.75,game1,299260.0,196.64,32,7.35
2400.0,1451.6,game1,307020.0,196.92,32,7.35
2400.0,1456.8,game1,302296.0,197.66,32,7.35
2400.0,1446.61,game1,296376.0,197.58,32,7.33
2400.0,1454.91,game1,296852.0,197.31,32,7.35
2700.0,9912.85,game1,292900.0,105.57,1,93.87
2700.0,9925.56,game1,299492.0,105.77,1,93.84
2700.0,9903.46,game1,303040.0,105.47,1,93.9
2700.0,9937.79,game1,297040.0,105.83,1,93.88
2700.0,9896.13,game1,285128.0,105.34,1,93.94
2700.0,9983.29,game1,296772.0,106.09,1,94.09
2700.0,9908.35,game1,302680.0,105.47,1,93.94
2700.0,9927.53,game1,296244.0,105.67,1,93.94
2700.0,9917.11,game1,293000.0,105.56,1,93.95
2700.0,9909.16,game1,280224.0,105.47,1,93.95
2700.0,2477.74,game1,283020.0,139.9,8,17.65
2700.0,2479.45,game1,286116.0,140.4,8,17.67
2700.0,2499.62,game1,287608.0,141.52,8,17.67
2700.0,2479.45,game1,286484.0,140.0,8,17.67
2700.0,2484.3,game1,289280.0,140.36,8,17.69
2700.0,2484.64,game1,291456.0,140.26,8,17.7
2700.0,2482.51,game1,291164.0,140.56,8,17.67
2700.0,2472.88,game1,295548.0,140.03,8,17.67
2700.0,2465.58,game1,293340.0,140.4,8,17.54
2700.0,2460.28,game1,292340.0,140.11,8,17.53
2700.0,2056.21,game1,293188.0,162.99,16,12.61
2700.0,2047.4,game1,295040.0,162.29,16,12.6
2700.0,2043.38,game1,296160.0,161.99,16,12.59
2700.0,2048.66,game1,295224.0,162.97,16,12.58
2700.0,2058.89,game1,294104.0,162.56,16,12.63
2700.0,2113.06,game1,294496.0,167.54,16,12.59
2700.0,2047.73,game1,296868.0,162.29,16,12.58
2700.0,2048.07,game1,293128.0,162.32,16,12.59
2700.0,2044.69,game1,294544.0,162.09,16,12.6
2700.0,2052.6,game1,285700.0,162.69,16,12.59
2700.0,2115.21,game1,293876.0,167.66,32,12.59
2700.0,2064.84,game1,293236.0,163.62,32,12.58
2700.0,2043.29,game1,293828.0,161.94,32,12.59
2700.0,2042.58,game1,296324.0,161.88,32,12.6
2700.0,2055.89,game1,288004.0,162.97,32,12.6
2700.0,2046.71,game1,286764.0,162.29,32,12.59
2700.0,2052.55,game1,294840.0,162.71,32,12.59
2700.0,2063.05,game1,296176.0,163.55,32,12.6
2700.0,2059.63,game1,296916.0,162.6,32,12.63
2700.0,2062.92,game1,296080.0,161.63,32,12.73
2901.0,8916.43,game1,281640.0,131.32,1,67.88
2901.0,8874.03,game1,290648.0,131.57,1,67.43
2901.0,8882.09,game1,289484.0,132.46,1,67.06
2901.0,8811.61,game1,290516.0,131.62,1,66.92
2901.0,8891.21,game1,289596.0,132.02,1,67.35
2901.0,8847.12,game1,286076.0,131.46,1,67.25
2901.0,9054.96,game1,282840.0,134.25,1,67.44
2901.0,8796.66,game1,294680.0,131.38,1,66.93
2901.0,8914.27,game1,290808.0,132.86,1,67.07
2901.0,8823.11,game1,290736.0,131.51,1,67.1
2901.0,2603.78,game1,288168.0,185.24,8,14.04
2901.0,2561.38,game1,287316.0,184.21,8,13.89
2901.0,2582.9,game1,287400.0,183.03,8,14.06
2901.0,2576.06,game1,291400.0,183.89,8,13.98
2901.0,2583.37,game1,293104.0,183.75,8,14.05
2901.0,2564.22,game1,290196.0,184.32,8,13.89
2901.0,2583.2,game1,286908.0,183.71,8,14.05
2901.0,2625.74,game1,292968.0,182.83,8,14.35
2901.0,2584.38,game1,298348.0,183.8,8,14.05
2901.0,2587.32,game1,291124.0,184.1,8,14.04
1300.0,5203.61,game1,296928.0,103.14,4,50.44
1300.0,5200.26,game1,293736.0,103.06,4,50.44
1300.0,5195.04,game1,289988.0,103.07,4,50.42
1300.0,5205.63,game1,292896.0,103.18,4,50.43
1300.0,5197.72,game1,290284.0,103.12,4,50.43
1300.0,5205.37,game1,290260.0,103.18,4,50.41
1300.0,5205.17,game1,298836.0,103.17,4,50.43
1300.0,5152.77,game1,292308.0,103.15,4,49.95
1300.0,5205.26,game1,295744.0,103.17,4,50.42
1300.0,5253.73,game1,293244.0,103.11,4,50.93
1300.0,2837.7,game1,295404.0,111.91,32,25.35
1300.0,2854.08,game1,296656.0,112.55,32,25.33
1300.0,2840.89,game1,294100.0,112.26,32,25.32
1300.0,2852.35,game1,292524.0,112.49,32,25.35
1300.0,2842.43,game1,299628.0,111.88,32,25.35
1300.0,2853.36,game1,302428.0,112.74,32,25.34
1300.0,2839.2,game1,285156.0,111.97,32,25.34
1300.0,2840.33,game1,296384.0,112.03,32,25.33
1300.0,2848.68,game1,281760.0,112.12,32,25.36
1300.0,2854.96,game1,288088.0,112.58,32,25.34
1700.0,4259.31,game1,299460.0,107.68,4,39.54
1700.0,4269.98,game1,294268.0,107.81,4,39.6
1700.0,4261.86,game1,295076.0,107.75,4,39.53
1700.0,4259.62,game1,291592.0,107.69,4,39.55
1700.0,4258.14,game1,296708.0,107.65,4,39.55
1700.0,4261.09,game1,293788.0,107.73,4,39.53
1700.0,4258.6,game1,291660.0,107.66,4,39.57
1700.0,4272.2,game1,292188.0,108.01,4,39.57
1700.0,4265.19,game1,294064.0,107.7,4,39.58
1700.0,4270.86,game1,293676.0,107.97,4,39.54
1700.0,2436.64,game1,292984.0,123.61,32,19.72
1700.0,2450.64,game1,291616.0,124.03,32,19.74
1700.0,2441.49,game1,290236.0,123.54,32,19.72
1700.0,2439.37,game1,282952.0,123.76,32,19.73
1700.0,2435.5,game1,302084.0,123.21,32,19.75
1700.0,2436.82,game1,301552.0,123.37,32,19.73
1700.0,2444.88,game1,291652.0,123.74,32,19.74
1700.0,2444.72,game1,292336.0,124.0,32,19.71
1700.0,2438.33,game1,297220.0,123.7,32,19.71
1700.0,2443.47,game1,293084.0,123.66,32,19.71
1900.0,13329.27,game1,299724.0,99.25,1,134.26
1900.0,13322.53,game1,293720.0,99.28,1,134.19
1900.0,13350.47,game1,304600.0,99.26,1,134.48
1900.0,13324.71,game1,303520.0,99.29,1,134.18
1900.0,13307.91,game1,301140.0,99.17,1,134.18
1900.0,13794.47,game1,301428.0,99.43,1,138.74
1900.0,13325.94,game1,293252.0,99.34,1,134.15
1900.0,13333.81,game1,296952.0,99.14,1,134.54
1900.0,13303.25,game1,302800.0,99.09,1,134.25
1900.0,13340.76,game1,306896.0,99.41,1,134.2
1900.0,2801.54,game1,292836.0,121.23,8,23.11
1900.0,2336.36,game1,297108.0,128.65,8,18.15
1900.0,2794.0,game1,294752.0,120.92,8,23.1
1900.0,2798.44,game1,293028.0,121.11,8,23.1
1900.0,2338.73,game1,300736.0,128.78,8,18.15
1900.0,2833.52,game1,291240.0,120.79,8,23.44
1900.0,2335.92,game1,287432.0,128.63,8,18.14
1900.0,2337.86,game1,291824.0,128.65,8,18.17
1900.0,2796.98,game1,294628.0,121.03,8,23.1
1900.0,2339.33,game1,291680.0,128.86,8,18.16
2300.0,11522.03,game1,294840.0,103.99,1,110.78
2300.0,11472.45,game1,306124.0,103.64,1,110.71
2300.0,11468.25,game1,291768.0,103.6,1,110.7
2300.0,11480.36,game1,297676.0,103.72,1,110.71
2300.0,11461.11,game1,304660.0,103.53,1,110.71
