FR,EN,Name,MEM,POW,TR,TIM
1200.0,339.87,cr_audio1.flac,58032.0,111.18,8,3.05
1200.0,340.59,cr_audio1.flac,59056.0,111.31,8,3.05
1200.0,342.96,cr_audio1.flac,59128.0,112.07,8,3.04
1200.0,340.48,cr_audio1.flac,58772.0,111.25,8,3.04
1200.0,339.39,cr_audio1.flac,59140.0,110.88,8,3.04
1200.0,339.59,cr_audio1.flac,59080.0,111.0,8,3.03
1200.0,340.39,cr_audio1.flac,59160.0,111.2,8,3.07
1200.0,339.38,cr_audio1.flac,58576.0,110.79,8,3.03
1200.0,340.93,cr_audio1.flac,59120.0,111.5,8,3.04
1200.0,340.61,cr_audio1.flac,59408.0,111.41,8,3.05
1300.0,634.8,cr_audio1.flac,31668.0,101.5,4,6.27
1300.0,636.03,cr_audio1.flac,31820.0,101.79,4,6.26
1300.0,639.52,cr_audio1.flac,31820.0,101.43,4,6.27
1300.0,640.65,cr_audio1.flac,31968.0,101.6,4,6.27
1300.0,554.77,cr_audio1.flac,31640.0,103.58,4,5.35
1300.0,558.88,cr_audio1.flac,31564.0,103.31,4,5.33
1300.0,556.21,cr_audio1.flac,31644.0,103.68,4,5.34
1300.0,561.22,cr_audio1.flac,31636.0,104.76,4,5.35
1300.0,556.12,cr_audio1.flac,31580.0,103.84,4,5.35
1300.0,558.98,cr_audio1.flac,31548.0,103.41,4,5.35
1300.0,174.56,cr_audio1.flac,198292.0,132.83,32,1.26
1300.0,167.75,cr_audio1.flac,194220.0,133.84,32,1.24
1300.0,176.6,cr_audio1.flac,199164.0,134.38,32,1.26
1300.0,177.18,cr_audio1.flac,197896.0,135.13,32,1.28
1300.0,170.35,cr_audio1.flac,196336.0,135.62,32,1.26
1300.0,175.63,cr_audio1.flac,202584.0,133.59,32,1.27
1300.0,171.84,cr_audio1.flac,201380.0,135.26,32,1.25
1300.0,169.92,cr_audio1.flac,191988.0,134.61,32,1.25
1300.0,175.4,cr_audio1.flac,202092.0,133.46,32,1.27
1300.0,174.55,cr_audio1.flac,200100.0,134.21,32,1.27
1400.0,952.59,cr_audio1.flac,17456.0,98.13,2,9.73
1400.0,947.37,cr_audio1.flac,17456.0,97.64,2,9.72
1400.0,981.82,cr_audio1.flac,17428.0,100.67,2,9.75
1400.0,947.05,cr_audio1.flac,17584.0,97.6,2,9.72
1400.0,973.25,cr_audio1.flac,17428.0,99.74,2,9.74
1400.0,967.74,cr_audio1.flac,17428.0,99.71,2,9.72
1400.0,975.43,cr_audio1.flac,17448.0,100.02,2,9.72
1400.0,972.31,cr_audio1.flac,17452.0,99.86,2,9.71
1400.0,969.03,cr_audio1.flac,17452.0,99.85,2,9.69
1400.0,959.44,cr_audio1.flac,17460.0,98.4,2,9.73
1400.0,219.01,cr_audio1.flac,105556.0,128.06,16,1.67
1400.0,205.57,cr_audio1.flac,102284.0,131.51,16,1.54
1400.0,214.75,cr_audio1.flac,106552.0,129.08,16,1.63
1400.0,205.27,cr_audio1.flac,106328.0,131.41,16,1.53
1400.0,242.03,cr_audio1.flac,106476.0,123.31,16,1.94
1400.0,212.44,cr_audio1.flac,104376.0,131.36,16,1.58
1400.0,204.88,cr_audio1.flac,105556.0,131.23,16,1.55
1400.0,208.82,cr_audio1.flac,102608.0,129.56,16,1.56
1400.0,203.07,cr_audio1.flac,106800.0,130.09,16,1.58
