FR,EN,Name,MEM,POW,TR,TIM
1200.0,531.47,cr_audio1.wav,56904.0,111.73,8,4.78
1200.0,533.74,cr_audio1.wav,56664.0,112.07,8,4.75
1200.0,530.79,cr_audio1.wav,58228.0,111.56,8,4.75
1200.0,532.64,cr_audio1.wav,56864.0,111.94,8,4.76
1200.0,538.42,cr_audio1.wav,58788.0,111.94,8,4.78
1200.0,535.27,cr_audio1.wav,58224.0,112.45,8,4.74
1200.0,531.82,cr_audio1.wav,57232.0,111.75,8,4.77
1200.0,532.56,cr_audio1.wav,58912.0,111.97,8,4.75
1200.0,530.01,cr_audio1.wav,58796.0,111.67,8,4.75
1200.0,530.43,cr_audio1.wav,58220.0,111.49,8,4.76
1200.0,274.27,cr_audio1.wav,198792.0,133.13,32,2.03
1200.0,268.34,cr_audio1.wav,200976.0,133.38,32,2.0
1200.0,268.24,cr_audio1.wav,201860.0,133.36,32,2.0
1200.0,274.48,cr_audio1.wav,197712.0,133.14,32,2.02
1200.0,266.5,cr_audio1.wav,201384.0,133.47,32,2.01
1200.0,268.45,cr_audio1.wav,201104.0,133.3,32,1.99
1200.0,268.96,cr_audio1.wav,201380.0,133.91,32,2.02
1200.0,268.17,cr_audio1.wav,201112.0,133.4,32,1.99
1200.0,268.49,cr_audio1.wav,203140.0,133.39,32,1.99
1200.0,275.42,cr_audio1.wav,202820.0,133.64,32,2.05
1300.0,998.08,cr_audio1.wav,32644.0,101.78,4,9.78
1300.0,995.13,cr_audio1.wav,32572.0,102.01,4,9.77
1300.0,886.96,cr_audio1.wav,32636.0,104.28,4,8.52
1300.0,887.91,cr_audio1.wav,32644.0,104.41,4,8.49
1300.0,880.07,cr_audio1.wav,31748.0,103.48,4,8.51
1300.0,940.65,cr_audio1.wav,32512.0,102.85,4,9.17
1300.0,882.4,cr_audio1.wav,32568.0,103.78,4,8.5
1300.0,882.9,cr_audio1.wav,32600.0,103.81,4,8.52
1300.0,886.8,cr_audio1.wav,32608.0,104.26,4,8.5
1300.0,900.32,cr_audio1.wav,32648.0,104.02,4,8.63
1300.0,260.16,cr_audio1.wav,200496.0,136.67,32,1.86
1300.0,256.66,cr_audio1.wav,200344.0,137.74,32,1.85
1300.0,262.91,cr_audio1.wav,204312.0,137.6,32,1.9
1300.0,263.38,cr_audio1.wav,202756.0,137.54,32,1.89
1300.0,263.88,cr_audio1.wav,204096.0,138.04,32,1.9
1300.0,255.78,cr_audio1.wav,198756.0,137.32,32,1.87
1300.0,255.21,cr_audio1.wav,196800.0,137.57,32,1.85
1300.0,262.69,cr_audio1.wav,199336.0,137.4,32,1.86
1300.0,256.37,cr_audio1.wav,202124.0,137.39,32,1.86
1300.0,256.36,cr_audio1.wav,196892.0,137.77,32,1.85
1400.0,1555.68,cr_audio1.wav,18988.0,99.7,2,15.59
1400.0,1557.52,cr_audio1.wav,17936.0,99.81,2,15.58
1400.0,1556.84,cr_audio1.wav,18640.0,99.76,2,15.61
1400.0,1565.98,cr_audio1.wav,22324.0,99.96,2,15.65
1400.0,1555.72,cr_audio1.wav,18908.0,99.71,2,15.57
1400.0,1535.71,cr_audio1.wav,18640.0,98.05,2,15.63
1400.0,1538.09,cr_audio1.wav,18088.0,98.59,2,15.61
1400.0,1536.06,cr_audio1.wav,17940.0,98.12,2,15.64
1400.0,1583.97,cr_audio1.wav,18640.0,99.3,2,15.91
1400.0,1538.02,cr_audio1.wav,18640.0,98.25,2,15.62
1400.0,323.85,cr_audio1.wav,106004.0,131.46,16,2.43
1400.0,327.61,cr_audio1.wav,105568.0,130.39,16,2.5
1400.0,318.13,cr_audio1.wav,104312.0,132.58,16,2.4
1400.0,323.63,cr_audio1.wav,105396.0,131.46,16,2.45
1400.0,310.95,cr_audio1.wav,103844.0,134.39,16,2.34
1400.0,312.21,cr_audio1.wav,109256.0,135.18,16,2.29
1400.0,373.5,cr_audio1.wav,105736.0,122.19,16,3.06
1400.0,328.65,cr_audio1.wav,107656.0,130.8,16,2.5
1400.0,325.4,cr_audio1.wav,107792.0,131.93,16,2.4
1400.0,313.2,cr_audio1.wav,112192.0,135.54,16,2.32
1800.0,1239.64,cr_audio1.wav,18636.0,102.44,2,12.11
1800.0,1275.61,cr_audio1.wav,18864.0,105.41,2,12.09
1800.0,1277.15,cr_audio1.wav,18640.0,105.63,2,12.08
1800.0,1250.57,cr_audio1.wav,18648.0,103.37,2,12.13
1800.0,1256.43,cr_audio1.wav,17948.0,103.4,2,12.14
1800.0,1259.78,cr_audio1.wav,18644.0,104.11,2,12.11
1800.0,1280.31,cr_audio1.wav,17940.0,105.78,2,12.08
1800.0,1277.08,cr_audio1.wav,17952.0,105.61,2,12.08
1800.0,1255.68,cr_audio1.wav,17948.0,103.34,2,12.11
1800.0,1279.88,cr_audio1.wav,18648.0,105.47,2,12.1
1800.0,280.15,cr_audio1.wav,105336.0,154.87,16,1.78
1800.0,280.64,cr_audio1.wav,104472.0,151.11,16,1.87
1800.0,289.1,cr_audio1.wav,110824.0,151.36,16,1.91
1800.0,275.71,cr_audio1.wav,104004.0,156.73,16,1.74
1800.0,288.21,cr_audio1.wav,108980.0,150.67,16,1.89
1800.0,290.44,cr_audio1.wav,108184.0,148.16,16,1.92
1800.0,274.75,cr_audio1.wav,104848.0,156.04,16,1.76
1800.0,271.05,cr_audio1.wav,106028.0,155.19,16,1.76
1800.0,284.22,cr_audio1.wav,110768.0,156.92,16,1.76
1800.0,284.02,cr_audio1.wav,103664.0,148.91,16,1.89
2200.0,1139.94,cr_audio1.wav,18640.0,115.13,2,9.91
2200.0,1087.61,cr_audio1.wav,18644.0,109.3,2,9.93
2200.0,1135.8,cr_audio1.wav,18648.0,114.72,2,9.89
2200.0,1079.58,cr_audio1.wav,18640.0,108.5,2,9.92
2200.0,1073.08,cr_audio1.wav,18672.0,107.85,2,9.95
2200.0,1141.99,cr_audio1.wav,18640.0,114.76,2,9.92
2200.0,1144.09,cr_audio1.wav,18640.0,114.95,2,9.91
2200.0,1137.24,cr_audio1.wav,18648.0,114.87,2,9.92
2200.0,1083.62,cr_audio1.wav,18640.0,108.9,2,9.91
2200.0,1071.51,cr_audio1.wav,18640.0,108.31,2,9.91
2200.0,274.5,cr_audio1.wav,107704.0,175.57,16,1.55
2200.0,267.69,cr_audio1.wav,107396.0,182.83,16,1.44
2200.0,263.24,cr_audio1.wav,105456.0,179.81,16,1.47
2200.0,267.16,cr_audio1.wav,103020.0,176.32,16,1.51
2200.0,262.93,cr_audio1.wav,104076.0,179.9,16,1.46
2200.0,271.11,cr_audio1.wav,105008.0,179.09,16,1.48
2200.0,268.77,cr_audio1.wav,107252.0,177.92,16,1.51
2200.0,270.41,cr_audio1.wav,103928.0,178.76,16,1.5
2200.0,262.03,cr_audio1.wav,104836.0,179.51,16,1.48
2200.0,265.86,cr_audio1.wav,104708.0,176.05,16,1.51
2400.0,608.38,cr_audio1.wav,32656.0,130.72,4,4.61
2400.0,598.96,cr_audio1.wav,32580.0,130.07,4,4.6
2400.0,603.33,cr_audio1.wav,32652.0,130.88,4,4.6
2400.0,603.83,cr_audio1.wav,32552.0,129.72,4,4.6
2400.0,599.47,cr_audio1.wav,32540.0,130.23,4,4.59
2400.0,607.26,cr_audio1.wav,32352.0,130.56,4,4.61
2400.0,600.24,cr_audio1.wav,32656.0,130.38,4,4.59
2400.0,601.01,cr_audio1.wav,32560.0,130.54,4,4.61
2400.0,600.89,cr_audio1.wav,32644.0,130.47,4,4.59
2400.0,600.11,cr_audio1.wav,32656.0,130.35,4,4.59
2400.0,224.97,cr_audio1.wav,201004.0,202.78,32,1.09
2400.0,218.19,cr_audio1.wav,199492.0,205.69,32,1.03
2400.0,225.31,cr_audio1.wav,202452.0,202.59,32,1.07
2400.0,218.93,cr_audio1.wav,205988.0,205.26,32,1.05
2400.0,214.64,cr_audio1.wav,197188.0,202.93,32,1.06
2400.0,218.68,cr_audio1.wav,202844.0,206.15,32,1.08
2400.0,217.48,cr_audio1.wav,206120.0,205.11,32,1.08
2400.0,233.68,cr_audio1.wav,203448.0,201.27,32,1.1
2400.0,216.76,cr_audio1.wav,203892.0,203.88,32,1.08
2400.0,216.37,cr_audio1.wav,199792.0,204.17,32,1.06
2700.0,1773.56,cr_audio1.wav,4908.0,108.48,1,16.32
2700.0,1772.67,cr_audio1.wav,4908.0,108.74,1,16.26
2700.0,1761.86,cr_audio1.wav,4912.0,108.42,1,16.27
2700.0,1855.2,cr_audio1.wav,4908.0,108.51,1,17.09
2700.0,1770.0,cr_audio1.wav,4908.0,108.59,1,16.29
2700.0,1785.13,cr_audio1.wav,4912.0,108.2,1,16.47
2700.0,1838.24,cr_audio1.wav,4908.0,108.45,1,16.92
2700.0,1761.41,cr_audio1.wav,4908.0,108.39,1,16.26
2700.0,1830.09,cr_audio1.wav,4912.0,108.29,1,16.92
2700.0,1777.63,cr_audio1.wav,4908.0,109.07,1,16.29
2700.0,362.87,cr_audio1.wav,55616.0,168.28,8,2.13
2700.0,362.52,cr_audio1.wav,55456.0,168.21,8,2.12
2700.0,361.27,cr_audio1.wav,56408.0,167.28,8,2.15
2700.0,364.73,cr_audio1.wav,58504.0,162.65,8,2.25
2700.0,367.49,cr_audio1.wav,56400.0,165.96,8,2.16
2700.0,367.38,cr_audio1.wav,56452.0,166.28,8,2.17
2700.0,362.6,cr_audio1.wav,57980.0,168.04,8,2.13
2700.0,354.85,cr_audio1.wav,58240.0,168.23,8,2.12
2700.0,362.77,cr_audio1.wav,55784.0,168.22,8,2.13
2700.0,355.3,cr_audio1.wav,57448.0,168.57,8,2.12
2901.0,1579.15,cr_audio1.wav,4908.0,132.27,1,11.95
2901.0,1647.26,cr_audio1.wav,4912.0,133.41,1,12.35
2901.0,1590.97,cr_audio1.wav,4908.0,132.6,1,11.97
2901.0,1526.31,cr_audio1.wav,4908.0,132.75,1,11.52
2901.0,1583.13,cr_audio1.wav,4912.0,136.49,1,11.56
2901.0,1566.29,cr_audio1.wav,4908.0,130.56,1,11.96
2901.0,1539.61,cr_audio1.wav,4908.0,133.34,1,11.56
2901.0,1527.95,cr_audio1.wav,5008.0,132.28,1,11.52
2901.0,1530.42,cr_audio1.wav,4908.0,132.55,1,11.51
2901.0,1600.99,cr_audio1.wav,4912.0,132.88,1,12.0
2901.0,397.89,cr_audio1.wav,56928.0,226.34,8,1.7
2901.0,390.5,cr_audio1.wav,54756.0,228.63,8,1.68
2901.0,389.22,cr_audio1.wav,56568.0,227.96,8,1.7
2901.0,403.7,cr_audio1.wav,55864.0,229.25,8,1.72
2901.0,396.63,cr_audio1.wav,56220.0,225.34,8,1.74
2901.0,400.89,cr_audio1.wav,57412.0,234.16,8,1.68
2901.0,392.08,cr_audio1.wav,55856.0,229.3,8,1.68
2901.0,397.21,cr_audio1.wav,54560.0,231.84,8,1.69
2901.0,398.27,cr_audio1.wav,55212.0,232.64,8,1.7
2901.0,401.83,cr_audio1.wav,57012.0,228.09,8,1.74
1700.0,731.27,cr_audio1.wav,32540.0,112.42,4,6.48
1700.0,733.11,cr_audio1.wav,32508.0,112.74,4,6.5
1700.0,739.02,cr_audio1.wav,32548.0,112.84,4,6.5
1700.0,728.11,cr_audio1.wav,32544.0,111.96,4,6.5
1700.0,733.45,cr_audio1.wav,32536.0,112.78,4,6.47
1700.0,735.85,cr_audio1.wav,32540.0,112.26,4,6.51
1700.0,729.3,cr_audio1.wav,32544.0,112.17,4,6.51
1700.0,732.74,cr_audio1.wav,32540.0,112.71,4,6.48
1700.0,726.2,cr_audio1.wav,32540.0,112.56,4,6.48
1700.0,728.15,cr_audio1.wav,32544.0,112.83,4,6.49
1700.0,229.47,cr_audio1.wav,206336.0,157.31,32,1.45
1700.0,231.66,cr_audio1.wav,200996.0,158.11,32,1.43
1700.0,230.53,cr_audio1.wav,199220.0,157.82,32,1.44
1700.0,230.8,cr_audio1.wav,198388.0,158.33,32,1.45
1700.0,231.48,cr_audio1.wav,200124.0,158.65,32,1.44
1700.0,231.6,cr_audio1.wav,201756.0,158.74,32,1.47
1700.0,229.89,cr_audio1.wav,197344.0,157.56,32,1.44
1700.0,229.99,cr_audio1.wav,198184.0,157.17,32,1.48
1700.0,237.32,cr_audio1.wav,201340.0,157.13,32,1.49
1700.0,229.29,cr_audio1.wav,202036.0,157.05,32,1.43
1900.0,2303.55,cr_audio1.wav,4908.0,98.44,1,23.41
1900.0,2301.74,cr_audio1.wav,4960.0,98.58,1,23.39
1900.0,2304.87,cr_audio1.wav,4908.0,98.47,1,23.39
1900.0,2403.07,cr_audio1.wav,4912.0,98.5,1,24.36
1900.0,2305.67,cr_audio1.wav,4908.0,98.74,1,23.35
1900.0,2304.17,cr_audio1.wav,4908.0,98.47,1,23.4
1900.0,2304.86,cr_audio1.wav,4912.0,98.5,1,23.4
1900.0,2300.84,cr_audio1.wav,4908.0,98.54,1,23.37
1900.0,2305.54,cr_audio1.wav,4908.0,98.5,1,23.37
1900.0,2298.98,cr_audio1.wav,4908.0,98.46,1,23.34
1900.0,405.01,cr_audio1.wav,56900.0,132.51,8,3.04
1900.0,403.72,cr_audio1.wav,58984.0,132.09,8,3.06
1900.0,422.88,cr_audio1.wav,58768.0,129.71,8,3.22
1900.0,414.36,cr_audio1.wav,57712.0,129.53,8,3.22
1900.0,409.54,cr_audio1.wav,58236.0,131.39,8,3.08
1900.0,403.62,cr_audio1.wav,57968.0,132.49,8,3.02
1900.0,414.88,cr_audio1.wav,58600.0,129.61,8,3.2
1900.0,405.87,cr_audio1.wav,56576.0,132.77,8,3.03
1900.0,398.7,cr_audio1.wav,56656.0,132.59,8,3.01
1900.0,406.07,cr_audio1.wav,57052.0,132.75,8,3.02
2300.0,2079.61,cr_audio1.wav,4908.0,103.47,1,20.09
2300.0,2028.38,cr_audio1.wav,4912.0,104.02,1,19.46
2300.0,2003.99,cr_audio1.wav,4912.0,103.31,1,19.38
2300.0,2001.33,cr_audio1.wav,4912.0,103.43,1,19.36
2300.0,2012.14,cr_audio1.wav,4908.0,103.74,1,19.4
2300.0,1998.75,cr_audio1.wav,4908.0,103.3,1,19.38
2300.0,2014.6,cr_audio1.wav,4912.0,103.85,1,19.4
2300.0,2006.43,cr_audio1.wav,4912.0,103.43,1,19.4
2300.0,2003.89,cr_audio1.wav,4908.0,103.3,1,19.38
2300.0,2000.96,cr_audio1.wav,4908.0,103.42,1,19.37
2300.0,380.7,cr_audio1.wav,57360.0,148.77,8,2.51
2300.0,380.7,cr_audio1.wav,57444.0,148.89,8,2.57
2300.0,379.97,cr_audio1.wav,54928.0,151.9,8,2.52
2300.0,387.44,cr_audio1.wav,56480.0,151.57,8,2.58
2300.0,379.16,cr_audio1.wav,56420.0,148.26,8,2.52
2300.0,374.13,cr_audio1.wav,56972.0,149.18,8,2.51
2300.0,388.34,cr_audio1.wav,58240.0,151.77,8,2.53
2300.0,382.93,cr_audio1.wav,58188.0,149.86,8,2.51
2300.0,385.95,cr_audio1.wav,59024.0,147.81,8,2.58
2300.0,391.56,cr_audio1.wav,58504.0,142.15,8,2.75
2800.0,582.23,cr_audio1.wav,32544.0,147.21,4,3.96
2800.0,583.49,cr_audio1.wav,32536.0,145.66,4,3.97
2800.0,580.32,cr_audio1.wav,32652.0,144.82,4,3.96
2800.0,568.15,cr_audio1.wav,32644.0,143.62,4,3.96
2800.0,574.85,cr_audio1.wav,32536.0,145.33,4,3.97
2800.0,593.43,cr_audio1.wav,32576.0,146.37,4,4.02
