FR,EN,Name,MEM,POW,TR,TIM
1200.0,1396.59,enwik9,1028.0,97.37,8,14.35
1200.0,1272.99,enwik9,1028.0,99.03,8,12.81
1200.0,1433.51,enwik9,1028.0,98.25,8,14.57
1200.0,1298.9,enwik9,1028.0,97.65,8,13.33
1200.0,1395.91,enwik9,1028.0,96.24,8,14.46
1200.0,1226.01,enwik9,1024.0,98.45,8,12.42
1200.0,1401.61,enwik9,1028.0,97.31,8,14.37
1200.0,1400.38,enwik9,1024.0,97.21,8,14.4
1200.0,1424.93,enwik9,1028.0,97.25,8,14.61
1200.0,1458.74,enwik9,1028.0,98.18,8,14.72
2200.0,906.11,enwik9,1024.0,105.3,2,8.6
2200.0,1029.21,enwik9,1020.0,108.27,2,9.48
2200.0,1032.11,enwik9,1024.0,106.36,2,9.49
2200.0,1027.62,enwik9,1024.0,109.26,2,9.39
2200.0,1046.85,enwik9,1024.0,110.17,2,9.46
2200.0,781.1,enwik9,1020.0,113.16,2,6.62
2200.0,1000.25,enwik9,1024.0,105.8,2,9.44
2200.0,1033.19,enwik9,1024.0,110.45,2,9.37
2200.0,852.45,enwik9,1024.0,111.35,2,7.38
2200.0,996.65,enwik9,1024.0,106.01,2,9.41
2200.0,1017.6,enwik9,1028.0,111.22,16,9.16
2200.0,933.66,enwik9,1024.0,111.78,16,8.36
2200.0,1035.85,enwik9,1024.0,111.95,16,9.21
2200.0,992.87,enwik9,1020.0,106.17,16,9.35
2200.0,1012.43,enwik9,1024.0,109.99,16,9.19
2200.0,1013.95,enwik9,1024.0,106.15,16,9.53
2200.0,994.68,enwik9,1020.0,106.36,16,9.32
2200.0,926.72,enwik9,1024.0,113.7,16,8.15
2200.0,1039.21,enwik9,1024.0,112.33,16,9.28
2200.0,991.45,enwik9,1020.0,107.14,16,9.21
2400.0,703.39,enwik9,1024.0,115.14,4,6.11
2400.0,774.03,enwik9,1024.0,117.19,4,6.56
2400.0,993.4,enwik9,1020.0,112.85,4,8.83
2400.0,984.55,enwik9,1020.0,111.8,4,8.78
2400.0,978.07,enwik9,1024.0,113.73,4,8.59
2400.0,970.84,enwik9,1024.0,109.64,4,8.82
2400.0,943.56,enwik9,1028.0,108.42,4,8.72
2400.0,1037.49,enwik9,1024.0,115.23,4,8.98
2400.0,947.8,enwik9,1020.0,108.78,4,8.68
2400.0,989.77,enwik9,1024.0,113.08,4,8.77
2400.0,830.87,enwik9,1020.0,116.15,32,7.14
2400.0,991.4,enwik9,1024.0,112.0,32,8.84
2400.0,1001.24,enwik9,1024.0,112.46,32,8.9
2400.0,948.4,enwik9,1024.0,108.34,32,8.75
2400.0,1004.69,enwik9,1024.0,112.86,32,8.85
2400.0,954.61,enwik9,1024.0,107.86,32,8.83
2400.0,957.77,enwik9,1024.0,108.19,32,8.84
2400.0,845.72,enwik9,1024.0,116.41,32,7.26
2400.0,1022.26,enwik9,1024.0,109.91,32,9.04
2400.0,1015.51,enwik9,1024.0,112.8,32,8.97
2700.0,1016.14,enwik9,896.0,103.17,1,9.85
2700.0,1032.18,enwik9,896.0,103.21,1,9.97
2700.0,1053.39,enwik9,892.0,104.87,1,10.03
2700.0,1011.51,enwik9,896.0,103.24,1,9.79
2700.0,1022.5,enwik9,896.0,102.76,1,9.93
2700.0,789.69,enwik9,892.0,109.74,1,7.19
2700.0,1023.33,enwik9,896.0,102.83,1,9.94
2700.0,1018.5,enwik9,896.0,102.86,1,9.9
2700.0,807.98,enwik9,892.0,109.13,1,7.39
2700.0,1023.29,enwik9,896.0,102.84,1,9.94
2700.0,958.21,enwik9,1024.0,117.41,8,8.16
2700.0,906.01,enwik9,1024.0,113.94,8,7.95
2700.0,766.47,enwik9,1020.0,123.58,8,6.18
2700.0,919.01,enwik9,1024.0,111.34,8,8.27
2700.0,942.47,enwik9,1024.0,114.16,8,8.25
2700.0,918.74,enwik9,1024.0,111.3,8,8.26
2700.0,953.89,enwik9,1024.0,116.04,8,8.17
2700.0,981.57,enwik9,1024.0,121.79,8,8.05
2700.0,872.08,enwik9,1024.0,106.12,8,8.23
2700.0,757.53,enwik9,1024.0,121.13,8,6.23
1300.0,1208.85,enwik9,1024.0,99.08,4,12.17
1300.0,1327.43,enwik9,1024.0,97.95,4,13.54
1300.0,1109.2,enwik9,1024.0,98.59,4,11.26
1300.0,1335.23,enwik9,1024.0,97.82,4,13.44
1300.0,1082.87,enwik9,1024.0,100.25,4,10.8
1300.0,1313.97,enwik9,1024.0,97.61,4,13.46
1300.0,1321.77,enwik9,1020.0,98.94,4,13.37
1300.0,1316.94,enwik9,1024.0,98.28,4,13.39
1300.0,1345.4,enwik9,1024.0,99.64,4,13.47
1300.0,1331.33,enwik9,1024.0,98.97,4,13.42
1300.0,1345.18,enwik9,1024.0,99.64,32,13.5
1300.0,1329.51,enwik9,1024.0,98.79,32,13.45
1300.0,1348.48,enwik9,1024.0,99.51,32,13.56
1300.0,1362.07,enwik9,1024.0,98.69,32,13.76
1300.0,1343.65,enwik9,1020.0,98.44,32,13.61
1300.0,1351.74,enwik9,1024.0,99.03,32,13.64
1300.0,1375.11,enwik9,1024.0,99.28,32,13.8
1300.0,1337.94,enwik9,1020.0,98.74,32,13.52
1300.0,1341.37,enwik9,1024.0,99.37,32,13.47
1300.0,1346.93,enwik9,1024.0,99.04,32,13.56
1700.0,1169.22,enwik9,1024.0,103.92,4,11.26
1700.0,1139.63,enwik9,1024.0,101.72,4,11.2
1700.0,1054.29,enwik9,1020.0,105.41,4,9.99
1700.0,1156.14,enwik9,1020.0,103.22,4,11.2
1700.0,1149.76,enwik9,1024.0,102.62,4,11.15
1700.0,1133.52,enwik9,1020.0,102.56,4,11.06
1700.0,1118.14,enwik9,1024.0,100.7,4,11.07
1700.0,1156.91,enwik9,1024.0,102.41,4,11.29
1700.0,1152.29,enwik9,1020.0,102.86,4,11.2
1700.0,1182.66,enwik9,1024.0,104.14,4,11.33
1700.0,1128.33,enwik9,1020.0,101.69,32,11.07
1700.0,1170.63,enwik9,1020.0,103.07,32,11.33
1700.0,1137.38,enwik9,1024.0,100.19,32,11.34
1700.0,1120.29,enwik9,1024.0,100.89,32,11.11
1700.0,1164.96,enwik9,1024.0,104.0,32,11.19
1700.0,1159.12,enwik9,1024.0,103.9,32,11.13
1700.0,1144.06,enwik9,1024.0,101.67,32,11.24
1700.0,1096.65,enwik9,1024.0,102.94,32,10.66
1700.0,1193.14,enwik9,1024.0,103.21,32,11.28
1700.0,891.37,enwik9,1020.0,104.83,32,8.49
1900.0,1261.17,enwik9,896.0,97.78,1,12.85
