FR,EN,Name,MEM,POW,TR,TIM
1200.0,367.29,cr_audio1.wav,1024.0,96.5,8,3.8
1200.0,366.4,cr_audio1.wav,1024.0,96.28,8,3.8
1200.0,362.17,cr_audio1.wav,1024.0,96.41,8,3.74
1200.0,364.07,cr_audio1.wav,1024.0,95.75,8,3.79
1200.0,360.94,cr_audio1.wav,1024.0,96.13,8,3.77
1200.0,371.66,cr_audio1.wav,1020.0,97.66,8,3.8
1200.0,366.38,cr_audio1.wav,1024.0,96.23,8,3.8
1200.0,357.38,cr_audio1.wav,1024.0,96.64,8,3.73
1200.0,362.08,cr_audio1.wav,1024.0,96.38,8,3.73
1200.0,362.43,cr_audio1.wav,1024.0,96.49,8,3.74
2200.0,250.12,cr_audio1.wav,1020.0,104.01,2,2.36
2200.0,251.66,cr_audio1.wav,1024.0,104.65,2,2.4
2200.0,264.31,cr_audio1.wav,1024.0,103.41,2,2.53
2200.0,260.49,cr_audio1.wav,1024.0,106.08,2,2.45
2200.0,252.36,cr_audio1.wav,1024.0,104.94,2,2.41
2200.0,260.2,cr_audio1.wav,1024.0,108.29,2,2.39
2200.0,289.88,cr_audio1.wav,1020.0,101.61,2,2.83
2200.0,256.24,cr_audio1.wav,1024.0,104.54,2,2.42
2200.0,257.53,cr_audio1.wav,1020.0,104.97,2,2.45
2200.0,258.35,cr_audio1.wav,1024.0,107.54,2,2.38
2200.0,263.55,cr_audio1.wav,1024.0,107.46,16,2.43
2200.0,256.97,cr_audio1.wav,1024.0,104.7,16,2.45
2200.0,249.68,cr_audio1.wav,1024.0,105.38,16,2.37
2200.0,248.66,cr_audio1.wav,1024.0,105.63,16,2.37
2200.0,258.54,cr_audio1.wav,1020.0,105.34,16,2.42
2200.0,270.22,cr_audio1.wav,1024.0,110.19,16,2.44
2200.0,256.17,cr_audio1.wav,1024.0,104.41,16,2.43
2200.0,268.52,cr_audio1.wav,1024.0,104.6,16,2.52
2200.0,251.85,cr_audio1.wav,1024.0,104.69,16,2.4
2200.0,251.23,cr_audio1.wav,1024.0,104.77,16,2.4
2400.0,250.1,cr_audio1.wav,3032.0,106.8,4,2.35
2400.0,245.67,cr_audio1.wav,1024.0,106.74,4,2.29
2400.0,247.77,cr_audio1.wav,1024.0,109.97,4,2.24
2400.0,241.95,cr_audio1.wav,1024.0,107.24,4,2.25
2400.0,259.92,cr_audio1.wav,1024.0,112.82,4,2.3
2400.0,240.96,cr_audio1.wav,1024.0,107.36,4,2.25
2400.0,247.62,cr_audio1.wav,1020.0,107.35,4,2.3
2400.0,282.25,cr_audio1.wav,1024.0,104.71,4,2.65
2400.0,248.18,cr_audio1.wav,1020.0,107.41,4,2.29
2400.0,252.64,cr_audio1.wav,1024.0,107.3,4,2.32
2400.0,256.58,cr_audio1.wav,1024.0,106.79,32,2.37
2400.0,248.37,cr_audio1.wav,1024.0,107.72,32,2.31
2400.0,246.14,cr_audio1.wav,1024.0,107.63,32,2.29
2400.0,251.16,cr_audio1.wav,1024.0,106.71,32,2.34
2400.0,249.64,cr_audio1.wav,1024.0,106.05,32,2.35
2400.0,255.91,cr_audio1.wav,1024.0,106.44,32,2.39
2400.0,248.34,cr_audio1.wav,1020.0,107.59,32,2.28
2400.0,239.84,cr_audio1.wav,1020.0,108.3,32,2.21
2400.0,242.28,cr_audio1.wav,1024.0,107.44,32,2.28
2400.0,253.94,cr_audio1.wav,1024.0,110.22,32,2.31
2700.0,253.78,cr_audio1.wav,896.0,103.54,1,2.48
2700.0,267.95,cr_audio1.wav,892.0,102.94,1,2.57
2700.0,258.92,cr_audio1.wav,896.0,102.99,1,2.49
2700.0,259.13,cr_audio1.wav,896.0,103.59,1,2.49
2700.0,262.67,cr_audio1.wav,896.0,102.93,1,2.53
2700.0,258.41,cr_audio1.wav,896.0,103.2,1,2.48
2700.0,288.22,cr_audio1.wav,896.0,101.11,1,2.87
2700.0,271.17,cr_audio1.wav,896.0,108.49,1,2.52
2700.0,257.59,cr_audio1.wav,896.0,103.03,1,2.52
2700.0,262.45,cr_audio1.wav,896.0,102.84,1,2.52
2700.0,243.39,cr_audio1.wav,1020.0,110.38,8,2.17
2700.0,243.53,cr_audio1.wav,1024.0,110.45,8,2.19
2700.0,250.64,cr_audio1.wav,1024.0,113.73,8,2.21
2700.0,294.74,cr_audio1.wav,1024.0,113.18,8,2.59
2700.0,238.67,cr_audio1.wav,1024.0,110.71,8,2.16
2700.0,256.86,cr_audio1.wav,1024.0,116.61,8,2.19
2700.0,252.2,cr_audio1.wav,1024.0,114.45,8,2.18
2700.0,271.21,cr_audio1.wav,1024.0,105.57,8,2.57
2700.0,241.65,cr_audio1.wav,1020.0,110.11,8,2.2
2700.0,247.25,cr_audio1.wav,1024.0,114.76,8,2.14
2901.0,274.81,cr_audio1.wav,1024.0,148.32,8,1.82
2901.0,264.11,cr_audio1.wav,1024.0,150.86,8,1.73
2901.0,273.4,cr_audio1.wav,1024.0,127.02,8,2.18
2901.0,267.73,cr_audio1.wav,1024.0,149.32,8,1.79
2901.0,264.18,cr_audio1.wav,1024.0,146.31,8,1.8
2901.0,261.51,cr_audio1.wav,1024.0,144.75,8,1.82
2901.0,286.19,cr_audio1.wav,1024.0,129.8,8,2.21
2901.0,269.21,cr_audio1.wav,1024.0,149.15,8,1.81
2901.0,263.49,cr_audio1.wav,1024.0,150.16,8,1.75
2901.0,242.24,cr_audio1.wav,1024.0,136.65,8,1.74
1700.0,342.6,cr_audio1.wav,1024.0,102.25,4,3.35
1700.0,297.19,cr_audio1.wav,1020.0,102.37,4,2.92
1700.0,305.1,cr_audio1.wav,1024.0,103.35,4,2.95
1700.0,299.92,cr_audio1.wav,1020.0,103.34,4,2.92
1700.0,303.8,cr_audio1.wav,1024.0,102.95,4,2.94
1700.0,301.93,cr_audio1.wav,1024.0,102.28,4,2.93
1700.0,302.32,cr_audio1.wav,1024.0,102.38,4,2.95
1700.0,305.72,cr_audio1.wav,1024.0,101.76,4,2.97
