FR,EN,Name,MEM,POW,TR,TIM
1200.0,1569.84,enwik9,253836.0,103.65,8,11.55
1200.0,1220.17,enwik9,242856.0,105.53,8,11.37
1200.0,1207.76,enwik9,239708.0,106.25,8,11.41
1200.0,1207.09,enwik9,243012.0,105.81,8,11.27
1200.0,1201.8,enwik9,237428.0,106.29,8,9.29
1200.0,1036.39,enwik9,237136.0,111.34,8,11.18
1200.0,1195.39,enwik9,270380.0,106.64,8,13.22
1200.0,1380.79,enwik9,249788.0,104.56,8,10.82
1200.0,1160.76,enwik9,233200.0,107.39,8,11.38
1200.0,1205.01,enwik9,254272.0,105.6,8,9.07
2200.0,3109.32,enwik9,48596.0,102.77,2,18.37
2200.0,2052.45,enwik9,52900.0,111.52,2,16.75
2200.0,1908.48,enwik9,45080.0,113.88,2,18.48
2200.0,2049.77,enwik9,50668.0,110.75,2,18.5
2200.0,1982.01,enwik9,45752.0,107.1,2,17.96
2200.0,2039.6,enwik9,46316.0,113.61,2,18.16
2200.0,2024.12,enwik9,49540.0,111.5,2,16.21
2200.0,1861.3,enwik9,47348.0,114.84,2,18.32
2200.0,2041.12,enwik9,45980.0,111.19,2,18.26
2200.0,2013.34,enwik9,48024.0,110.0,2,15.72
2200.0,944.42,enwik9,552048.0,129.19,16,6.01
2200.0,803.9,enwik9,497448.0,133.7,16,5.97
2200.0,815.76,enwik9,543820.0,135.53,16,5.83
2200.0,765.29,enwik9,462916.0,131.69,16,5.84
2200.0,814.17,enwik9,467192.0,135.48,16,5.9
2200.0,773.52,enwik9,562116.0,130.64,16,6.16
2200.0,833.93,enwik9,541316.0,135.37,16,5.93
2200.0,770.65,enwik9,503704.0,129.44,16,6.12
2200.0,847.81,enwik9,453136.0,134.33,16,5.93
2200.0,807.69,enwik9,555920.0,135.73,16,5.95
2400.0,1981.78,enwik9,100580.0,114.5,4,10.52
2400.0,1269.06,enwik9,101592.0,120.8,4,10.54
2400.0,1270.84,enwik9,101840.0,120.47,4,10.61
2400.0,1274.13,enwik9,103320.0,120.14,4,7.75
2400.0,1030.23,enwik9,106932.0,131.92,4,10.48
2400.0,1263.08,enwik9,99384.0,120.24,4,10.43
2400.0,1250.61,enwik9,100072.0,119.58,4,8.01
2400.0,1048.92,enwik9,100592.0,130.12,4,10.59
2400.0,1273.3,enwik9,106124.0,120.08,4,10.48
2400.0,1258.7,enwik9,107424.0,120.35,4,9.64
2400.0,799.13,enwik9,830308.0,133.97,32,5.42
2400.0,727.26,enwik9,823776.0,133.18,32,5.22
2400.0,748.3,enwik9,858452.0,142.24,32,5.12
2400.0,737.06,enwik9,812788.0,144.07,32,5.3
2400.0,714.98,enwik9,820124.0,134.59,32,5.23
2400.0,724.86,enwik9,885156.0,137.73,32,5.37
2400.0,712.97,enwik9,837412.0,131.75,32,5.44
2400.0,739.13,enwik9,862644.0,135.39,32,5.39
2400.0,749.14,enwik9,817932.0,135.86,32,5.41
2400.0,745.67,enwik9,836060.0,137.81,32,5.19
2700.0,93.49,enwik9,25728.0,153.02,1,27.6
2700.0,2938.46,enwik9,25640.0,106.4,1,26.8
2700.0,2842.18,enwik9,25576.0,106.05,1,27.61
2700.0,2931.65,enwik9,27720.0,106.19,1,27.65
2700.0,2940.83,enwik9,25664.0,106.35,1,27.08
2700.0,2883.44,enwik9,25632.0,106.59,1,26.57
2700.0,2818.11,enwik9,27100.0,106.13,1,26.16
2700.0,2813.55,enwik9,25628.0,107.58,1,25.77
2700.0,2786.99,enwik9,25736.0,108.25,1,25.13
2700.0,2737.51,enwik9,25720.0,108.89,1,24.66
2700.0,1218.03,enwik9,258240.0,125.47,8,6.71
2700.0,902.36,enwik9,273228.0,134.44,8,7.57
