FR,EN,END,Name,START,REP,TR,TIM
1200.0,480.548082,1405164486.402551482,07,1405164482.628233525,2,16,3.774317957
1200.0,625.266676,1405164494.069232916,07,1405164488.931787923,3,16,5.137444993
1200.0,541.732199,1405164500.812070512,07,1405164496.568469647,4,16,4.243600865
1200.0,513.036599,1405164506.351824929,07,1405164502.341457789,5,16,4.010367140
1200.0,509.372425,1405164512.805557065,07,1405164508.829141182,6,16,3.976415883
1200.0,572.420849,1405164518.840737362,07,1405164514.268632205,7,16,4.572105157
1200.0,562.722563,1405164524.950201929,07,1405164520.360968045,8,16,4.589233884
1200.0,728.341494,1405167112.666173182,07,1405167106.414638755,2,8,6.251534427
1200.0,737.515626,1405167121.465024592,07,1405167115.136835450,3,8,6.328189142
1200.0,661.120975,1405167128.609524355,07,1405167122.971183355,4,8,5.638341000
1200.0,681.685819,1405167136.965456351,07,1405167131.115522337,5,8,5.849934014
1200.0,789.958939,1405167145.203692108,07,1405167138.431842277,6,8,6.771849831
1200.0,728.015119,1405167152.872957851,07,1405167146.673492985,7,8,6.199464866
1200.0,705.639692,1405167160.409940245,07,1405167154.340654872,8,8,6.069285373
1300.0,467.622335,1405193996.494242601,07,1405193993.030892974,2,32,3.463349627
1300.0,488.355548,1405194002.540789031,07,1405193998.960830624,3,32,3.579958407
1300.0,422.203104,1405194008.094077454,07,1405194005.012031522,4,32,3.082045932
1300.0,380.959607,1405194011.466532160,07,1405194008.750566239,5,32,2.715965921
1300.0,460.378575,1405194016.311906019,07,1405194012.931459757,6,32,3.380446262
1300.0,466.887242,1405194022.228024870,07,1405194018.778339991,7,32,3.449684879
1300.0,407.869883,1405194027.610793235,07,1405194024.697017778,8,32,2.913775457
1300.0,1090.946978,1405196928.769212145,07,1405196918.651574442,2,4,10.117637703
1300.0,1097.873883,1405196940.424673397,07,1405196930.253488807,3,4,10.171184590
1300.0,971.563111,1405196951.869100331,07,1405196942.897903498,4,4,8.971196833
1300.0,1133.562393,1405196962.988645868,07,1405196952.536188827,5,4,10.452457041
1300.0,1292.820936,1405196976.448635895,07,1405196964.493058169,6,4,11.955577726
1300.0,1052.791073,1405196988.648879402,07,1405196978.918338289,7,4,9.730541113
1300.0,992.185719,1405197000.320401939,07,1405196991.153450246,8,4,9.166951693
1400.0,424.94226,1405211956.184028124,07,1405211952.987636595,2,16,3.196391529
1400.0,473.783264,1405211962.164767744,07,1405211958.650069638,3,16,3.514698106
1400.0,446.862441,1405211967.937827564,07,1405211964.629843069,4,16,3.307984495
1400.0,436.059964,1405211971.830240027,07,1405211968.588521893,5,16,3.241718134
1400.0,415.146664,1405211975.507928904,07,1405211972.484912190,6,16,3.023016714
1400.0,446.192174,1405211980.314951719,07,1405211976.968098569,7,16,3.346853150
1400.0,554.632463,1405211987.067134966,07,1405211982.783310829,8,16,4.283824137
1400.0,1677.789554,1405223083.378520192,07,1405223067.071631943,2,2,16.306888249
1400.0,1772.269663,1405223102.074395724,07,1405223084.840875623,3,2,17.233520101
1400.0,1798.834563,1405223120.344768402,07,1405223102.773409883,4,2,17.571358519
1400.0,1677.573453,1405223139.169263417,07,1405223122.811008754,5,2,16.358254663
1400.0,1501.842433,1405223155.284346405,07,1405223140.630659293,6,2,14.653687112
1400.0,1724.049533,1405223173.672908844,07,1405223156.744739273,7,2,16.928169571
1400.0,1611.776158,1405223190.012519086,07,1405223174.334056789,8,2,15.678462297
1700.0,329.428092,1405256766.432958983,07,1405256764.369409065,2,32,2.063549918
1700.0,388.634554,1405256771.399198644,07,1405256768.888818798,3,32,2.510379846
1700.0,342.785937,1405256775.032054082,07,1405256772.891069255,4,32,2.140984827
1700.0,418.965277,1405256779.194593470,07,1405256776.484452267,5,32,2.710141203
1700.0,360.791584,1405256782.959156900,07,1405256780.683556381,6,32,2.275600519
1700.0,414.805516,1405256787.092320622,07,1405256784.411466677,7,32,2.680853945
1700.0,391.775615,1405256791.087493707,07,1405256788.581924441,8,32,2.505569266
1700.0,919.930422,1405259110.419454594,07,1405259102.594322826,2,4,7.825131768
1700.0,903.402276,1405259120.492556280,07,1405259112.876835998,3,4,7.615720282
1700.0,820.780972,1405259129.856601585,07,1405259122.949649703,4,4,6.906951882
1700.0,909.13067,1405259138.221145386,07,1405259130.509194803,5,4,7.711950583
1700.0,926.821059,1405259148.507877587,07,1405259140.678913993,6,4,7.828963594
1700.0,911.364442,1405259158.697970553,07,1405259150.965511065,7,4,7.732459488
1700.0,796.211016,1405259167.891799761,07,1405259161.155314370,8,4,6.736485391
1800.0,368.713938,1405271064.898412744,07,1405271062.516510422,2,16,2.381902322
1800.0,449.565633,1405271069.469463338,07,1405271066.362950712,3,16,3.106512626
1800.0,452.478468,1405271073.986410627,07,1405271070.957761278,4,16,3.028649349
1800.0,438.17706,1405271077.652676284,07,1405271074.633149515,5,16,3.019526769
1800.0,551.209476,1405271082.190064559,07,1405271078.339000521,6,16,3.851064038
1800.0,480.141838,1405271087.939634155,07,1405271084.660919389,7,16,3.278714766
1800.0,470.660304,1405271091.894407651,07,1405271088.625538866,8,16,3.268868785
1800.0,1473.534482,1405280244.240790210,07,1405280230.688103143,2,2,13.552687067
1800.0,1567.622389,1405280261.243252457,07,1405280246.697039210,3,2,14.546213247
1800.0,1347.550026,1405280275.120921883,07,1405280262.695130934,4,2,12.425790949
1800.0,1569.931986,1405280290.958703132,07,1405280276.572178040,5,2,14.386525092
1800.0,1578.403015,1405280307.002377079,07,1405280292.411019965,6,2,14.591357114
1800.0,1542.420476,1405280322.684819154,07,1405280308.492312277,7,2,14.192506877
1800.0,1433.083706,1405280338.274497850,07,1405280325.140129828,8,2,13.134368022
1900.0,572.018115,1405290620.457525920,07,1405290616.298165221,2,8,4.159360699
1900.0,596.369169,1405290627.392517274,07,1405290622.910021015,3,8,4.482496259
1900.0,543.465373,1405290632.699737978,07,1405290628.841281736,4,8,3.858456242
1900.0,606.178277,1405290639.585284826,07,1405290635.153688890,5,8,4.431595936
1900.0,631.007909,1405290644.800411332,07,1405290640.229257342,6,8,4.571153990
1900.0,587.646648,1405290650.640840370,07,1405290646.286110525,7,8,4.354729845
1900.0,504.939338,1405290656.745187656,07,1405290653.129264582,8,8,3.615923074
1900.0,2606.841284,1405301530.686567393,07,1405301504.739818056,2,1,25.946749337
1900.0,2496.816564,1405301558.032915808,07,1405301533.141958297,3,1,24.890957511
1900.0,2574.226245,1405301584.240793575,07,1405301558.680850286,4,1,25.559943289
1900.0,2634.322134,1405301612.849512105,07,1405301586.743019324,5,1,26.106492781
1900.0,2498.784883,1405301639.225199777,07,1405301614.314280454,6,1,24.910919323
1900.0,2660.74294,1405301667.079199344,07,1405301640.729555824,7,1,26.349643520
1900.0,2511.856295,1405301693.517292376,07,1405301668.552453059,8,1,24.964839317
2000.0,371.946372,1405309286.659398117,07,1405309284.485003941,2,32,2.174394176
2000.0,374.885041,1405309291.357390083,07,1405309289.110169234,3,32,2.247220849
2000.0,337.074323,1405309294.768946414,07,1405309292.803228203,4,32,1.965718211
2000.0,314.400498,1405309297.975144966,07,1405309296.214315788,5,32,1.760829178
2000.0,326.976415,1405309300.466390239,07,1405309298.615511553,6,32,1.850878686
2000.0,340.274147,1405309304.850527969,07,1405309302.916193493,7,32,1.934334476
2000.0,395.019202,1405309308.611741057,07,1405309306.296669400,8,32,2.315071657
2200.0,435.01903,1405321811.518720694,07,1405321808.886936827,2,16,2.631783867
2200.0,426.246815,1405321815.679523278,07,1405321813.002796345,3,16,2.676726933
2200.0,346.379202,1405321818.209624770,07,1405321816.319433284,4,16,1.890191486
2200.0,415.591228,1405321823.103547987,07,1405321820.658843310,5,16,2.444704677
2200.0,443.292355,1405321827.296751986,07,1405321824.546525268,6,16,2.750226718
2200.0,416.27263,1405321831.223091172,07,1405321828.741849541,7,16,2.481241631
2200.0,404.957708,1405321835.046912852,07,1405321832.667308797,8,16,2.379604055
2200.0,1417.962144,1405329819.359469232,07,1405329807.167207380,2,2,12.192261852
2200.0,1260.53109,1405329831.466972481,07,1405329820.805122091,3,2,10.661850390
2200.0,1117.375404,1405329842.671469589,07,1405329832.915014412,4,2,9.756455177
2200.0,1506.574821,1405329858.062494508,07,1405329845.122620574,5,2,12.939873934
2200.0,1241.278733,1405329869.531628778,07,1405329858.704510626,6,2,10.827118152
2200.0,1207.163352,1405329880.685310920,07,1405329870.171955876,7,2,10.513355044
2200.0,1230.395925,1405329893.840375369,07,1405329883.176779218,8,2,10.663596151
2300.0,436.025165,1405338573.717935362,07,1405338570.966524078,2,8,2.751411284
2300.0,415.538611,1405338576.938098685,07,1405338574.356756910,3,8,2.581341775
2300.0,534.541553,1405338581.949541827,07,1405338578.380060838,4,8,3.569480989
2300.0,421.79732,1405338585.249041550,07,1405338582.602496347,5,8,2.646545203
2300.0,494.851148,1405338589.880953441,07,1405338586.691915318,6,8,3.189038123
2300.0,457.10849,1405338593.462677286,07,1405338590.557005063,7,8,2.905672223
2300.0,439.12426,1405338597.697858629,07,1405338594.905390931,8,8,2.792467698
2300.0,2237.428081,1405348106.066724818,07,1405348084.939167071,2,1,21.127557747
2300.0,2327.032271,1405348128.417904610,07,1405348106.716892869,3,1,21.701011741
2300.0,2804.157777,1405348157.167874362,07,1405348130.873761029,4,1,26.294113333
2300.0,2174.52594,1405348179.337169862,07,1405348158.627036849,5,1,20.710133013
2300.0,2203.735672,1405348201.679262761,07,1405348180.785489355,6,1,20.893773406
2300.0,2309.667288,1405348224.076289346,07,1405348202.386933132,7,1,21.689356214
2300.0,2629.35851,1405348249.452563602,07,1405348224.777165229,8,1,24.675398373
2400.0,340.542198,1405354870.785489578,07,1405354869.093366305,2,32,1.692123273
2400.0,324.075562,1405354874.827007424,07,1405354873.230402619,3,32,1.596604805
2400.0,326.85066,1405354877.879352228,07,1405354876.270097924,4,32,1.609254304
2400.0,373.281316,1405354880.429129694,07,1405354878.518438919,5,32,1.910690775
2400.0,436.508672,1405354885.121135114,07,1405354882.878232147,6,32,2.242902967
2400.0,393.36868,1405354888.618464102,07,1405354886.601653778,7,32,2.016810324
2400.0,344.216064,1405354892.759051048,07,1405354891.064082928,8,32,1.694968120
2400.0,813.293481,1405356746.882933693,07,1405356740.859993635,2,4,6.022940058
2400.0,786.0864,1405356754.122141677,07,1405356748.326745100,3,4,5.795396577
2400.0,751.003736,1405356760.280298537,07,1405356754.763993299,4,4,5.516305238
2400.0,784.61996,1405356768.496696659,07,1405356762.766374089,5,4,5.730322570
2400.0,881.79293,1405356777.606978785,07,1405356770.982030309,6,4,6.624948476
2400.0,739.420727,1405356783.589221227,07,1405356778.247023824,7,4,5.342197403
2400.0,935.506342,1405356792.013352685,07,1405356785.032041689,8,4,6.981310996
2700.0,490.169251,1405381211.456301426,07,1405381208.504831047,2,8,2.951470379
2700.0,391.39541,1405381215.054597947,07,1405381212.895527138,3,8,2.159070809
2700.0,420.615023,1405381218.867909026,07,1405381216.494739307,4,8,2.373169719
2700.0,536.92647,1405381223.548668846,07,1405381220.307920779,5,8,3.240748067
2700.0,526.2644,1405381228.333291542,07,1405381225.024003375,6,8,3.309288167
2700.0,456.10322,1405381233.438466692,07,1405381230.779415560,7,8,2.659051132
2700.0,436.774336,1405381237.397611208,07,1405381234.877927492,8,8,2.519683716
2700.0,2243.210263,1405389689.040816206,07,1405389668.897549008,2,1,20.143267198
2700.0,2019.790137,1405389708.751315373,07,1405389690.484075449,3,1,18.267239924
2700.0,2101.309144,1405389729.051218079,07,1405389710.192814047,4,1,18.858404032
2700.0,2456.836368,1405389752.473132114,07,1405389730.496944557,5,1,21.976187557
2700.0,2090.18647,1405389773.722715919,07,1405389754.922842673,6,1,18.799873246
2700.0,2061.888392,1405389792.947617301,07,1405389774.360111922,7,1,18.587505379
2700.0,1996.59688,1405389812.496163396,07,1405389794.391894159,8,1,18.104269237
2800.0,365.318875,1405395758.615207077,07,1405395756.922214700,2,32,1.692992377
2800.0,374.65403,1405395762.752707227,07,1405395761.059464618,3,32,1.693242609
2800.0,333.706654,1405395766.614656397,07,1405395765.197841631,4,32,1.416814766
2800.0,418.92134,1405395770.937701892,07,1405395769.055941437,5,32,1.881760455
2800.0,418.905564,1405395774.264261881,07,1405395772.375256940,6,32,1.889004941
2800.0,385.58011,1405395778.353107648,07,1405395776.708519028,7,32,1.644588620
2800.0,450.64817,1405395782.824718848,07,1405395780.793820921,8,32,2.030897927
2800.0,659.774472,1405397494.747746081,07,1405397490.323556877,2,4,4.424189204
2800.0,711.654298,1405397501.953120721,07,1405397497.196912389,3,4,4.756208332
2800.0,699.56915,1405397507.258292451,07,1405397502.589938336,4,4,4.668354115
2800.0,743.253095,1405397513.688456921,07,1405397508.699490782,5,4,4.988966139
2800.0,674.408279,1405397518.869316318,07,1405397514.322937350,6,4,4.546378968
2800.0,796.773788,1405397525.809508483,07,1405397520.310443773,7,4,5.499064710
2800.0,710.022793,1405397531.243455538,07,1405397526.481678299,8,4,4.761777239
2900.0,400.22189,1405405604.407637812,07,1405405602.521518235,2,16,1.886119577
2900.0,525.607956,1405405609.437691344,07,1405405606.852763675,3,16,2.584927669
2900.0,476.3213,1405405613.075135438,07,1405405610.912180283,4,16,2.162955155
