FR,EN,Name,TR,DC,TIM
1200.0,1307.8,decrypt,8,770.057,11833.3
1200.0,1127.01,decrypt,8,706.89,11831.5
1200.0,1317.92,decrypt,8,744.995,11970.5
1200.0,1149.82,decrypt,8,699.346,11841.9
1200.0,1306.95,decrypt,8,653.444,11849.8
1200.0,1307.05,decrypt,8,718.025,11832.9
1200.0,1144.86,decrypt,8,667.955,11837.1
1200.0,1307.07,decrypt,8,699.391,11831.9
1200.0,1305.77,decrypt,8,717.029,11844.3
1200.0,1305.83,decrypt,8,757.82,11843
1200.0,544.853,decrypt,32,275.6,4189.4
1200.0,545.15,decrypt,32,311.109,4197.09
1200.0,545.271,decrypt,32,253.524,4198.26
1200.0,545.763,decrypt,32,271.205,4193.97
1200.0,546.794,decrypt,32,254.159,4206.65
1200.0,545.901,decrypt,32,245.581,4205.4
1200.0,553.384,decrypt,32,276.199,4276.98
1200.0,421.032,decrypt,32,287.868,4222.1
1200.0,543.264,decrypt,32,295.449,4187.68
1200.0,482.771,decrypt,32,355.973,4213.29
1300.0,2241.3,decrypt,4,1192.26,21844.2
1300.0,2111.19,decrypt,4,1268.51,21860.7
1300.0,2080.17,decrypt,4,1229.37,21857.7
1300.0,2240.2,decrypt,4,1263.08,21860.4
1300.0,2246.3,decrypt,4,1236.23,21887.3
1300.0,2238.52,decrypt,4,1240.13,21840.7
1300.0,2226.95,decrypt,4,1253.38,21855.9
1300.0,2242.83,decrypt,4,1261.81,21838.4
1300.0,2250.63,decrypt,4,1220.27,21908
1300.0,2243.54,decrypt,4,1242.45,21863.3
1300.0,527.366,decrypt,32,293.973,3918.69
1300.0,316.849,decrypt,32,325.226,3867.84
1300.0,524.951,decrypt,32,351.118,3884.45
1300.0,522.61,decrypt,32,318.037,3872.03
1300.0,524.887,decrypt,32,215.507,3898.17
1300.0,527.424,decrypt,32,344.579,3918.32
1300.0,525.502,decrypt,32,262.463,3908.83
1300.0,527.324,decrypt,32,351.915,3919.57
1300.0,523.439,decrypt,32,211.944,3885.54
1300.0,316.133,decrypt,32,215.381,3893.64
1400.0,7618.38,decrypt,1,4031.79,81132.7
1400.0,7614.69,decrypt,1,4046.06,81079
1400.0,7540.61,decrypt,1,4028.11,81066.1
1400.0,7599.55,decrypt,1,4035.34,81057.1
1400.0,7622.65,decrypt,1,4025.63,81147.3
1400.0,7616.03,decrypt,1,4042.33,81136.7
1400.0,7514.54,decrypt,1,4003.89,81034.8
1400.0,7632.6,decrypt,1,4004.96,81070.9
1400.0,7604.68,decrypt,1,3987.03,81093.2
1400.0,7616.04,decrypt,1,4036.15,81087.6
1400.0,3892.28,decrypt,2,2217.3,40545
1400.0,3946.66,decrypt,2,2236.01,40589.9
1400.0,4000.17,decrypt,2,2199.96,40580.5
1400.0,4002.29,decrypt,2,2217.28,40593.8
1400.0,4037.57,decrypt,2,2257.36,40560
1400.0,3999.97,decrypt,2,2129.57,40599.1
1400.0,4009.96,decrypt,2,2139.26,40572.4
1400.0,4041.88,decrypt,2,2174.89,40533.9
1400.0,3982.1,decrypt,2,2201.78,40545.7
1400.0,3891.85,decrypt,2,2253.74,40563.6
1400.0,731.942,decrypt,16,480.221,5598.53
1400.0,722.183,decrypt,16,476.046,5478.16
1400.0,725.747,decrypt,16,477.056,5522.4
1400.0,723.923,decrypt,16,410.369,5507.63
1400.0,731.672,decrypt,16,474.269,6605.14
1400.0,822.351,decrypt,16,529.489,6533.6
1400.0,725.436,decrypt,16,428.968,5528.77
1400.0,727.659,decrypt,16,459.03,5535.33
1400.0,722.438,decrypt,16,397.888,5478.08
1400.0,719.161,decrypt,16,430.821,5519.6
1400.0,503.884,decrypt,32,314.063,3609.66
1400.0,503.416,decrypt,32,192.124,3606.27
1400.0,500.518,decrypt,32,190.061,3582.03
1400.0,503.432,decrypt,32,320.536,3600.25
1400.0,505.743,decrypt,32,307.296,3624.82
1400.0,503.483,decrypt,32,242.49,3607.72
1400.0,505.967,decrypt,32,313.453,3637.42
1400.0,512.289,decrypt,32,266.449,3690.57
1400.0,502.501,decrypt,32,198.677,3598.69
1600.0,1073.31,decrypt,8,635.648,8879.05
1600.0,1088.31,decrypt,8,687.607,8990.65
1600.0,1073.42,decrypt,8,678.726,8876.46
1600.0,1075.12,decrypt,8,579.345,8885.34
1600.0,1061.31,decrypt,8,674.978,8888.36
1600.0,1073.06,decrypt,8,641.871,8872.66
1600.0,982.829,decrypt,8,623.723,8887.28
1600.0,1073.73,decrypt,8,677.964,8880.61
1600.0,1073.7,decrypt,8,677.942,8880.81
1600.0,1077.38,decrypt,8,679.936,8905
1700.0,6433.38,decrypt,1,3463.98,66905.6
1700.0,6415.12,decrypt,1,3481.32,66780.2
1700.0,6418.94,decrypt,1,3486.42,66793.6
1700.0,6419.96,decrypt,1,3454.65,66783.8
1700.0,6265.84,decrypt,1,3409.1,66930
1700.0,6432.75,decrypt,1,3395.39,66909.8
1700.0,6419.66,decrypt,1,3462.44,66789.6
1700.0,6400.71,decrypt,1,3404.52,66717.9
1700.0,6429.68,decrypt,1,3455.91,66883.9
1700.0,6424.92,decrypt,1,3402.45,66829.8
1700.0,1869.1,decrypt,4,1125.51,16703.6
1700.0,1867.05,decrypt,4,1089.2,16682.7
1700.0,1867.96,decrypt,4,1094.72,16687.7
1700.0,1869.79,decrypt,4,1104.02,16689.9
1700.0,1869.39,decrypt,4,1125.9,16692.7
1700.0,1870.2,decrypt,4,1102.7,16690.9
1700.0,1870.49,decrypt,4,1009.61,16690.6
1700.0,1868.36,decrypt,4,1067.09,16687.6
1700.0,1868.35,decrypt,4,1025.62,16687.7
1700.0,1870.67,decrypt,4,1094.64,16685.9
1700.0,866.287,decrypt,8,552.225,8362.94
1700.0,1040.33,decrypt,8,605.069,8373.3
1700.0,887.064,decrypt,8,570.116,8353.36
1700.0,1037.02,decrypt,8,664.389,8353.73
1700.0,1036.98,decrypt,8,595.429,8355.4
1700.0,1035.83,decrypt,8,658.731,8360.64
1700.0,1036.22,decrypt,8,528.171,8359.86
1700.0,1038.39,decrypt,8,580.478,8387.34
1700.0,1040.19,decrypt,8,664.778,8378.31
1700.0,1040.56,decrypt,8,552.545,8376.71
1700.0,498.281,decrypt,16,304.118,4258.98
1700.0,669.438,decrypt,16,397.228,4627.08
1700.0,767.589,decrypt,16,498.995,5733.46
1700.0,656.599,decrypt,16,242.571,4630.9
1700.0,666.01,decrypt,16,457.715,4589.78
1700.0,743.196,decrypt,16,406.173,5433.1
1700.0,748.035,decrypt,16,475.354,5447.12
1700.0,649.915,decrypt,16,317.589,4357.67
1700.0,663.138,decrypt,16,418.927,4534.45
1700.0,443.746,decrypt,16,422.388,4613.93
1700.0,466.128,decrypt,32,330.848,2979.36
1700.0,457.496,decrypt,32,286.996,2918.93
1700.0,469.576,decrypt,32,332.772,3002.11
1700.0,404.477,decrypt,32,306.961,2977.43
1700.0,470.485,decrypt,32,282.13,3024.95
1700.0,466.771,decrypt,32,328.976,2980.78
1700.0,471.521,decrypt,32,245.639,3026.89
1700.0,459.172,decrypt,32,254.762,2931.34
1700.0,431.951,decrypt,32,267.63,2987.81
1700.0,468.25,decrypt,32,177.694,2998.84
1800.0,3234.07,decrypt,2,1778.12,31552.6
1800.0,3222.67,decrypt,2,1784.93,31596.6
1800.0,3242.99,decrypt,2,1797.25,31570.5
1800.0,3062.92,decrypt,2,1825,31604
1800.0,3267.23,decrypt,2,1908.58,31557.5
1800.0,3286.42,decrypt,2,1810.26,31568.2
1800.0,3196.97,decrypt,2,1780.41,31569.4
1800.0,3038.45,decrypt,2,1767.73,31565.6
1800.0,3326.88,decrypt,2,1870.4,31577.1
1800.0,3123.4,decrypt,2,1776.79,31582.3
1800.0,659.834,decrypt,16,457.666,4417.19
1800.0,654.56,decrypt,16,444.23,4367.65
1800.0,652.113,decrypt,16,402.146,4321.13
1800.0,289.751,decrypt,16,93.5704,4150.72
1800.0,732.869,decrypt,16,447.963,5202
1800.0,733.05,decrypt,16,488.867,5138.46
1800.0,754.556,decrypt,16,479.581,5445.76
1800.0,628.608,decrypt,16,417.548,4030.81
1800.0,649.953,decrypt,16,407.696,4320.94
1800.0,650.816,decrypt,16,374.514,4326.9
1900.0,5786.46,decrypt,1,3168.02,59809.4
1900.0,5848.1,decrypt,1,3125.04,59815.9
1900.0,5843.38,decrypt,1,3166.45,59786.6
1900.0,5836.85,decrypt,1,3207.28,59738.3
1900.0,5841.59,decrypt,1,3172.95,59810
1900.0,5836.27,decrypt,1,3185.17,59732.9
1900.0,5990.82,decrypt,1,3319.06,59843.2
1900.0,5810.26,decrypt,1,3191.45,59813.5
1900.0,5716.68,decrypt,1,3137.5,59761.7
1900.0,5839.77,decrypt,1,3149.19,59759
1900.0,976.66,decrypt,8,556.004,7476.62
1900.0,976.019,decrypt,8,570.313,7474.06
1900.0,977.636,decrypt,8,569.263,7483.8
1900.0,977.062,decrypt,8,482.745,7479.66
1900.0,977.592,decrypt,8,588.179,7476.66
1900.0,975.863,decrypt,8,496.87,7474.79
1900.0,975.963,decrypt,8,538.884,7475.24
1900.0,977.748,decrypt,8,513.645,7483.73
1900.0,977.865,decrypt,8,640.694,7480.21
1900.0,975.758,decrypt,8,525.9,7473.76
2000.0,1659.74,decrypt,4,1010.01,14203
2000.0,1681.49,decrypt,4,1042.94,14188.7
2000.0,1681.53,decrypt,4,913.263,14190.5
2000.0,1279.6,decrypt,4,648.574,14191.9
2000.0,1487.02,decrypt,4,967.72,14191.6
2000.0,1465.69,decrypt,4,941.554,14204.6
2000.0,1683.99,decrypt,4,1037.74,14199.5
2000.0,1649.42,decrypt,4,968.966,14210
2000.0,1683.8,decrypt,4,990.893,14195.8
2000.0,1684.98,decrypt,4,960.362,14212.8
2000.0,446.562,decrypt,32,330.725,2538.38
2000.0,452.723,decrypt,32,186.32,2582.47
2000.0,444.78,decrypt,32,255.835,2525.99
2000.0,451.954,decrypt,32,264.238,2581.95
2000.0,449.798,decrypt,32,291.255,2562.35
2000.0,439.674,decrypt,32,81.5258,2496.52
2000.0,448.421,decrypt,32,236.778,2545.35
2000.0,455.628,decrypt,32,329.165,2600.68
2000.0,445.458,decrypt,32,148.572,2529.84
2000.0,446.967,decrypt,32,154.025,2549.3
2200.0,2955.49,decrypt,2,1762.35,25803.5
2200.0,2951.54,decrypt,2,1731.45,25803.7
2200.0,2786.2,decrypt,2,1564.53,25849.1
2200.0,2852.34,decrypt,2,1575.83,25862.4
2200.0,2763.89,decrypt,2,1609.16,25834.7
2200.0,2951.82,decrypt,2,1680.69,25805.3
2200.0,2962.23,decrypt,2,1735.76,25861.3
2200.0,2933.39,decrypt,2,1772.65,25807.4
2200.0,2782.11,decrypt,2,1507.35,25838.1
2200.0,2934.67,decrypt,2,1764.07,25883
2200.0,621.84,decrypt,16,378.187,3571.09
2200.0,626.156,decrypt,16,382.78,3571.42
2200.0,631.583,decrypt,16,283.681,3686.49
2200.0,626.351,decrypt,16,451.269,3635.37
2200.0,538.272,decrypt,16,392.632,3632.28
2200.0,662.556,decrypt,16,418.168,4043.26
2200.0,624.34,decrypt,16,329.314,3598.64
2200.0,616.206,decrypt,16,388.404,3468.68
2200.0,627.298,decrypt,16,455.825,3637.86
2200.0,632.182,decrypt,16,444.042,3715.45
2200.0,445.197,decrypt,32,139.355,2332.27
2200.0,446.6,decrypt,32,273.725,2333.39
2200.0,449.691,decrypt,32,141.581,2350.56
2200.0,445.832,decrypt,32,262.72,2329.57
2200.0,445.406,decrypt,32,96.2294,2308.76
2200.0,445.859,decrypt,32,216.264,2330.58
2200.0,446.025,decrypt,32,172.082,2316.8
2200.0,445.638,decrypt,32,100.244,2323.25
2200.0,444.191,decrypt,32,101.604,2324.83
2300.0,5042.53,decrypt,1,2767.49,49372.2
2300.0,5043.91,decrypt,1,2834.56,49401
2300.0,5045.65,decrypt,1,2791.73,49418.8
2300.0,4939.63,decrypt,1,2770.8,49463
2300.0,5049.06,decrypt,1,2834.43,49476.5
2300.0,5044.49,decrypt,1,2823.7,49416.3
2300.0,4966.43,decrypt,1,2778.81,49439.1
2300.0,5041.33,decrypt,1,2782.8,49410.6
2300.0,5045.36,decrypt,1,2826.44,49442.3
2300.0,901.288,decrypt,8,483.301,6176.67
2300.0,901.923,decrypt,8,619.509,6185.77
2300.0,902.124,decrypt,8,619.79,6178.32
2300.0,900.582,decrypt,8,612.712,6181.77
2300.0,902.283,decrypt,8,542.421,6181.62
2300.0,904.945,decrypt,8,622.073,6181.67
2300.0,685.698,decrypt,8,528.985,6177.93
2300.0,906.456,decrypt,8,625.29,6187.5
2300.0,901.126,decrypt,8,557.967,6178.4
2400.0,1523.06,decrypt,4,912.286,11827.1
2400.0,1316.32,decrypt,4,848.482,11830.5
2400.0,1522.24,decrypt,4,952.95,11831.7
2400.0,1339.86,decrypt,4,869.035,11834.1
2400.0,1525.8,decrypt,4,897.975,11838
2400.0,1525.24,decrypt,4,857.471,11836.7
2400.0,1524.82,decrypt,4,983.414,11833.5
2400.0,1525.29,decrypt,4,938.697,11829.5
2400.0,1349.37,decrypt,4,873.336,11830.9
2400.0,1511.38,decrypt,4,916.616,11843.2
2400.0,200.761,decrypt,32,50.4096,2135.69
2400.0,442.322,decrypt,32,237.972,2119.44
2400.0,444.292,decrypt,32,159.359,2127.43
2400.0,445.214,decrypt,32,343.86,2139.17
2400.0,442.583,decrypt,32,341.961,2124.87
2400.0,446.471,decrypt,32,200.362,2149.96
2400.0,206.654,decrypt,32,165.736,2136.01
2400.0,445.185,decrypt,32,342.517,2141.68
2400.0,445.965,decrypt,32,200.347,2137.56
2400.0,450.231,decrypt,32,203.866,2178.41
2500.0,2624.22,decrypt,2,1531.17,22769.2
2500.0,2647.21,decrypt,2,1603.95,22726.9
2500.0,2520.88,decrypt,2,1464.04,22713
2500.0,2740.25,decrypt,2,1706.79,22708.4
2500.0,2558.4,decrypt,2,1468.93,22724.9
2500.0,2575.87,decrypt,2,1509.91,22726.4
2500.0,2523.05,decrypt,2,1497.43,22720.1
2500.0,2738.88,decrypt,2,1636.91,22721.5
2500.0,2520.47,decrypt,2,1402.89,22714.7
2500.0,2554.94,decrypt,2,1514.4,22711.3
2500.0,588.485,decrypt,16,458.877,3548.04
2500.0,329.515,decrypt,16,173.035,2905.44
2500.0,613.273,decrypt,16,462.749,3073.02
2500.0,614.768,decrypt,16,211.682,3091.74
2500.0,628.063,decrypt,16,305.245,3304.05
2500.0,635.563,decrypt,16,235.34,3358.59
2500.0,622.533,decrypt,16,469.171,3198.9
2500.0,625.238,decrypt,16,468.426,3302.78
2500.0,312.978,decrypt,16,234.208,3282.19
2500.0,628.8,decrypt,16,469.99,3314.09
2700.0,4464.98,decrypt,1,2553.59,42042.7
2700.0,4476.34,decrypt,1,2602.25,42057.3
2700.0,4427.65,decrypt,1,2507.91,42005.5
2700.0,4475.13,decrypt,1,2542.91,42031
2700.0,4472.46,decrypt,1,2591.14,42022.3
2700.0,4494.46,decrypt,1,2567.19,42027.4
2700.0,4478,decrypt,1,2574.42,42076.1
2700.0,4478.29,decrypt,1,2532.71,42055
2700.0,4478.37,decrypt,1,2537.63,42077.2
2700.0,4470.9,decrypt,1,2574.74,42004.7
2700.0,768.439,decrypt,8,503.111,5265.09
2700.0,871.838,decrypt,8,483.933,5270.23
2700.0,877.538,decrypt,8,495.124,5268.16
2700.0,869.205,decrypt,8,448.819,5268.62
2700.0,868.919,decrypt,8,544.008,5267
2700.0,783.889,decrypt,8,454.023,5271.85
2700.0,869.203,decrypt,8,415.594,5266.15
2700.0,790.674,decrypt,8,531.761,5266.57
2700.0,619.843,decrypt,8,426.807,5285.27
2700.0,867.948,decrypt,8,511.056,5267.87
2700.0,634.426,decrypt,16,419.483,3057.01
2700.0,631.061,decrypt,16,482.249,3078.62
2700.0,676.86,decrypt,16,477.509,3386.8
2700.0,632.424,decrypt,16,481.146,3111.13
2700.0,634.323,decrypt,16,427.543,3052.74
2700.0,677.786,decrypt,16,375.812,3464.89
2700.0,637.583,decrypt,16,485.755,3093.42
2700.0,627.337,decrypt,16,427.976,3037.55
2700.0,683.733,decrypt,16,509.659,3602.12
2700.0,217.486,decrypt,16,270.279,2724.79
2700.0,450.487,decrypt,32,360.818,1895.54
2700.0,453.256,decrypt,32,195.3,1916.62
2700.0,452.159,decrypt,32,262.78,1903
2700.0,232.015,decrypt,32,271.075,1948.34
2700.0,453.584,decrypt,32,185.721,1911.49
2700.0,460.598,decrypt,32,364.792,1943.12
2700.0,461.64,decrypt,32,192.794,1934.73
2700.0,457.708,decrypt,32,249.2,1913.92
2700.0,452.746,decrypt,32,186.583,1892.89
2700.0,456.512,decrypt,32,360.799,1908.03
2800.0,1298.88,decrypt,4,884.437,10139.6
2800.0,1436.21,decrypt,4,975.33,10142.3
2800.0,1434.25,decrypt,4,827.77,10141.8
2800.0,1432.61,decrypt,4,806.573,10141.5
2800.0,1299.47,decrypt,4,924.484,10143.1
2800.0,1433.03,decrypt,4,973.824,10139.9
2800.0,1435.08,decrypt,4,848.465,10140.5
2800.0,1436.93,decrypt,4,909.771,10151.1
2800.0,1436.36,decrypt,4,977.051,10149.1
2800.0,1434.56,decrypt,4,818.936,10141.3
2800.0,461.751,decrypt,32,138.614,1861.23
2800.0,458.209,decrypt,32,235.087,1826.69
2800.0,112.286,decrypt,32,93.4869,1883.68
2800.0,457.572,decrypt,32,133.527,1828.41
2800.0,478.097,decrypt,32,268.902,1949.14
2800.0,180.532,decrypt,32,192.17,1841.4
2800.0,454.739,decrypt,32,40.6179,1814.17
2800.0,240.663,decrypt,32,246.49,1882.64
2800.0,458.24,decrypt,32,154.742,1828.41
2800.0,461.035,decrypt,32,369.344,1848.25
2900.0,2552.25,decrypt,2,1601.72,19577.9
2900.0,2331.9,decrypt,2,1386.14,19617.8
2900.0,2300.22,decrypt,2,1341.39,19613.7
2900.0,2352.58,decrypt,2,1419.38,19601.4
2900.0,2553.87,decrypt,2,1574.37,19578.2
2900.0,2546.05,decrypt,2,1594.41,19568.1
2900.0,2551.61,decrypt,2,1612.06,19579.6
2900.0,2553.23,decrypt,2,1579.15,19586.1
2900.0,2528.87,decrypt,2,1470.92,19625.6
2900.0,2273,decrypt,2,1376.53,19585.2
2900.0,250.867,decrypt,16,363.943,2878
2900.0,636.213,decrypt,16,389.538,2868.05
2900.0,217.291,decrypt,16,373.407,2720.76
2900.0,640.43,decrypt,16,266.484,2858.85
2900.0,640.463,decrypt,16,471.903,2903.05
2900.0,653.865,decrypt,16,222.413,2942.55
2900.0,641.903,decrypt,16,463.822,2905.33
2900.0,640.32,decrypt,16,304.657,2903.31
2900.0,640.815,decrypt,16,263.342,2909.23
2900.0,643.65,decrypt,16,478.644,2919.93
2900.0,470.822,decrypt,32,178.659,1817.23
2900.0,473.412,decrypt,32,323.275,1832.58
2900.0,472.775,decrypt,32,96.6968,1827.97
2900.0,465.163,decrypt,32,324.414,1780.37
2900.0,468.926,decrypt,32,126.128,1811.78
2900.0,461.259,decrypt,32,142.096,1744.37
2900.0,466.205,decrypt,32,128.394,1804.12
2900.0,469.302,decrypt,32,134.543,1820.95
2900.0,390.642,decrypt,32,166.255,1781.74
2900.0,161.289,decrypt,32,10.6986,1789.55
2901.0,3911.11,decrypt,1,2411.83,29882.1
2901.0,3909.11,decrypt,1,2423.83,29888
2901.0,3914.7,decrypt,1,2517.72,29884.3
2901.0,3917.59,decrypt,1,2427.09,29894.4
2901.0,3720.11,decrypt,1,2430.75,29890.6
2901.0,3908.11,decrypt,1,2495.57,29880.9
2901.0,3908.46,decrypt,1,2397.11,29881.7
2901.0,3906.68,decrypt,1,2467.51,29886.1
2901.0,3517.3,decrypt,1,2276.31,29906.7
2901.0,3881.3,decrypt,1,2477.1,29914.2
2901.0,798.695,decrypt,8,626.361,4198.29
2901.0,585.528,decrypt,8,647.955,4205.84
2901.0,958.973,decrypt,8,530.121,4272.84
2901.0,946.003,decrypt,8,601.399,4198.46
2901.0,857.822,decrypt,8,428.905,4200.67
2901.0,963.305,decrypt,8,624.149,4208.35
2901.0,939.657,decrypt,8,612.975,4194.81
2901.0,944.342,decrypt,8,422.947,4200.71
2901.0,961.564,decrypt,8,630.109,4206.87
2901.0,612.417,decrypt,8,513.735,4311.21
2901.0,733.018,decrypt,16,270.512,2581.33
2901.0,196.945,decrypt,16,452.839,2568.77
2901.0,710.872,decrypt,16,412.072,2313.42
2901.0,695.173,decrypt,16,464.41,2625.65
2901.0,740.805,decrypt,16,273.742,2695.97
2901.0,709,decrypt,16,244.073,2315.51
2901.0,256.189,decrypt,16,436.054,2626.32
2901.0,724.541,decrypt,16,380.577,2583.26
2901.0,727.626,decrypt,16,193.156,2606.81
2901.0,711.124,decrypt,16,95.3298,2342.02
2901.0,531.247,decrypt,32,338.792,1594.3
2901.0,527.903,decrypt,32,107.527,1578.47
2901.0,528.039,decrypt,32,4.84633,1568.5
2901.0,527.985,decrypt,32,409.13,1572.76
2901.0,525.693,decrypt,32,281.543,1570.45
2901.0,318.974,decrypt,32,83.0351,1655.16
2901.0,519.808,decrypt,32,441.251,1538.65
2901.0,523.17,decrypt,32,313.929,1592.04
2901.0,532.303,decrypt,32,139.672,1655.94
2901.0,518.881,decrypt,32,22.5246,1556.8
2200.0,444.065,decrypt,32,314.069,2332.17
1400.0,341.967,decrypt,32,244.98,3639.01
2300.0,615.027,decrypt,8,619.55,6183.61
2300.0,5019.16,decrypt,1,2816.19,49326.8
