FR,EN,Name,TR,DC,TIM
1900.0,2892.07,encrypt,1,1525.92,29312.6
1900.0,2897.16,encrypt,1,1574.37,29311.9
1900.0,2761.86,encrypt,1,1597.13,29318.2
1900.0,2897.15,encrypt,1,1603.47,29318.1
1900.0,2829.72,encrypt,1,1566.86,29317.8
1900.0,2762.12,encrypt,1,1535.17,29313.9
1900.0,2897.31,encrypt,1,1604.13,29317.8
1900.0,2815.45,encrypt,1,1557.98,29318.5
1900.0,2898.65,encrypt,1,1537.87,29317.7
2300.0,2512.52,encrypt,1,1437.26,24229.8
2300.0,2506.82,encrypt,1,1433.59,24229.8
2300.0,2385.69,encrypt,1,1364.16,24230.4
2300.0,2369.66,encrypt,1,1419.15,24229.6
2300.0,2334.81,encrypt,1,1435.03,24235.3
2300.0,2441.22,encrypt,1,1463.14,24235.7
2300.0,2446.69,encrypt,1,1419.45,24233.3
2300.0,2509.99,encrypt,1,1403.4,24232.9
2300.0,2509.91,encrypt,1,1435.39,24235.7
2700.0,2216.18,encrypt,1,1321.88,20663.6
2700.0,2215.66,encrypt,1,1308.31,20661.8
2700.0,2234.02,encrypt,1,1318.92,20662.4
2700.0,2059.52,encrypt,1,1232.26,20662.1
2700.0,2235.95,encrypt,1,1252.12,20662.5
2700.0,2135.66,encrypt,1,1177.28,20662.1
2700.0,2138.63,encrypt,1,1193.01,20661.9
2700.0,2240.73,encrypt,1,1299.51,20662.8
2700.0,2211.16,encrypt,1,1302.85,20666
2901.0,1849.33,encrypt,1,1221.38,14708.9
2901.0,1970.45,encrypt,1,1307.24,14708.4
2901.0,1787.93,encrypt,1,1265.18,14708.7
2901.0,1824.23,encrypt,1,1308.52,14695.9
2901.0,1972.29,encrypt,1,1308.4,14699.7
2901.0,1989.7,encrypt,1,1244.29,14755.5
2901.0,1977.26,encrypt,1,1250.08,14695.6
2901.0,1977,encrypt,1,1200.29,14699.9
2901.0,1977.4,encrypt,1,1152.05,14696.5
1200.0,1280.09,encrypt,8,736.246,12079.3
1200.0,1648.99,encrypt,8,923.261,15848.6
1200.0,1204.6,encrypt,8,699.54,11954.2
1200.0,1183.78,encrypt,8,675.903,11614.5
1200.0,1859.85,encrypt,8,1119.02,15518.8
1200.0,2170.4,encrypt,8,1358.17,18925.3
1200.0,1817.14,encrypt,8,981.266,14637.4
1200.0,1981.97,encrypt,8,1177.77,16843.4
1200.0,1174.26,encrypt,8,613.583,10725.8
1200.0,648.779,encrypt,32,367.547,5343.08
1200.0,639.867,encrypt,32,362.167,5271.4
1200.0,514.693,encrypt,32,247.217,3971.67
1200.0,405.257,encrypt,32,209.086,3907.68
1200.0,469.761,encrypt,32,245.522,3482.32
1200.0,485.589,encrypt,32,237.579,3652.2
1200.0,446.864,encrypt,32,284.133,4413.81
1200.0,606.781,encrypt,32,264.942,4868.45
1200.0,581.832,encrypt,32,375.425,4624.3
1300.0,2166.37,encrypt,4,1234.64,21481.2
1300.0,2183.29,encrypt,4,1207.94,21480.9
1300.0,2174.08,encrypt,4,1180.66,21481.4
1300.0,2182.36,encrypt,4,1229.73,21482.8
1300.0,2183,encrypt,4,1182.44,21484.3
1300.0,2186.39,encrypt,4,1209.1,21481.4
1300.0,2185.08,encrypt,4,1230.11,21484.9
1300.0,2184.95,encrypt,4,1195.13,21484
1300.0,2185.05,encrypt,4,1200.3,21485.9
1300.0,499.291,encrypt,32,316.561,3737.16
1300.0,515.285,encrypt,32,341.621,3878.82
1300.0,622.223,encrypt,32,396.375,4954.2
1300.0,510.904,encrypt,32,286.421,3827.77
1300.0,360.941,encrypt,32,215.11,3707.84
1300.0,507.253,encrypt,32,268.254,3782.06
1300.0,500.317,encrypt,32,336.272,3730.1
1300.0,497.346,encrypt,32,300.052,3671.2
1300.0,479.716,encrypt,32,326.099,3614.39
1400.0,4162.75,encrypt,2,2406.03,39787.8
1400.0,3948,encrypt,2,2222.77,39860.1
1400.0,3835.98,encrypt,2,2253.01,39926.8
1400.0,4003.01,encrypt,2,2209.22,39946.2
1400.0,3999.53,encrypt,2,2161.54,39945
1400.0,4025.99,encrypt,2,2246.82,39867.9
1400.0,3932.38,encrypt,2,2194.43,39939.1
1400.0,4037.59,encrypt,2,2268.95,39940.4
1400.0,3821.18,encrypt,2,2141.79,39942.9
1400.0,701.74,encrypt,16,455.006,6418.99
1400.0,451.257,encrypt,16,285.695,4372.15
1400.0,599.392,encrypt,16,309.03,4551.32
1400.0,469.77,encrypt,16,337.605,4556.79
1400.0,396.934,encrypt,16,241.772,4428.19
1400.0,597.931,encrypt,16,393.558,4528.8
1400.0,686.652,encrypt,16,344.094,5502.09
1400.0,715.617,encrypt,16,545.6,7533.82
1400.0,595.168,encrypt,16,273.609,4498.38
1700.0,1645.26,encrypt,4,999.34,16424
1700.0,1603.36,encrypt,4,998.166,16431.4
1700.0,1805.61,encrypt,4,1019.55,16424.6
1700.0,1703.18,encrypt,4,1025.39,16433.8
1700.0,1808.69,encrypt,4,1084.46,16425.5
1700.0,1806.94,encrypt,4,1082.12,16434.2
1700.0,1746.72,encrypt,4,1028.13,16426.6
1700.0,1804.66,encrypt,4,1011.91,16434.3
1700.0,1801.41,encrypt,4,1027.6,16422
1700.0,413.849,encrypt,32,250.052,2770.56
1700.0,292.939,encrypt,32,232,3309.72
1700.0,464.187,encrypt,32,327.911,3050.25
1700.0,324.234,encrypt,32,153.004,2837.69
1700.0,511.966,encrypt,32,209.417,3467.03
1700.0,480.333,encrypt,32,165.776,3145.24
1700.0,467.537,encrypt,32,307.357,3059.53
1700.0,357.105,encrypt,32,320.789,2956.52
1700.0,483.973,encrypt,32,173.922,3225.78
1800.0,3322.74,encrypt,2,1952.07,31042.4
1800.0,3384.84,encrypt,2,1917.93,31070.5
1800.0,3322.56,encrypt,2,1999.32,31066.6
1800.0,3371.1,encrypt,2,1998.56,31072.9
1800.0,3282.54,encrypt,2,1865.2,31078.1
1800.0,3271.93,encrypt,2,1916.99,31072
1800.0,3204.02,encrypt,2,1880.56,31075.1
1800.0,3365.46,encrypt,2,1945.61,31074.7
1800.0,3316.81,encrypt,2,1950.76,31075.2
1800.0,537.453,encrypt,16,331.022,3731.21
1800.0,523.482,encrypt,16,351.814,3675.44
1800.0,350.457,encrypt,16,242.641,3673.45
1800.0,537.303,encrypt,16,324.214,3672.92
1800.0,305.859,encrypt,16,274.06,3740.82
1800.0,551.568,encrypt,16,287.79,3793.56
1800.0,368.15,encrypt,16,359.036,3677.19
1800.0,421.051,encrypt,16,327.605,3679.83
1800.0,469.583,encrypt,16,310.876,3701.93
1900.0,922.65,encrypt,8,536.723,7371.93
1900.0,930.478,encrypt,8,572.677,7396.28
1900.0,931.756,encrypt,8,573.489,7423.3
1900.0,1127.26,encrypt,8,659.606,7895.8
1900.0,1559.73,encrypt,8,1062.5,10902.2
1900.0,1436.01,encrypt,8,941.51,9857.84
1900.0,755.752,encrypt,8,501.607,7114.28
1900.0,902.85,encrypt,8,590.711,6975.53
1900.0,917.867,encrypt,8,578.737,6969.26
2000.0,271.527,encrypt,32,327.855,2560.53
2000.0,440.673,encrypt,32,300.831,2448.62
2000.0,449.242,encrypt,32,92.1476,2542.48
2000.0,414.42,encrypt,32,158.393,2545.84
2000.0,451.559,encrypt,32,311.344,2546.78
2000.0,393.678,encrypt,32,111.917,2529.61
2000.0,447.942,encrypt,32,327.644,2514.72
2000.0,215.011,encrypt,32,155.496,2524.35
2000.0,488.323,encrypt,32,334.767,2854.54
2200.0,3025.46,encrypt,2,1805.15,25342.6
2200.0,2727.99,encrypt,2,1673.76,25377.2
2200.0,2962.27,encrypt,2,1818.95,25376.7
2200.0,2916.95,encrypt,2,1777.14,25377.3
2200.0,2970.82,encrypt,2,1836.94,25385.5
2200.0,2964.61,encrypt,2,1725.52,25378.2
2200.0,2979.65,encrypt,2,1773.94,25383.1
2200.0,2807.63,encrypt,2,1745.76,25385
2200.0,2967.08,encrypt,2,1701.98,25385.2
2200.0,362.775,encrypt,16,383.58,3238.49
2200.0,467.693,encrypt,16,370.218,3109.7
2200.0,309.487,encrypt,16,210.729,3048.14
2200.0,430.213,encrypt,16,200.748,3051.11
2200.0,445.986,encrypt,16,342.655,3032.36
2200.0,507.68,encrypt,16,160.692,3036.11
2200.0,398.844,encrypt,16,289.186,3037.92
2200.0,501.895,encrypt,16,364.26,3031.29
2200.0,386.867,encrypt,16,280.187,3031.68
2300.0,1200.9,encrypt,8,804.149,7192.5
2300.0,1178.78,encrypt,8,1015.06,8224.61
2300.0,1080.51,encrypt,8,954.607,7187.17
2300.0,959.613,encrypt,8,659.902,6340.08
2300.0,837.276,encrypt,8,569.612,5827.7
2300.0,870.433,encrypt,8,596.611,5960.76
2300.0,841.455,encrypt,8,573.718,5839.35
2300.0,614.252,encrypt,8,308.93,5817.54
2300.0,830.497,encrypt,8,556.227,5809.44
2400.0,1496.93,encrypt,4,924.344,11648.3
2400.0,1450.03,encrypt,4,912.7,11880.4
2400.0,1496.01,encrypt,4,955.171,11657.6
2400.0,1382.07,encrypt,4,911.405,11860.6
2400.0,1486.93,encrypt,4,920.921,11622.8
2400.0,1489.17,encrypt,4,838.732,11621.5
2400.0,1673.78,encrypt,4,1254.74,11624.7
2400.0,1670.44,encrypt,4,1207.63,11628.3
2400.0,1282.32,encrypt,4,1037.57,11656.2
2400.0,460.639,encrypt,32,206.801,2713.79
2400.0,444.954,encrypt,32,260.058,2174.97
2400.0,386.708,encrypt,32,74.3972,2157.53
2400.0,442.371,encrypt,32,269.148,2281.93
2400.0,432.493,encrypt,32,121.101,2171.89
2400.0,482.749,encrypt,32,247.185,2622.48
2400.0,430.571,encrypt,32,23.1202,2138.75
2400.0,495.383,encrypt,32,361.002,2652.46
2400.0,301.593,encrypt,32,174.969,2104.09
2700.0,799.411,encrypt,8,401.77,5182.24
2700.0,506.939,encrypt,8,389.257,5211.26
2700.0,789.563,encrypt,8,601.373,5300.86
2700.0,1156.16,encrypt,8,816.066,5840.79
2700.0,813.448,encrypt,8,628.204,5663.58
2700.0,1022.57,encrypt,8,762.509,5527.95
2700.0,597.353,encrypt,8,427.104,5029.53
2700.0,818.172,encrypt,8,536.712,5086.9
2700.0,803.86,encrypt,8,353.444,4998.35
2700.0,487.405,encrypt,16,319.772,2508.65
2700.0,353.165,encrypt,16,114.216,2522.97
2700.0,371.087,encrypt,16,324.173,2565.75
2700.0,517.735,encrypt,16,276.889,2586.66
2700.0,510.357,encrypt,16,143.723,2603.67
2700.0,500.192,encrypt,16,244.775,2518.66
2700.0,435.474,encrypt,16,342.01,2632.83
2700.0,503.909,encrypt,16,400.275,2884.21
2700.0,263.205,encrypt,16,343.957,2492.68
2800.0,1240.05,encrypt,4,816.679,9973.98
2800.0,1401.99,encrypt,4,914.337,9974.02
2800.0,1403.83,encrypt,4,909.255,9974.45
2800.0,1178.21,encrypt,4,842.052,9977.92
2800.0,1401.45,encrypt,4,895.964,9974.09
2800.0,1404.17,encrypt,4,816.323,9973.98
2800.0,1138.61,encrypt,4,893.672,9978.09
2800.0,1299.15,encrypt,4,887.113,9974.72
2800.0,1523.12,encrypt,4,1156.93,9982.52
2800.0,490.8,encrypt,32,307.218,2363.36
2800.0,452.552,encrypt,32,101.084,2335.78
2800.0,508.797,encrypt,32,279.921,2373.44
2800.0,493.118,encrypt,32,239.294,2329.95
2800.0,344.294,encrypt,32,148.241,2239.61
2800.0,243.007,encrypt,32,251.271,2038.01
2800.0,469.049,encrypt,32,218.845,2004.24
2800.0,452.85,encrypt,32,55.8242,1908.55
2800.0,309.122,encrypt,32,355.865,1881.6
2900.0,2471.3,encrypt,2,1710.11,19245.8
2900.0,2550.81,encrypt,2,1658.6,19273.4
2900.0,2606.95,encrypt,2,1643.02,19273.5
2900.0,2485.14,encrypt,2,1662.07,19277.6
2900.0,2597.2,encrypt,2,1655.95,19273.7
2900.0,2596.04,encrypt,2,1573.02,19282.4
2900.0,2594.05,encrypt,2,1673.73,19274.1
2900.0,2430.96,encrypt,2,1613.94,19281.3
2900.0,2521.04,encrypt,2,1645.74,19278
2900.0,452.051,encrypt,16,359.145,3115.44
2900.0,440.113,encrypt,16,160.395,2216.81
2900.0,93.1627,encrypt,16,401.92,2193.07
