FR,EN,Name,TR,DC,TIM
1200.0,2256.27,decrypt,8,1250.13,20342
1200.0,2255.69,decrypt,8,1297.38,20307
1200.0,2248.69,decrypt,8,1275.12,20321.1
1200.0,2182.14,decrypt,8,1210.72,20333.5
1200.0,2220.06,decrypt,8,1268.1,20325.5
1200.0,2064.02,decrypt,8,1263.03,20317.5
1200.0,2127.88,decrypt,8,1265.51,20340.2
1200.0,2344.15,decrypt,8,1302.56,22028
1200.0,2103.29,decrypt,8,1272.19,20348.8
1200.0,2466.52,decrypt,8,1408.84,22798.2
1200.0,1140,decrypt,16,710.996,10606
1200.0,1343.78,decrypt,16,786.687,10720.8
1200.0,1264.3,decrypt,16,774.26,10509.2
1200.0,1123.46,decrypt,16,772.782,10682.4
1200.0,1216.56,decrypt,16,820.353,10544.4
1200.0,1552.88,decrypt,16,919.243,13056.2
1200.0,1372.98,decrypt,16,855.777,11225.1
1200.0,1226.87,decrypt,16,720.179,10594.7
1200.0,1190.91,decrypt,16,820.604,10654.6
1200.0,1474.04,decrypt,16,883.088,13123.1
1200.0,725.612,decrypt,32,581.118,7172.6
1200.0,786.241,decrypt,32,535.963,7177.42
1200.0,918.599,decrypt,32,522.382,7150.98
1200.0,924.79,decrypt,32,588.983,7198.46
1200.0,934.504,decrypt,32,479.313,7177.88
1200.0,748.34,decrypt,32,522.401,7182.47
1200.0,876.834,decrypt,32,581.771,7149.77
1200.0,767.734,decrypt,32,556.605,7107.39
1200.0,939.414,decrypt,32,539.978,7178.48
1200.0,915.519,decrypt,32,563.467,7174.07
1300.0,3849.43,decrypt,4,2144.04,37501.9
1300.0,4063.83,decrypt,4,2238.53,40598.5
1300.0,4130.59,decrypt,4,2280.16,40732
1300.0,4124.43,decrypt,4,2191.06,40782.2
1300.0,4101.04,decrypt,4,2249.05,40754.5
1300.0,3771.19,decrypt,4,2141,37504.2
1300.0,4029.1,decrypt,4,2184.53,40802.9
1300.0,4104.27,decrypt,4,2175.42,40724.8
1300.0,4130.05,decrypt,4,2223.16,40581.6
1300.0,3700.1,decrypt,4,2093.49,37500.7
1300.0,835.536,decrypt,32,428.816,6649.47
1300.0,812.682,decrypt,32,572.759,6628.28
1300.0,897.503,decrypt,32,471.511,6608.02
1300.0,898.384,decrypt,32,546.771,6627.89
1300.0,863.494,decrypt,32,552.751,6639.85
1300.0,741.39,decrypt,32,537.427,6644.51
1300.0,762.052,decrypt,32,497.295,6605.71
1300.0,810.417,decrypt,32,515.576,6615.56
1300.0,761.8,decrypt,32,581.643,6616.16
1300.0,730.094,decrypt,32,508.024,6642.13
1400.0,6988.19,decrypt,2,3776.96,72585.4
1400.0,7571.78,decrypt,2,4020.98,77522.6
1400.0,6640.67,decrypt,2,3559.33,69664
1400.0,6808.32,decrypt,2,3730.89,69683.6
1400.0,7920.93,decrypt,2,4198.09,81136.9
1400.0,6766.38,decrypt,2,3591.23,69672.6
1400.0,6731.34,decrypt,2,3574.72,69675.2
1400.0,7759.19,decrypt,2,4246.95,81206.2
1400.0,7381.54,decrypt,2,3901.51,76401
1400.0,6601.28,decrypt,2,3536.13,69627.9
1400.0,1325.98,decrypt,16,787.574,10402.3
1400.0,1251.21,decrypt,16,824.267,10139
1400.0,1311.65,decrypt,16,882.061,11679.2
1400.0,1293.22,decrypt,16,785.493,10340
1400.0,1158.01,decrypt,16,794.528,10255.8
1400.0,1295.43,decrypt,16,863.105,11746.9
1400.0,1384.73,decrypt,16,896.209,12021.3
1400.0,1279.96,decrypt,16,832.988,10342.8
1400.0,1425.31,decrypt,16,868.85,11780.6
1400.0,1211.64,decrypt,16,818.698,10450.3
1700.0,3049.17,decrypt,4,1930.52,28704.4
1700.0,3960.28,decrypt,4,2242.98,40505.4
1700.0,4013.6,decrypt,4,2355.82,39979.7
1700.0,3833.81,decrypt,4,2138.87,36796.2
1700.0,4094.24,decrypt,4,2336.96,40530.4
1700.0,3752.66,decrypt,4,2165.71,36855.7
1700.0,3171.3,decrypt,4,1890.73,28681.8
1700.0,4226.27,decrypt,4,2388.94,40474.4
1700.0,3218.68,decrypt,4,1913.25,28679
1700.0,4110.08,decrypt,4,2254.04,40588.5
1700.0,710.747,decrypt,32,465.902,5095.21
1700.0,799.919,decrypt,32,443.988,5068.83
1700.0,758.86,decrypt,32,388.239,5045.61
1700.0,649.681,decrypt,32,464.36,5098.47
1700.0,664.997,decrypt,32,546.386,5084.75
1700.0,615.492,decrypt,32,410.337,5076.65
1700.0,553.39,decrypt,32,540.052,5109.8
1700.0,698.698,decrypt,32,532.958,5122.57
1700.0,661.012,decrypt,32,503.077,5076.56
1700.0,669.824,decrypt,32,491.377,5057.84
1800.0,7718.64,decrypt,2,4236.33,81178.6
1800.0,7730.61,decrypt,2,4253.71,81058.6
1800.0,7797.91,decrypt,2,4302.22,81092
1800.0,5674.73,decrypt,2,3178.84,54201.6
1800.0,6307.17,decrypt,2,3480.96,63697.7
1800.0,5471.16,decrypt,2,3169.94,54257.5
1800.0,5534.76,decrypt,2,3157.7,54249.3
1800.0,5704.51,decrypt,2,3218.35,54228.4
1800.0,5502.73,decrypt,2,3142.78,54259.6
1800.0,5339.5,decrypt,2,3055.1,54212.1
1800.0,1173.82,decrypt,16,830.777,10041.8
1800.0,1282.36,decrypt,16,820.569,10174.6
1800.0,1269.16,decrypt,16,820.582,9978.81
1800.0,1311.31,decrypt,16,804.237,9451.05
1800.0,1325.09,decrypt,16,815.553,10004.6
1800.0,1319.22,decrypt,16,822.013,9989.62
1800.0,1247.13,decrypt,16,861.348,10060.8
1800.0,1339.1,decrypt,16,820.158,10059.8
1800.0,1336.6,decrypt,16,822.834,10040.1
1800.0,1262.44,decrypt,16,781.154,10025.3
1900.0,10070.8,decrypt,1,5418.11,102770
1900.0,10023.7,decrypt,1,5487.22,102601
1900.0,10069,decrypt,1,5504.91,102695
1900.0,10129.9,decrypt,1,5548.02,102681
1900.0,9962.82,decrypt,1,5426.24,102666
1900.0,9953.98,decrypt,1,5514.16,102718
1900.0,9963.96,decrypt,1,5495.68,102605
1900.0,10025.2,decrypt,1,5415.44,102713
1900.0,10046.3,decrypt,1,5424.82,102660
1900.0,9978.03,decrypt,1,5492.33,102685
1900.0,2088.72,decrypt,8,1314.17,20058.1
1900.0,2318.65,decrypt,8,1397.31,20123.8
1900.0,2123.86,decrypt,8,1403.68,19892.3
1900.0,2084.96,decrypt,8,1339.87,20192.1
1900.0,1569.63,decrypt,8,1011.13,12857.3
1900.0,2101.29,decrypt,8,1308.69,19229.7
1900.0,2272.62,decrypt,8,1343.1,19858.4
1900.0,2199.46,decrypt,8,1312.19,20112.8
1900.0,2182.06,decrypt,8,1333.37,18339.1
1900.0,2313.1,decrypt,8,1380.12,20023.1
2000.0,760.109,decrypt,32,497.718,4314.44
2000.0,706.31,decrypt,32,457.685,4436.18
2000.0,732.025,decrypt,32,412.761,4354.48
2000.0,490.096,decrypt,32,440.544,4359.36
2000.0,747.773,decrypt,32,489.015,4317.35
2000.0,511.706,decrypt,32,509.005,4374.11
2000.0,769.208,decrypt,32,514.314,4323.5
2000.0,477.858,decrypt,32,423.193,4268.5
2000.0,766.341,decrypt,32,410.773,4292.2
2000.0,478.521,decrypt,32,472.491,4323.72
2200.0,5040.77,decrypt,2,3038.73,44401.2
2200.0,5083.22,decrypt,2,3037.15,44327.8
2200.0,4839.06,decrypt,2,2809.05,44547.2
2200.0,7996.15,decrypt,2,4450.34,80789
2200.0,7888.37,decrypt,2,4250.46,81085.8
2200.0,5097.6,decrypt,2,3093.29,44342.1
2200.0,7964.95,decrypt,2,4453.59,80687.5
2200.0,7223.85,decrypt,2,3948.98,75017.5
2200.0,7727.93,decrypt,2,4219.08,81063
2200.0,791.055,decrypt,16,769.685,6121.81
2200.0,1232.86,decrypt,16,797.652,9545.9
2200.0,1326.44,decrypt,16,924.14,10076.4
2200.0,1370.1,decrypt,16,864.661,9695.13
2200.0,1125.58,decrypt,16,789.924,7068.93
2200.0,1149.77,decrypt,16,833.131,9750.56
2200.0,1333.33,decrypt,16,885.319,10079
2200.0,1303.6,decrypt,16,900.094,9525.51
2200.0,1285.1,decrypt,16,903.291,9922.57
2200.0,1394.65,decrypt,16,865.901,10189.9
2300.0,8661.86,decrypt,1,4842.68,85025.9
2300.0,8526.11,decrypt,1,4850.47,84887.3
2300.0,8669.15,decrypt,1,4815.97,85051.3
2300.0,8549.72,decrypt,1,4822.25,84919.7
2300.0,8733.33,decrypt,1,4843.56,84958
2300.0,8707.57,decrypt,1,4739.54,84783.6
2300.0,8577.19,decrypt,1,4860.02,84890.5
2300.0,8688.31,decrypt,1,4816.22,84868.9
