FR,EN,Name,TR,DC,TIM
1200.0,3695.21,encrypt,8,2192.87,33849.7
1200.0,4881.06,encrypt,8,2810.62,47594.2
1200.0,4043.45,encrypt,8,2371.07,37263.8
1200.0,3766.23,encrypt,8,2192.94,33871.4
1200.0,3809.2,encrypt,8,2125.24,33864.9
1200.0,3714.66,encrypt,8,2203.57,33933.1
1200.0,3808.22,encrypt,8,2140.75,33852.6
1200.0,3589.98,encrypt,8,2176.02,33904.6
1200.0,3660.88,encrypt,8,2137.78,33890.2
1200.0,3781.11,encrypt,8,2213.9,34057.4
1300.0,7492.87,encrypt,4,4180.81,73822.8
1300.0,6443.06,encrypt,4,3616.36,62478.1
1300.0,6481.68,encrypt,4,3602.94,62511.8
1300.0,6322.14,encrypt,4,3607.97,62480
1300.0,6482.61,encrypt,4,3553.38,62501.7
1300.0,6814.06,encrypt,4,3839.47,66791.9
1300.0,6410.92,encrypt,4,3633.8,62491
1300.0,7022.32,encrypt,4,3949.35,69064.6
1300.0,6600.7,encrypt,4,3664.93,64702
1300.0,7642.05,encrypt,4,4157.01,74744.4
1300.0,1645.92,encrypt,32,1211.57,13328.4
1300.0,1734.83,encrypt,32,1177.58,13327.2
1300.0,1750.93,encrypt,32,1077.59,13322.6
1300.0,1811.84,encrypt,32,1150.52,13330.4
1300.0,1740.94,encrypt,32,1162.22,13321.9
1300.0,1637.43,encrypt,32,1148.15,13319.1
1300.0,1858.33,encrypt,32,1194.54,13344.8
1300.0,1597.52,encrypt,32,1211.02,13310.2
1300.0,1670.3,encrypt,32,1197.3,13331.8
1300.0,1852.61,encrypt,32,1121.86,13319.5
1400.0,11509.8,encrypt,2,6422.2,115954
1400.0,11533.2,encrypt,2,6298.4,115971
1400.0,11562.2,encrypt,2,6307.25,115912
1400.0,13068.3,encrypt,2,6947.34,133024
1400.0,11522.7,encrypt,2,6311.4,115922
1400.0,11603.3,encrypt,2,6389.13,115836
1400.0,11533,encrypt,2,6335.88,115970
1400.0,11504.3,encrypt,2,6308.04,115900
1400.0,12624,encrypt,2,7021.18,127452
1400.0,11311,encrypt,2,6126.57,116223
1400.0,1884.01,encrypt,16,1226.56,14851.4
1400.0,2072.69,encrypt,16,1264.06,14864.1
1400.0,2829.24,encrypt,16,1762.65,22217.1
1400.0,1819.68,encrypt,16,1315.62,14683.6
1400.0,2128.54,encrypt,16,1422.7,17081.5
1400.0,2123.31,encrypt,16,1447.92,17119.6
1400.0,2073.49,encrypt,16,1356.92,17239.2
1400.0,2098.47,encrypt,16,1429,17061
1400.0,2901.14,encrypt,16,1838.05,24529.5
1400.0,1785.22,encrypt,16,1274.04,14761.1
1700.0,6965.94,encrypt,4,3894.36,67402.4
1700.0,5292.91,encrypt,4,3205.02,47843.2
1700.0,6781.87,encrypt,4,3865.43,66957.9
1700.0,5289.78,encrypt,4,3198.86,47767.5
1700.0,6997.62,encrypt,4,3998.59,67242
1700.0,6543.62,encrypt,4,3835.51,62525.3
1700.0,6719.87,encrypt,4,3892.21,67525.4
1700.0,6925.69,encrypt,4,3931.46,67541.2
1700.0,5311.08,encrypt,4,3255.11,47856.7
1700.0,5329.25,encrypt,4,3210.13,47793.7
1700.0,1585.62,encrypt,32,1212.78,10181.4
1700.0,1633.18,encrypt,32,1010.49,10194
1700.0,1572.22,encrypt,32,1024.76,10186.2
1700.0,1518.83,encrypt,32,1097.78,10185.2
1700.0,1560.01,encrypt,32,1182.84,10184.4
1700.0,1533.25,encrypt,32,1046.86,10873.9
1700.0,1450.76,encrypt,32,1245.3,10798.4
1700.0,1580.66,encrypt,32,1207.61,10942.5
1700.0,1467.8,encrypt,32,1125.97,10187.2
1700.0,1547.79,encrypt,32,1100.29,10216.5
1900.0,16806.3,encrypt,1,9242.82,171831
1900.0,16706.4,encrypt,1,9204.16,171140
1900.0,16779.9,encrypt,1,9213.03,171196
1900.0,16777.4,encrypt,1,9142.12,171140
1900.0,18561.7,encrypt,1,10120.1,188222
1900.0,16774.7,encrypt,1,9233.56,171086
1900.0,16877.4,encrypt,1,9213.6,170998
