FR,EN,Name,TR,DC,TIM
1200.0,5199.84,sort,8,3089.01,46723
1200.0,5086.42,sort,8,3036.07,45436.8
1200.0,5298.02,sort,8,3140.96,47684
1200.0,5077.79,sort,8,3026.12,45394.8
1200.0,5190.77,sort,8,3086.15,46519.7
1200.0,5065.35,sort,8,3001.59,45356.3
1200.0,4960.24,sort,8,2908.65,46787.7
1200.0,5099.2,sort,8,3044.36,45544
1200.0,5102.69,sort,8,3032.06,45348.6
1200.0,5123.76,sort,8,3053.38,45890
1300.0,8308.41,sort,4,4963.37,73749.1
1300.0,7776.05,sort,4,4681.84,68098.3
1300.0,7789.14,sort,4,4698.96,68159.1
1300.0,7394.17,sort,4,4437.95,68204.2
1300.0,7790.47,sort,4,4680.9,68163.6
1300.0,7853.12,sort,4,4750.9,68336.8
1300.0,7807.24,sort,4,4712.38,68161.6
1300.0,7838.83,sort,4,4742.36,68159.8
1300.0,7806.21,sort,4,4709.45,68193.6
1300.0,7842.25,sort,4,4741.58,68177.5
1300.0,4146.17,sort,32,2689.53,31851.1
1300.0,4280.37,sort,32,2737.16,31669.4
1300.0,4189.29,sort,32,2787.68,32700.1
1300.0,4311.22,sort,32,2843.88,31878
1300.0,4437.66,sort,32,2871.85,33668.9
1300.0,3954.86,sort,32,2474.51,33518.9
1300.0,4622.18,sort,32,3046.88,35677.4
1300.0,4398.96,sort,32,2904.83,33520.5
1300.0,4544.27,sort,32,2966,34570.2
1300.0,4319.27,sort,32,2862.19,34222.8
1400.0,11871.5,sort,2,6916.88,114085
1400.0,11819.4,sort,2,6848.65,114214
1400.0,11910.8,sort,2,6872.43,113076
1400.0,11835.6,sort,2,6821.01,113199
1400.0,11825.6,sort,2,6858.62,113064
1400.0,11868.8,sort,2,6763.39,113218
1400.0,11918,sort,2,6813.83,113080
1400.0,11687,sort,2,6768.54,113222
1400.0,11946.9,sort,2,6813.27,113088
1400.0,11858.3,sort,2,6777.02,113223
1400.0,3684.14,sort,16,2307.04,30812.1
1400.0,4009.44,sort,16,2721.84,29316.6
1400.0,3632.08,sort,16,2247.24,29185.4
1400.0,4044.19,sort,16,2762.11,29499.7
1400.0,2954.55,sort,16,1726.14,30757
1400.0,3497.82,sort,16,2282.77,28330.4
1400.0,3864.83,sort,16,2382.19,30700
1400.0,4077.03,sort,16,2734.95,29310.7
1400.0,3901.84,sort,16,2486.54,30622.3
1400.0,4108.29,sort,16,2714.39,29762.2
1700.0,6189.82,sort,4,3863.68,52182.1
1700.0,6418.85,sort,4,4070.22,52189.2
1700.0,6447.09,sort,4,4046.51,52090.7
1700.0,6499.63,sort,4,4125.87,52186.9
1700.0,6438.53,sort,4,4058.95,52102.8
1700.0,6489.9,sort,4,4100.91,52198.7
1700.0,6615.11,sort,4,4183.63,54979.9
1700.0,6413.83,sort,4,4055.07,52193.9
1700.0,6371.7,sort,4,4064.88,52091.9
1700.0,6541.54,sort,4,4126.92,52166.3
1700.0,3343.88,sort,32,2279.18,23003
1700.0,3513.71,sort,32,2486.13,21888.4
1700.0,3320.38,sort,32,2148.46,24282.7
1700.0,2871.14,sort,32,1885.9,23212.9
1700.0,2922.44,sort,32,1943.75,24253.5
1700.0,3701.41,sort,32,2579.5,24077.2
1700.0,494.597,sort,32,314.262,24667.2
1700.0,171.307,sort,32,124.853,24488.8
1700.0,3100.15,sort,32,2097.9,25112.4
1700.0,3788,sort,32,2649.89,24319.1
1800.0,10183.9,sort,2,6201.25,87979.2
1800.0,10212.7,sort,2,6197.71,87972.5
1800.0,10221.2,sort,2,6234.6,87958.3
1800.0,10141,sort,2,6221.27,87965.8
1800.0,10216,sort,2,6191.71,87965.9
1800.0,10211.4,sort,2,6182.27,87947.2
1800.0,9892.23,sort,2,6000.5,87967.7
1800.0,10212.8,sort,2,6220.57,87968.5
1800.0,10091.6,sort,2,6138.75,87966.6
1800.0,9884.35,sort,2,6015.8,88050
1800.0,3576.42,sort,16,2503.96,24018.5
1800.0,3641.11,sort,16,2531.74,23776.1
1800.0,3572.35,sort,16,2475.21,23600.3
1800.0,3625.93,sort,16,2542.64,24045.7
1800.0,3483.61,sort,16,2413.98,24036.9
1800.0,3147.78,sort,16,2215.21,23644.3
1800.0,3170.51,sort,16,2294.23,23842.8
1800.0,2870.34,sort,16,2116.87,23821.2
1800.0,3573.29,sort,16,2482.72,24195.5
1800.0,3262.26,sort,16,2298.5,23717.9
1900.0,17156.3,sort,1,9946.44,159617
1900.0,16994.6,sort,1,9989.04,159492
1900.0,17125.9,sort,1,9971.08,159618
1900.0,17144.6,sort,1,9985.83,159541
1900.0,17158,sort,1,9948.64,159621
1900.0,16983.6,sort,1,9959.02,159625
1900.0,17150.1,sort,1,9989.2,159599
1900.0,17099.2,sort,1,9962.25,159596
1900.0,17159.5,sort,1,9934.94,159593
1900.0,17137.1,sort,1,9968.91,159593
1900.0,3291.62,sort,8,2124.65,31348.3
1900.0,4357.58,sort,8,3143.44,28692.3
1900.0,3868.32,sort,8,2598.7,29720
1900.0,4510.95,sort,8,3161.44,28770.8
1900.0,4474.72,sort,8,3067.59,28680.4
1900.0,4330.36,sort,8,3137.81,28777.9
1900.0,3938.1,sort,8,2556.26,28755.9
1900.0,4184.32,sort,8,3071.13,28727.8
1900.0,4179.49,sort,8,2945.02,29298.4
1900.0,4578.87,sort,8,3231.3,29969.9
2200.0,8648.08,sort,2,5446.14,72088.9
2200.0,8507.88,sort,2,5456.79,72593.5
