FR,EN,Name,TR,DC,TIM
1200.0,1440.23,sort,8,885.135,12529.9
1200.0,609.356,sort,8,464.118,12283.2
1200.0,255.259,sort,8,291.097,7740.42
1200.0,1238.68,sort,8,817.539,9409.49
1200.0,1140.11,sort,8,699.953,7828.27
1200.0,1116.39,sort,8,727.265,7950.39
1200.0,1127.65,sort,8,720.414,8144.53
1200.0,701.215,sort,8,606.264,7810.64
1200.0,994.357,sort,8,676.888,7698.98
1200.0,1034.6,sort,8,576.589,9418.99
1200.0,712.607,sort,16,481.515,4656.1
1200.0,49.9277,sort,16,125.681,5134.86
1200.0,724.314,sort,16,470.936,5159.76
1200.0,812.113,sort,16,568.712,4828.14
1200.0,851.569,sort,16,595.925,5055.63
1200.0,749.479,sort,16,432.73,4921.64
1200.0,797.087,sort,16,535.222,5139.31
1200.0,566.384,sort,16,421.683,5209.45
1200.0,763.698,sort,16,449.976,4931.59
1200.0,594.744,sort,16,393.307,4776.77
1200.0,528.83,sort,32,400.246,3122.08
1200.0,502.538,sort,32,253.424,3181.48
1200.0,456.278,sort,32,315.441,3451.8
1200.0,564.192,sort,32,363.109,3185.39
1200.0,567.872,sort,32,406.862,3219.29
1200.0,413.722,sort,32,315.448,3146.18
1200.0,560.864,sort,32,307.281,3223.89
1200.0,387.554,sort,32,332.539,3193.3
1200.0,692.392,sort,32,389.723,4404.01
1200.0,636.015,sort,32,390.551,4571.15
1300.0,2214.4,sort,4,1309.73,20086.2
1300.0,2434.44,sort,4,1427.12,22259.1
1300.0,2259.01,sort,4,1371.4,20245.5
1300.0,660.667,sort,4,335.102,20424.9
1300.0,2303.18,sort,4,1380.95,20247.8
1300.0,2889.96,sort,4,1656.45,26897.9
1300.0,1835.16,sort,4,1071.45,20394.8
1300.0,2802.57,sort,4,1616.06,26844.2
1300.0,2233.53,sort,4,1295.64,20357.5
1300.0,2205.89,sort,4,1291.08,19988.7
1300.0,282.019,sort,32,299.277,4518.91
1300.0,635.941,sort,32,456.945,4689.25
1300.0,593.447,sort,32,426.741,4595.68
1300.0,610.284,sort,32,308.389,4164.88
1300.0,632.813,sort,32,373.216,4355.69
1300.0,646.494,sort,32,438.879,4503.17
1300.0,630.619,sort,32,436.944,4443.1
1300.0,673.73,sort,32,421.01,4714.9
