Name,ACT,DataType,REP,TR,FR,EN_S,TIM_S,EN,SUB,OV_EN,OV_TIM
nanozip_default,compress,enwik8,1,8.0,2700.0,44.87,46.58,371.86,0.1,58702.6,411.6
pbzip2,compress,cr_audio1.wav,1,8.0,2700.0,-37.14,-121.18,782.68,0.08,157192.1,1204.6
nanozip_default,compress,cr_audio1.wav,1,4.0,2900.0,18.24,19.08,449.81,0.16,132460.2,1153.2
nanozip_5,compress,enwik8,1,8.0,2700.0,41.49,47.2,304.22,0.11,55532.0,391.9
nanozip_default,compress,enwik9,1,4.0,2700.0,41.54,39.23,3784.24,0.13,673591.4,4833.9
nanozip_50,compress,enwik8,1,16.0,2000.0,9.19,-5.54,523.03,0.08,190299.6,421.3
nanozip_50,compress,cr_audio1.wav,1,4.0,1300.0,-13.67,-41.54,722.36,0.07,114890.2,1261.4
plzip,compress,enwik9,1,32.0,1800.0,18.82,-21.55,8489.99,0.13,1935192.5,14570.3
pbzip2,compress,enwik8,1,16.0,2700.0,-8.77,-29.41,199.09,0.07,24994.1,168.8
pigz,compress,game1,1,8.0,2700.0,-60.25,-108.6,940.85,0.17,441659.7,3990.2
plzip,compress,app4,1,2.0,1600.0,-334.59,-981.02,12043.19,0.08,1518663.3,15701.3
pigz,compress,enwik8,1,32.0,2900.0,0.0,0.0,72.39,0.13,34539.5,286.8
nanozip_50,compress,game1,1,8.0,1600.0,34.5,28.32,10924.76,0.15,3601086.8,35416.0
nanozip_default,compress,cr_audio1.flac,1,8.0,1800.0,5.83,-23.55,1539.57,0.11,556380.2,5395.4
pigz,compress,cr_audio1.flac,1,8.0,1900.0,-41.12,-96.43,146.41,0.1,33763.1,316.0
nanozip_5,compress,cr_audio1.wav,1,8.0,2900.0,42.06,58.63,322.21,0.19,122499.0,946.4
pigz,compress,app4,1,32.0,1900.0,3.78,-38.97,301.76,0.19,101813.9,793.5
nanozip_50,compress,enwik9,1,8.0,2200.0,18.86,24.94,3298.01,0.13,1479084.0,13834.7
nanozip_default,compress,app4,1,8.0,2000.0,50.2,50.93,3849.88,0.15,935066.5,7889.6
nanozip_5,compress,enwik9,1,32.0,2800.0,20.37,18.01,3322.07,0.23,2116849.6,17051.7
nanozip_default,compress,game1,1,8.0,2500.0,52.58,61.87,9189.58,0.17,2372839.6,18152.9
nanozip_5,compress,app4,1,16.0,2400.0,33.23,17.22,5084.44,0.17,1128390.0,8537.3
pbzip2,compress,game1,1,32.0,2700.0,4.43,-3.64,1136.39,0.19,381492.0,2328.0
nanozip_5,compress,cr_audio1.flac,1,32.0,2200.0,4.52,-13.86,1568.19,0.26,670403.5,5634.2
pigz,compress,enwik9,1,32.0,2800.0,3.86,6.08,818.98,0.17,226375.0,1327.5
pbzip2,compress,app4,1,32.0,2200.0,7.63,-24.05,768.44,0.23,427087.4,3523.8
plzip,compress,cr_audio1.wav,1,16.0,2200.0,18.41,2.39,2328.08,0.24,813227.8,5518.9
nanozip_50,compress,cr_audio1.flac,1,32.0,2800.0,26.52,39.3,1428.91,0.24,824371.4,6986.7
plzip,compress,enwik8,1,16.0,2700.0,10.47,8.28,1877.7,0.22,660724.0,4762.5
nanozip_50,compress,app4,1,8.0,2000.0,44.28,44.46,4019.84,0.33,3147250.0,28800.8
plzip,compress,cr_audio1.flac,1,32.0,2400.0,16.55,8.06,1779.66,0.23,530329.4,3320.3
pigz,compress,cr_audio1.wav,1,32.0,1600.0,11.32,-16.92,198.99,0.33,202334.4,1912.6
pbzip2,compress,cr_audio1.flac,1,32.0,2000.0,8.11,-33.54,403.98,0.26,136895.8,884.9
nanozip_5,compress,game1,1,8.0,1600.0,31.26,21.06,10575.79,0.22,4820828.3,44578.9
plzip,compress,game1,1,32.0,2000.0,8.29,-32.37,4015.34,0.3,2920174.6,24488.4
pbzip2,compress,enwik9,1,32.0,2000.0,10.69,-33.39,1696.21,0.6,3554471.2,32692.8
nanozip_50,decompress,enwik9,1,8.0,2900.0,-42.17,-126.76,1458.76,0.07,224559.0,1761.4
pbzip2,decompress,cr_audio1.flac,1,16.0,2200.0,-5.23,-46.38,173.43,0.09,49059.4,436.5
nanozip_default,decompress,cr_audio1.flac,1,8.0,2400.0,-4.9,-26.29,261.14,0.09,25940.3,218.8
pigz,decompress,game1,1,16.0,2200.0,-8.02,-19.42,684.82,0.1,73094.8,687.8
nanozip_5,decompress,cr_audio1.wav,1,8.0,2900.0,-10.57,-19.48,422.59,0.08,52385.2,430.1
plzip,decompress,game1,1,32.0,2400.0,3.54,-8.01,529.53,0.07,38916.5,255.6
nanozip_default,decompress,app4,1,16.0,2500.0,20.19,23.25,626.52,0.14,126498.1,893.1
nanozip_50,decompress,cr_audio1.flac,1,32.0,2200.0,-8.96,-22.56,409.87,0.07,30891.8,280.3
nanozip_50,decompress,cr_audio1.wav,1,32.0,1700.0,-30.47,-68.8,491.69,0.09,53347.4,519.2
nanozip_5,decompress,cr_audio1.flac,1,2.0,2900.0,-61.06,-93.75,186.54,0.13,28721.0,246.3
nanozip_50,decompress,game1,1,16.0,2900.0,-0.37,0.09,1986.47,0.07,258435.5,1881.9
pbzip2,decompress,app4,1,32.0,1600.0,4.54,-53.92,248.9,0.08,34277.0,282.8
pbzip2,decompress,game1,1,32.0,2700.0,8.72,3.47,408.09,0.14,161304.7,1236.2
pigz,decompress,app4,1,2.0,1900.0,-17.18,-37.14,410.93,0.09,40417.3,394.8
pbzip2,decompress,enwik8,1,32.0,1400.0,-0.67,-53.85,84.07,0.15,56316.4,568.4
pigz,decompress,cr_audio1.wav,1,4.0,2700.0,4.88,-3.35,239.76,0.15,36401.6,327.5
plzip,decompress,cr_audio1.flac,1,16.0,2900.0,-24.16,-32.5,466.55,0.09,79775.6,644.3
plzip,decompress,app4,1,32.0,1600.0,-9.25,-40.59,340.61,0.18,142536.3,1401.0
plzip,decompress,enwik8,1,16.0,1700.0,-15.2,-50.0,112.1,0.17,40635.7,387.9
nanozip_5,decompress,enwik8,1,16.0,2500.0,4.8,-11.54,116.79,0.15,30953.4,238.7
pigz,decompress,enwik8,1,2.0,1900.0,-22.27,-45.9,94.38,0.16,17002.4,167.3
pbzip2,decompress,cr_audio1.wav,1,32.0,2400.0,15.43,-3.88,220.5,0.16,88509.6,595.2
nanozip_default,decompress,game1,1,16.0,2300.0,-3.75,-27.29,2122.87,0.2,918245.1,8377.7
nanozip_default,decompress,cr_audio1.wav,1,16.0,1800.0,-25.35,-60.23,474.73,0.17,129560.5,1310.1
plzip,decompress,enwik9,1,32.0,1800.0,2.28,-18.66,731.18,0.18,330403.8,3147.4
nanozip_default,decompress,enwik8,1,32.0,2000.0,18.96,-3.51,104.41,0.19,29328.6,221.6
plzip,decompress,cr_audio1.wav,1,32.0,2700.0,2.56,-5.42,533.99,0.16,123559.8,934.3
pbzip2,decompress,enwik9,1,32.0,2200.0,16.18,-8.87,636.39,0.22,217373.5,1581.7
pigz,decompress,cr_audio1.flac,1,2.0,2400.0,14.63,-3.85,62.6,0.25,17828.4,158.4
nanozip_50,decompress,app4,1,8.0,2800.0,-26.62,-65.84,736.68,0.24,343833.7,2824.1
pigz,decompress,enwik9,1,16.0,2800.0,2.34,0.89,932.5,0.28,270061.8,2414.7
nanozip_5,decompress,game1,1,8.0,2200.0,-0.1,-31.74,2054.18,0.22,662307.8,5703.1
nanozip_50,decompress,enwik8,1,16.0,2400.0,5.4,-16.0,113.55,0.27,79083.5,611.2
nanozip_5,decompress,enwik9,1,32.0,2200.0,0.34,-26.1,1535.99,0.32,973210.2,8816.4
nanozip_5,decompress,app4,1,8.0,2900.0,0.64,0.23,2359.99,0.46,1282266.6,12639.2
nanozip_default,decompress,enwik9,1,32.0,2000.0,16.64,-5.87,980.11,0.58,1688117.2,15026.8
